variant,h,market,n_anchor,ret,idx,ew,ex_idx,ex_idx_lo,ex_idx_hi,p_beat_idx,ex_ew,ex_ew_lo,ex_ew_hi,kospi_share,size_pct,amt_pct,avg_winners_of20,worst
R1 + size↓ (소형 한정),120,KOSPI,20,0.21337733395807024,0.38034121152589967,0.11949929596115223,-0.16696387756782938,-0.34777723748151324,-0.04567240439741871,0.25,0.09387803799691805,-0.09112398090052914,0.32429769528660696,1.0,0.45702284887102174,0.6765944419364989,1.1,-0.12961788424566117
R1 + size↓ (소형 한정),120,KOSDAQ,20,0.026126139566585976,0.09639823733352511,0.03908735327900805,-0.0702720977669391,-0.14840956388766435,-0.017211712341127564,0.25,-0.01296121371242207,-0.09452725096566376,0.05123638333990605,0.0,0.29784507247520103,0.6502480769203042,1.05,-0.22237471062515335
R1 with mom126 instead,60,ALL,30,0.09769517362026109,0.05484158083346207,0.0028638074798905695,0.04285359278679901,-0.0017593934169114088,0.08449910958689283,0.6,0.09483136614037051,0.04026054209125523,0.15681101171715398,0.365,0.756093612793557,0.9066270503979402,2.566666666666667,-0.3735554716770361
R1 with mom126 instead,60,KOSPI,30,0.10632026109168086,0.12461244539445447,0.030821049138340613,-0.01829218430277363,-0.057748664319748476,0.026039947470771225,0.3333333333333333,0.07549921195334024,0.006284097969100347,0.1803859502374062,1.0,0.8719788293062624,0.9081631787250546,1.5,-0.3536838514687972
R1 with mom126 instead,60,KOSDAQ,30,0.07815291014725417,0.010464409723144013,-0.014813495781654647,0.06768850042411018,0.012570791382440648,0.132219072530666,0.6333333333333333,0.09296640592890881,0.02816241829099031,0.16818629434149898,0.0,0.6900060815290364,0.8733618534241667,2.7333333333333334,-0.500867462961422
R1 with mom126 instead,120,ALL,27,0.14875087525803976,0.13215868084330995,0.023257056034256835,0.016592194414729835,-0.015772208247892897,0.07293401335771427,0.48148148148148145,0.12549381922378292,0.0448019734260893,0.22803890073350885,0.3722222222222222,0.7510838807683311,0.905255915777827,1.3703703703703705,-0.2496513887821824
R1 with mom126 instead,120,KOSPI,27,0.2530886333557352,0.2754117647915411,0.0786758005253916,-0.02232313143580583,-0.07133979691312531,0.034065481555452366,0.4074074074074074,0.1744128328303437,0.027825913445010987,0.3265926584977191,1.0,0.8613525229592895,0.9001271196177002,1.0740740740740742,-0.20314376788888655
R1 with mom126 instead,120,KOSDAQ,27,0.07908523037392919,0.0395951178246317,-0.011929131944098082,0.039490112549297476,0.003605998765069256,0.08606165847884774,0.5925925925925926,0.09101436231802726,0.02957943493194031,0.17948769489529945,0.0,0.6834134503793267,0.8736821095119295,1.5185185185185186,-0.2843341342107204
near_high only,60,ALL,30,0.0012270619116840778,0.05484158083346207,0.0028638074798905695,-0.053614518921777994,-0.10821809109833984,-0.00485421660204817,0.4,-0.0016367455682064862,-0.041065726506932264,0.039827409057199,0.4633333333333333,0.6506871235061411,0.7064080229925249,1.2,-0.4017662812339007
near_high only,60,KOSPI,30,0.0022798514232547124,0.12461244539445447,0.030821049138340613,-0.12233259397119979,-0.2267543337320707,-0.03661984142370413,0.16666666666666666,-0.028541197715085898,-0.06395680779517417,0.015238867163821898,1.0,0.8110356589829183,0.7715884722954612,0.7333333333333333,-0.36375363785812076
near_high only,60,KOSDAQ,30,0.00792376651665037,0.010464409723144013,-0.014813495781654647,-0.0025406432064936342,-0.042202061345332,0.03896697893469537,0.5,0.022737262298305028,-0.016778345640300864,0.06446139307660154,0.0,0.5089554391398462,0.7291535449564804,1.7666666666666666,-0.5452386549909723
near_high only,120,ALL,27,0.0439570435973062,0.13215868084330995,0.023257056034256835,-0.08820163724600374,-0.17475235211482207,0.002846194790733743,0.5185185185185185,0.02069998756304936,-0.030583921452551826,0.0699275554609064,0.4537037037037037,0.6473833785287716,0.7107617909359227,0.6296296296296297,-0.3551984422162979
near_high only,120,KOSPI,27,0.1006629518880426,0.2754117647915411,0.0786758005253916,-0.17474881290349853,-0.3229271807880044,-0.014816445863406405,0.25925925925925924,0.021987151362651017,-0.004328581425420452,0.05633144633894902,1.0,0.8108013911255701,0.7538998101765451,0.48148148148148145,-0.13855970166725867
near_high only,120,KOSDAQ,27,0.021460658797220016,0.0395951178246317,-0.011929131944098082,-0.018134459027411683,-0.06876669491991301,0.02268238156410418,0.4444444444444444,0.03338979074131811,-0.011846186408624317,0.08335474546310996,0.0,0.5025987129888719,0.7325883748110816,1.0740740740740742,-0.3436115728209422
