event,combo,n,events,episodes,lift,placebo,mean_ex,med_ex,p_beat,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
120,dlow252↑&rs63↑&mom63↑,85492,4073,207,1.9258557781681058,1.0359808519436091,-0.08104829781119663,-0.19455665008869427,0.3059116642492865,0.36812801197772893,2.696041760892507,1.747026786597352,1.8448446606555806,2.1390279431962234
120,dlow252↑&rs63↑&beta60↑,27668,1844,120,2.6941264622772283,1.0533976026582872,0.009521503345541058,-0.14142284824475343,0.3576695099031372,0.3122741072719387,5.357284069708276,1.5925163594184035,2.935420246528062,2.610003436248053
120,dlow252↑&rs63↑&days_since_high↓,39027,2187,139,2.265262014858675,1.0637512982441057,-0.05186902162252136,-0.17190826905592194,0.34686242857508903,0.3614164552745535,,1.8275973730134583,2.1200423161846063,2.4577203025966057
120,dlow252↑&rs63↑&amt20↑,46169,2320,119,2.0312919377641623,1.0156459688820811,-0.06755179913712453,-0.1967675740106355,0.30988325499794234,0.3648335463189586,3.851987353572201,1.755743366462189,2.0376047854341652,2.030109542597905
120,dlow252↑&mom63↑&beta60↑,27875,1872,120,2.7147247118063103,1.0484754095277578,0.0049560013742969925,-0.14562066906856375,0.3540807174887892,0.3174170403587444,5.151234682411804,1.6281168692234342,2.924634906564023,2.766881927088276
120,dlow252↑&mom63↑&days_since_high↓,39650,2186,140,2.2286496108139002,1.069466350294502,-0.056348864693045266,-0.17399451763582696,0.3444892812105927,0.36343001261034047,3.6924050203527816,1.8024641579083882,2.0807767632655074,2.4800903101756275
120,dlow252↑&mom63↑&amt20↑,47022,2333,118,2.0056191587166112,1.0230119155048296,-0.07274234543194798,-0.19825874687221967,0.3083875632682574,0.36725362596231553,3.94454662836179,1.7643025002103243,1.9862650551528482,2.063012598097479
120,dlow252↑&beta60↑&days_since_high↓,13596,1062,83,3.1575351129535085,1.103056051700331,0.0622942038359957,-0.09209552047037883,0.4160047072668432,0.28000882612533096,,1.345454997905529,3.2952742613229646,3.051157383565458
120,dlow252↑&beta60↑&amt20↑,27957,1863,90,2.6937489385676403,0.9991307120505848,0.024865418102302465,-0.1268664796228458,0.36874485817505454,0.29091104195729156,2.4969771904329883,1.758466652703008,3.22149167693214,2.1270431083687606
120,dlow252↑&days_since_high↓&amt20↑,26411,1533,87,2.3463464460441203,1.0499632498279625,-0.042572118521086263,-0.17036827658704667,0.35515504903260003,0.3588656241717466,,2.2138773460712726,2.128686523513662,2.4908029104292395
120,mom126↑&sma120gap↑&rs63↑,83256,3673,195,1.783364900305048,1.0244758888221213,-0.08282840688767291,-0.18231285611012998,0.31446382242721244,0.3564187566061305,1.8974332067588804,1.619047337287088,1.7090702546119572,2.013180224073812
120,mom126↑&sma120gap↑&mom63↑,84527,3700,196,1.7694614139623226,1.0329828795023288,-0.08732323259309364,-0.18373726564083048,0.31309522401126266,0.35906869994203033,1.968232953279734,1.5941025562684592,1.6792930344432853,2.1328022106023106
120,mom126↑&sma120gap↑&beta60↑,28172,1885,115,2.704758552752371,1.0402917510586043,0.012509807169965127,-0.13210325771345655,0.3697288087462729,0.3060485588527616,,1.6702115908165294,2.812783551544983,3.0868095825045985
120,mom126↑&sma120gap↑&days_since_high↓,49958,2444,156,1.977565996022905,1.068079834185857,-0.06257068320233664,-0.16057092077196533,0.34811241442811963,0.35133512150206175,,1.5207701162930054,1.8496988399797785,2.517950344048939
120,mom126↑&sma120gap↑&amt20↑,50608,2490,110,1.9889094005840502,1.0128261525865767,-0.07283361465527607,-0.18467959407847329,0.31840815681315204,0.35771024343977237,,1.602815018215913,2.0689091445417795,2.0780586967403183
120,mom126↑&rs63↑&mom63↑,86912,3830,207,1.7813688673990036,1.0334730087103356,-0.08341122426105038,-0.18127761299812922,0.31218934094256257,0.35409379602356406,2.3271460212307447,1.6017276849196629,1.7265466383139028,1.9271768840741463
120,mom126↑&rs63↑&beta60↑,25778,1693,114,2.654865761711983,1.0569282477223134,0.010976327248235804,-0.13116138528462218,0.3667856311583521,0.3032818682597564,,1.5131118661499896,2.9259833701798024,2.57002260052143
120,mom126↑&rs63↑&days_since_high↓,44069,2205,148,2.022601038962089,1.0475330550996398,-0.06075554487535538,-0.1648294162492051,0.3451405750073748,0.3527649821870249,,1.6433605777526599,1.9000166100711353,2.380527930838319
120,mom126↑&rs63↑&amt20↑,44720,2190,110,1.979598645108333,0.9925111015200683,-0.07514452397604873,-0.1910854246013728,0.31071109123434704,0.3631261180679785,,1.70114630412163,2.0469675410416492,1.8890841824779918
