f,date,tercile,ex120,ex60
vol_dry,20240806,0,0.008935066932664862,0.02539648102557294
vol_dry,20240806,1,0.10611477319607777,0.0899541763913335
vol_dry,20240806,2,-0.12067576033516614,-0.10354102234109759
vol_dry,20240813,0,-0.08238120142069136,-0.036654262084830115
vol_dry,20240813,1,0.025912083901691266,0.04770341055152725
vol_dry,20240813,2,-0.17101869078264284,-0.07134685343580827
vol_dry,20240821,0,0.06465823708635238,0.04638699977053568
vol_dry,20240821,1,-0.04831639019845216,-0.003394034882855482
vol_dry,20240821,2,-0.18676216350163344,-0.1185530829093718
vol_dry,20240828,0,0.05713319538137546,0.05270501275123148
vol_dry,20240828,1,-0.027999561007535055,0.002545597111292724
vol_dry,20240828,2,-0.011243381229280563,0.0022787904289642107
vol_dry,20240904,0,0.05680643314176293,0.048521302984888055
vol_dry,20240904,1,0.036109353893622506,0.04624055844250537
vol_dry,20240904,2,-0.08936152258079093,-0.03508504460770506
vol_dry,20241010,0,-0.002156503401939925,-0.10491950943675621
vol_dry,20241010,1,-0.014683148090941078,-0.041223022960938216
vol_dry,20241010,2,-0.12247049390636129,-0.08006452996919106
vol_dry,20241017,0,0.033752210445841625,-0.0762282233149369
vol_dry,20241017,1,0.010433381784911079,-0.05936873458677083
vol_dry,20241017,2,-0.07195247303801941,-0.06676143561711206
vol_dry,20241024,0,0.15315024499843108,-0.012248350939324278
vol_dry,20241024,1,0.01633493193201833,-0.018031487526808578
vol_dry,20241024,2,-0.015363734047844883,-0.06566542804854682
vol_dry,20241031,0,0.09511693695827125,0.00152215298738545
vol_dry,20241031,1,0.017555860596270303,-0.010347765600652373
vol_dry,20241031,2,0.07086529430098527,0.01124869356056687
vol_dry,20241114,0,0.2719572841290774,0.08083264602224796
vol_dry,20241114,1,0.06439642071384001,-0.0590511491088142
vol_dry,20241114,2,0.09116919322102865,-0.020834464607961744
vol_dry,20241121,0,0.47884518449459945,0.14500782646515176
vol_dry,20241121,1,0.10861505520513512,-0.049179818918077614
vol_dry,20241121,2,0.09024280742806665,-0.012157291995116677
vol_dry,20241128,0,0.3415413485377235,0.07174428562235312
vol_dry,20241128,1,0.18460929072862295,0.06987090200465003
vol_dry,20241128,2,0.04145372604868555,0.08641300598981233
vol_dry,20241205,0,0.09685435126146243,-0.007207632742548413
vol_dry,20241205,1,0.19665345706791795,0.05199801137496383
vol_dry,20241205,2,-0.08498665262494969,0.14792946014537076
vol_dry,20241212,0,0.07268559519457177,-0.04744017701558421
vol_dry,20241212,1,0.08156095333075607,0.023409168054859073
vol_dry,20241212,2,-0.47778787315055815,-0.1685151171725139
vol_dry,20241219,0,0.07224998879476922,-0.029726747244461067
vol_dry,20241219,1,-0.06856146733526863,-0.055336664741525064
vol_dry,20241219,2,-0.4018428052456566,-0.06095848022938149
vol_dry,20241227,0,0.13047748017440614,0.02949696876367491
vol_dry,20241227,1,-0.07360445092188185,-0.038842030816245515
vol_dry,20241227,2,-0.3035439083933476,-0.04056891222379152
vol_dry,20250107,0,0.16078257390777795,0.015527400049439446
vol_dry,20250107,1,0.06513456045502929,0.07139263150096362
vol_dry,20250107,2,-0.34254366902018835,0.004490287489238702
vol_dry,20250114,0,0.09515457783834953,-0.002931571961739272
vol_dry,20250114,1,0.002066986873896064,0.08701069737770287
vol_dry,20250114,2,-0.3113627242081822,0.03021639694643542
vol_dry,20250121,0,0.013953139932019595,-0.020378956191584623
vol_dry,20250121,1,0.020988672402390603,0.0878898795223911
vol_dry,20250121,2,-0.20117432391171777,0.01545579023421152
vol_dry,20250203,0,0.04193685094742456,-0.007274687399594004
vol_dry,20250203,1,0.03905123677106381,0.009399529693550363
vol_dry,20250203,2,-0.13087122011620844,-0.06587244747356875
vol_dry,20250210,0,0.14630484791179635,0.05708785849656936
vol_dry,20250210,1,0.2535635108797552,0.05972263703817749
vol_dry,20250210,2,-0.05161736756236963,0.07907947245365389
vol_dry,20250217,0,-0.006730539916375994,0.06756267443505705
vol_dry,20250217,1,0.12767098442520322,0.06470435075953085
vol_dry,20250217,2,-0.031792893902278754,0.03241720174020557
vol_dry,20250224,0,-0.049254027610216494,0.08280644630227456
vol_dry,20250224,1,0.2551727007514091,0.22714444902481368
vol_dry,20250224,2,0.02054705106192209,0.10715275829358209
vol_dry,20250304,0,0.011389107010185572,0.07579278094213814
vol_dry,20250304,1,0.11858685394496299,0.1369097786746393
vol_dry,20250304,2,0.019229910665598624,0.0477240476607219
vol_dry,20250311,0,0.03206394342026221,0.07788133719651746
vol_dry,20250311,1,0.17356943399038427,0.14938593028831662
vol_dry,20250311,2,-0.02648849421285757,-0.041951502130734133
vol_dry,20250318,0,0.09127387098859702,-0.029085807966815654
vol_dry,20250318,1,0.15408109830452396,0.24114181422745173
vol_dry,20250318,2,-0.01196540313628475,-0.059855993801275646
vol_dry,20250325,0,0.026717870404760296,0.1454797519373243
vol_dry,20250325,1,0.017944789751564418,0.08009095147868456
vol_dry,20250325,2,0.05193448279784355,0.04534024315994665
vol_dry,20250401,0,0.09910340981683063,0.12969793239211233
vol_dry,20250401,1,-0.0525462173799832,0.011925787513274251
vol_dry,20250401,2,-0.3574190566239173,-0.1260411028293807
vol_dry,20250408,0,-0.28801796310494265,-0.08758066210268631
vol_dry,20250408,1,-0.6518709157469447,-0.41341067215332755
vol_dry,20250408,2,-0.5468009332537002,-0.3845568940590302
vol_dry,20250415,0,-0.1762566103049209,-0.0550215406196501
vol_dry,20250415,1,-0.5214088308246859,-0.34655598582215114
vol_dry,20250415,2,-0.5615741984761637,-0.3455015326944335
vol_dry,20250422,0,-0.04948095058613106,0.06505307623140864
vol_dry,20250422,1,-0.36983911903964606,-0.1798951236052478
vol_dry,20250422,2,-0.5062683962979627,-0.31599089289862486
vol_dry,20250429,0,-0.06202685709225345,0.04594944496935919
vol_dry,20250429,1,-0.19879669847010786,-0.05812077128659384
vol_dry,20250429,2,-0.4995861677739836,-0.2573221232697737
vol_dry,20250509,0,-0.0692854664195695,0.11130895512175275
vol_dry,20250509,1,-0.0993172760587581,0.01551767833656432
vol_dry,20250509,2,-0.4662887976296142,-0.2233763458473427
vol_dry,20250516,0,-0.10019096841071885,0.04150841910650697
vol_dry,20250516,1,-0.24617241449738445,-0.06205743848901877
vol_dry,20250516,2,-0.30655690624109133,-0.14360332406791443
vol_dry,20250523,0,-0.19850212307617313,-0.025394178678698923
vol_dry,20250523,1,-0.08565416342131293,-0.02740917166739382
vol_dry,20250523,2,-0.32809200016482337,-0.11658642825890854
vol_dry,20250530,0,-0.10697968590775357,0.029959336578918548
vol_dry,20250530,1,-0.03790195506117691,-0.020982447615069916
vol_dry,20250530,2,-0.3316754819755235,-0.11070592625685709
vol_dry,20250610,0,-0.13829588100132328,0.01310460193054706
vol_dry,20250610,1,-0.16445139428758465,-0.04671934098049789
vol_dry,20250610,2,-0.3348740111604107,-0.13729498962590142
vol_dry,20250617,0,-0.15616226508104605,-0.05335729147664874
vol_dry,20250617,1,-0.24115233846167045,-0.0793316355396843
vol_dry,20250617,2,-0.33424752286849607,-0.12650426465822334
vol_dry,20250624,0,-0.09863818158667706,-0.04362230713545726
vol_dry,20250624,1,-0.2419514395784284,-0.10557376361328655
vol_dry,20250624,2,-0.31724547154580046,-0.17512320289369282
vol_dry,20250701,0,-0.04693190445995751,-0.03332352545931812
vol_dry,20250701,1,-0.2546313342985151,-0.14138552072398833
vol_dry,20250701,2,-0.3411793538823597,-0.16725410481626585
vol_dry,20250708,0,-0.13702480042645304,-0.04955268428303516
vol_dry,20250708,1,-0.37032467441286965,-0.17366088590058631
vol_dry,20250708,2,-0.3901539812595628,-0.20401993185775572
vol_dry,20250715,0,-0.22053993501681537,-0.10110854002879778
vol_dry,20250715,1,-0.40621166185427804,-0.20449149468353178
vol_dry,20250715,2,-0.4499675050538486,-0.2348531097227723
vol_dry,20250722,0,-0.19079190562686374,-0.08262248127438562
vol_dry,20250722,1,-0.4655487923109561,-0.218333565043364
vol_dry,20250722,2,-0.3843368833865361,-0.20581111629153023
vol_dry,20250729,0,-0.12201434755805877,-0.019411151408124855
vol_dry,20250729,1,-0.2748882134328683,-0.1327368778841708
vol_dry,20250729,2,-0.43011129427995726,-0.20251168044972612
vol_dry,20250805,0,-0.14088262478921335,-0.002356089765040396
vol_dry,20250805,1,-0.12617436897491155,-0.02663612965376169
vol_dry,20250805,2,-0.32959249562168524,-0.1492042376720307
vol_dry,20250812,0,-0.09765086938256778,0.028955446156290057
vol_dry,20250812,1,-0.0595635885237403,-0.033111545988728404
vol_dry,20250812,2,-0.2740505097143261,-0.08047916576676985
vol_dry,20250820,0,-0.08987272886255265,0.030966547856358537
vol_dry,20250820,1,-0.26260508737007854,-0.07907946530797276
vol_dry,20250820,2,-0.4749989199642234,-0.12125882558858508
vol_dry,20250827,0,-0.29729709590719183,-0.09077401523609109
vol_dry,20250827,1,-0.31334308765440877,-0.04711271773375794
vol_dry,20250827,2,-0.4858525562600029,-0.15617389418870092
vol_dry,20250903,0,-0.355590725069693,-0.1237773733038744
vol_dry,20250903,1,-0.3803797760581072,-0.12900969834947668
vol_dry,20250903,2,-0.34300370475204817,-0.16707496212289402
vol_dry,20250910,0,-0.27830967280346003,-0.16261814893843696
vol_dry,20250910,1,-0.11663906490819408,-0.025101301552459074
vol_dry,20250910,2,-0.22228425386356718,-0.11900299545556942
vol_dry,20250917,0,-0.2418511621389901,-0.1648876369668395
vol_dry,20250917,1,0.036709923637877034,0.047596429169515744
vol_dry,20250917,2,-0.07989225259686869,-0.03654087975229557
vol_dry,20250924,0,-0.1056387552660066,-0.09011233216305892
vol_dry,20250924,1,-0.08015654551448764,-0.021544187930590333
vol_dry,20250924,2,-0.005661457726716034,0.0031392575184379027
vol_dry,20251001,0,-0.07503817873304526,-0.10150754619852369
vol_dry,20251001,1,-0.11794129857238562,-0.01540208243380706
vol_dry,20251001,2,0.1258200112817013,0.020342968464324627
vol_dry,20251015,0,-0.015474293544860608,-0.08114732210432245
vol_dry,20251015,1,0.09815209099596953,-0.007082737954702045
vol_dry,20251015,2,0.14101084003168146,-0.0018060559116370336
vol_dry,20251022,0,-0.01034861557657367,-0.05617644242138405
vol_dry,20251022,1,0.12514397383701312,-0.013837067324935948
vol_dry,20251022,2,0.18578864043720827,0.03365846234458111
vol_dry,20251029,0,0.15489618137198846,-0.0842038631139354
vol_dry,20251029,1,0.0822449830558175,-0.04046403657556532
vol_dry,20251029,2,0.3681811483912747,0.09962778668175883
vol_dry,20251105,0,0.007342103206320333,-0.06802521386515324
vol_dry,20251105,1,0.18189978108425223,-0.05083937105146147
vol_dry,20251105,2,0.41197954279783966,0.10097908857640185
vol_dry,20251112,0,-0.11640975556606192,-0.01944686406272209
vol_dry,20251112,1,0.3254194848603184,0.13141939135129035
vol_dry,20251112,2,0.25639923015124755,-0.024955632091960833
vol_dry,20251119,0,-0.25979374735143923,-0.10971324945139661
vol_dry,20251119,1,0.05905336812452626,0.024154570529549294
vol_dry,20251119,2,0.2444068044549441,-0.07050660747086113
vol_dry,20251126,0,-0.18942796978046808,-0.034351025336261685
vol_dry,20251126,1,-0.11882350868091246,-0.11359328868833882
vol_dry,20251126,2,0.008918113023692208,-0.015377308505508648
vol_dry,20251203,0,-0.0625065967704602,0.07846339586874054
vol_dry,20251203,1,-0.17898544732801427,-0.12687626857841816
vol_dry,20251203,2,-0.317914126286866,-0.11525538521900705
vol_dry,20251210,0,-0.367589679816986,-0.10451338966131735
vol_dry,20251210,1,-0.06536559630310294,-0.0788769540482098
vol_dry,20251210,2,-0.29417406117791833,-0.06034529372340976
vol_dry,20251217,0,-0.3364833903114184,-0.09525873543457192
vol_dry,20251217,1,-0.38696301051935267,-0.11928633872813964
vol_dry,20251217,2,-0.52849195662226,-0.10586551407845161
vol_dry,20251224,0,-0.27014455804551374,-0.14751027883307988
vol_dry,20251224,1,-0.4815967612308573,-0.09151826160534247
vol_dry,20251224,2,-0.4460964337526907,-0.09451016297506601
vol_dry,20260105,0,-0.04941755988815186,0.039636255236595856
vol_dry,20260105,1,-0.2576234231915421,-0.07141074782144577
vol_dry,20260105,2,-0.371702572040329,-0.08070063106459685
vol_dry,20260112,0,-0.02699448185192011,-0.024622890362999573
vol_dry,20260112,1,-0.15679946768084552,0.0832813513252613
vol_dry,20260112,2,-0.25817934415581095,-0.11130864563315314
vol_dry,20260119,0,0.007112985875593493,0.03627340890820672
vol_dry,20260119,1,-0.15897490303311548,0.014129906952819007
vol_dry,20260119,2,-0.22283393615472055,-0.1607498842215252
vol_dry,20260126,0,-0.08804845274263516,0.021467052128216167
vol_dry,20260126,1,-0.1516543497799424,0.0042148556320433204
vol_dry,20260126,2,-0.12358058718253495,0.0025243030393236315
vol_dry,20260202,0,-0.09124287011475869,-0.029845157104138275
vol_dry,20260202,1,-0.07410238070530299,0.036016955140963716
vol_dry,20260202,2,-0.10289481400911206,-0.005165214870158247
vol_dry,20260209,0,-0.027224695042577334,-0.03219200036443556
vol_dry,20260209,1,-0.09075261384746762,-0.11164617222020354
vol_dry,20260209,2,-0.09658328765486136,-0.024296609288764967
vol_dry,20260219,0,-0.027268833767142564,-0.03496738574566523
vol_dry,20260219,1,-0.12300104567532891,-0.11179218868188506
vol_dry,20260219,2,-0.13142723670847833,-0.05071569386999961
vol_dry,20260226,0,-0.06119523841376381,-0.12419850374144083
vol_dry,20260226,1,-0.000957698595304624,-0.08179707408914128
vol_dry,20260226,2,-0.055506731505597755,-0.06850558267138786
vol_dry,20260306,0,-0.0335795623208245,-0.10981415108208287
vol_dry,20260306,1,-0.026264048622209723,-0.1406472183010683
vol_dry,20260306,2,-0.16154894842347123,-0.27990075236516626
vol_dry,20260313,0,-0.09603245709672505,-0.06639945794603534
vol_dry,20260313,1,-0.03955005427329718,-0.030291548719394365
vol_dry,20260313,2,-0.16667871043596033,-0.2663885349388689
vol_dry,20260320,0,-0.07160204213401955,-0.14912938159355243
vol_dry,20260320,1,0.06585679487804993,-0.06135500361924478
vol_dry,20260320,2,-0.1623950162288225,-0.28615539119784644
vol_dry,20260327,0,-0.10495395003645343,-0.1914768564736546
vol_dry,20260327,1,0.013043909964312485,-0.1480720863503351
vol_dry,20260327,2,-0.207250163223115,-0.3326515536238052
upvol20,20240201,0,0.05302978716559014,0.06192828417735002
upvol20,20240201,1,0.09084390626471064,0.05591358912880447
upvol20,20240201,2,-0.07834514247890478,-0.0644640836294925
upvol20,20240208,0,0.022105504886143428,0.01648327825681812
upvol20,20240208,1,-0.019688986099224984,0.00046098010473603104
upvol20,20240208,2,-0.051517540221535305,-0.050958405934309295
upvol20,20240219,0,0.005159324956767991,-0.001113943505522556
upvol20,20240219,1,0.02850960350726777,0.020547131893619557
upvol20,20240219,2,-0.09830486115002358,-0.07597754665206997
upvol20,20240226,0,0.05913952905612144,0.05003982432757893
upvol20,20240226,1,0.04058896603655721,0.038468200802284254
upvol20,20240226,2,-0.09592390649902421,-0.032215945860699986
upvol20,20240305,0,0.014360844489715485,0.002428314031982339
upvol20,20240305,1,0.030796917656897856,0.0546264618137055
upvol20,20240305,2,-0.11295045118779748,-0.048514798441540864
upvol20,20240312,0,0.07918904148009127,0.04231619748247274
upvol20,20240312,1,0.03384627197376637,0.009785436329408892
upvol20,20240312,2,-0.07876593078469589,-0.03232132407754339
upvol20,20240319,0,0.07115575599803335,0.026995985147232636
upvol20,20240319,1,0.0326933456561949,0.040653121093512316
upvol20,20240319,2,0.017356955633709873,0.07094554130195024
upvol20,20240326,0,0.09496808066281272,0.08452648830236517
upvol20,20240326,1,0.058444464773573755,0.09799941222084704
upvol20,20240326,2,0.016757070938634117,0.01988483891303399
upvol20,20240402,0,0.07483304872820576,0.06274110798503363
upvol20,20240402,1,0.013354945994040891,0.015586373796797491
upvol20,20240402,2,0.04718571461823698,0.06806283335530698
upvol20,20240409,0,-0.012963895830138695,-0.040914209191817555
upvol20,20240409,1,0.05863180120494752,0.1473481691415605
upvol20,20240409,2,0.012754603547800274,0.07250381985096795
