ticker,listed,k,date,ex60,ex120,mom_since
199550,20240201,2,20240404,0.10494932398101453,-0.00570979993682863,-0.47655096011816844
199550,20240201,3,20240508,-0.06022911868208203,-0.2319845359387107,-0.417959133431807
199550,20240201,6,20240807,-0.2712030447707414,0.0302515845989193,-0.5228951255539143
199550,20240201,12,20250219,0.18941751624685554,-0.11399843458946457,-0.5547759724273758
452400,20240201,1,20240306,-0.31641734294602586,-0.11443106064327713,-0.3881401617250674
452400,20240201,2,20240404,-0.2968954590191115,-0.22120446624887347,-0.45552560646900264
452400,20240201,3,20240508,-0.23901533199151248,-0.13823442560522137,-0.5442048517520215
452400,20240201,6,20240807,0.08083075335397316,-0.1665324889079719,-0.7194070080862534
452400,20240201,9,20241113,-0.25804739031445956,-0.28261818303053454,-0.7053908355795149
472850,20240202,1,20240307,-0.11982581006430149,-0.0542517168774993,-0.3026797763639869
472850,20240202,2,20240405,-0.007347329665262192,0.7081335595140169,-0.37748216695585113
472850,20240202,3,20240509,-0.039903102190256945,0.03540106031486079,-0.29824561403508776
472850,20240202,9,20241114,-0.020020980163259816,0.31119053632229554,-0.42298052824368615
472850,20240202,12,20250220,0.3152868658538618,0.7478875986373066,-0.3742047426257953
415380,20240206,1,20240311,-0.22414191274838158,-0.224543888082267,-0.6092949411849606
415380,20240206,2,20240409,-0.10629364517314632,-0.19561220817491765,-0.6912751677852349
415380,20240206,3,20240513,-0.1268037907542281,-0.18276623910395906,-0.7122753842823122
415380,20240206,6,20240812,-0.07070283057068116,-0.1024675201257298,-0.772461571768781
443670,20240215,1,20240318,-0.07901198532579845,-0.3617807087405378,0.28825347758887165
443670,20240215,2,20240417,-0.3806540101368374,-0.5496294607762607,0.5842349304482226
443670,20240215,3,20240521,-0.45769751641309964,-0.4768260942409027,0.4428129829984544
443670,20240215,6,20240820,-0.28321597937263043,-0.014530653613209155,-0.2063369397217929
443670,20240215,9,20241125,-0.09140729353998611,-0.27210709728451077,-0.33539412673879443
443670,20240215,12,20250304,-0.18155993102107293,-0.3427297995977291,-0.3809891808346213
452430,20240219,1,20240320,-0.2062475309770473,-0.47782312113676584,-0.2146596858638743
452430,20240219,2,20240419,-0.18101244073555933,-0.390141160910491,-0.46806282722513093
452430,20240219,3,20240523,-0.21285382133668218,-0.34019503797003836,-0.5319371727748692
452430,20240219,6,20240822,-0.12065331540682334,0.24210365958703983,-0.6980104712041885
452430,20240219,9,20241127,0.5234245412119527,0.8514629009893859,-0.763979057591623
452430,20240219,12,20250306,0.146278154326269,0.509968437897574,-0.5989528795811518
068100,20240222,1,20240325,-0.31348775093058545,-0.30991082344529464,-0.5036144578313253
068100,20240222,2,20240424,-0.2497357727475159,-0.28188997294105933,-0.6325301204819277
068100,20240222,6,20240827,-0.13996712652274024,-0.2558529510164722,-0.7304216867469879
360350,20240223,1,20240326,-0.37088124286344415,-0.406446481630358,-0.2465753424657534
360350,20240223,2,20240425,-0.35313085900036834,-0.4456681311313251,-0.2954990215264188
360350,20240223,3,20240529,-0.19569566369372415,-0.18548841025370744,-0.5232876712328767
360350,20240223,6,20240828,0.02885309522994417,-0.12680035603469475,-0.6551859099804305
360350,20240223,9,20241203,-0.1031655124086388,-0.07772080642072887,-0.6947162426614482
418620,20240223,1,20240326,-0.05502883524486224,-0.24778774573112394,-0.10171329429624809
418620,20240223,2,20240425,0.11078793467576697,-0.006509193407095548,-0.29424202992843196
418620,20240223,3,20240529,0.0037394608467058443,-0.1494419519644573,-0.32433311646063756
418620,20240223,6,20240828,-0.18822027749814252,-0.6951686074448479,-0.4189980481457385
418620,20240223,9,20241203,-0.5800237797307881,-0.6263854933842853,-0.6128822381262199
278470,20240227,1,20240328,0.5533626152776312,0.09132803471891016,-0.17480314960629917
278470,20240227,2,20240429,-0.030812494709271943,-0.02511607426032081,-0.14960629921259838
278470,20240227,3,20240531,-0.29062491049818695,-0.21881862086502146,0.16377952755905523
278470,20240227,6,20240830,0.061803745322577375,0.24988353949130226,-0.19055118110236224
278470,20240227,9,20241205,0.19424719597368578,1.3306617472706856,-0.15590551181102363
278470,20240227,12,20250314,0.7902679154319086,2.079778228309532,0.06141732283464574
199430,20240307,1,20240405,-0.47529735337220813,-0.45096426694167235,-0.20332717190388172
199430,20240307,2,20240509,-0.4273508798694978,-0.4000549729655314,-0.37116451016635854
199430,20240307,3,20240611,-0.1522136561498616,-0.2755644733366259,-0.5312384473197782
199430,20240307,6,20240909,-0.23124027520948898,0.036579705799057116,-0.700184842883549
199430,20240307,12,20250324,0.12677245946573046,0.4698822619696681,-0.6979667282809612
036220,20240313,1,20240412,0.024223099581725527,-0.0932347477022637,-0.4228279386712095
036220,20240313,2,20240516,0.29184361282537286,-0.0007060755408782038,-0.4947189097103918
036220,20240313,6,20240913,-0.0014996766442513243,0.07664743533023965,-0.5448040885860307
437730,20240321,1,20240422,-0.22719393595932902,-0.16910145901986118,-0.32555172853680314
437730,20240321,2,20240524,-0.21014188200763084,-0.11742890501739289,-0.3446868222987626
437730,20240321,3,20240625,-0.033850486287719694,-0.1080063186093021,-0.46383467278989665
437730,20240321,6,20240926,0.08493178542136615,0.4109929039667696,-0.4989794616660288
437730,20240321,9,20241230,0.010392652355006304,0.14237250876527607,-0.4119147850491134
437730,20240321,12,20250407,0.29315908298903626,1.329033572414318,-0.4214823319300931
420570,20240325,1,20240424,0.3911333800656237,-0.05733936566804676,-0.2926923076923077
420570,20240325,2,20240528,-0.2742979471749075,-0.538225106646405,-0.025000000000000022
420570,20240325,3,20240627,-0.1737896897351937,-0.4345829917394042,-0.06153846153846154
420570,20240325,6,20240930,-0.38119725161727,-0.20323943976934933,-0.2861538461538462
420570,20240325,12,20250409,-0.22613558204808681,-0.4168582067528701,-0.6180769230769231
455900,20240326,1,20240425,-0.22823208701231656,-0.23826465729572377,-0.2846153846153846
455900,20240326,2,20240529,-0.17340170742790417,-0.14571139596407057,-0.4292307692307692
455900,20240326,3,20240628,-0.07743481328826218,-0.1358236404800106,-0.4784615384615385
455900,20240326,6,20241002,0.0834535476747238,-0.05428130297749789,-0.573076923076923
455900,20240326,9,20250106,-0.12438333777764943,-0.20719989890519908,-0.5930769230769231
455900,20240326,12,20250410,-0.1657038489606053,-0.10060438330780275,-0.6707692307692308
475240,20240327,1,20240426,0.06296923147679723,0.11101197320210343,-0.10199999999999998
475150,20240329,1,20240430,-0.11588043321382191,0.004336790040856631,0.5567703952901597
475150,20240329,2,20240603,-0.21506054365625904,-0.30444144260412287,0.9859826184468741
475150,20240329,3,20240703,0.18615226261925344,-0.07274169945148545,0.4976170451359685
475150,20240329,6,20241008,-0.18760307874855553,-0.10476147674803427,0.594243528642183
475150,20240329,9,20250109,0.10058317306566367,0.44937160248117514,0.21297075039715918
475150,20240329,12,20250415,0.31794144814966074,0.22870567211734394,0.3335202317540418
461030,20240403,1,20240507,0.23313176484458642,0.1739619187350786,-0.5858333333333333
461030,20240403,2,20240607,0.7054036873517825,0.06509786065193812,-0.6513888888888889
461030,20240403,3,20240708,1.1898328409420684,0.49589543066954855,-0.7447222222222223
461030,20240403,6,20241014,-0.24649876708198515,-0.36161971721734465,-0.5233333333333333
461030,20240403,9,20250114,-0.06762296907876153,-0.3524334936989548,-0.7002777777777778
461030,20240403,12,20250418,-0.2513571573986576,-0.08695652173913038,-0.7319444444444445
451250,20240425,1,20240529,-0.22996241038181786,-0.3245736285745351,0.09235294117647053
451250,20240425,2,20240628,-0.156217245000961,-0.2980788967634568,0.19117647058823528
451250,20240425,3,20240729,-0.31028869300965334,-0.31710545597415907,-0.03529411764705881
451250,20240425,6,20241104,-0.09582799436618905,0.09364603953858985,-0.36764705882352944
451250,20240425,9,20250210,0.30713728495998505,0.155901511364537,-0.4494117647058824
451250,20240425,12,20250514,-0.1406161154150808,-0.37031603694340653,-0.30352941176470594
412540,20240430,1,20240603,-0.1297374320520377,-0.29887826902786596,-0.40740740740740744
412540,20240430,2,20240703,0.0519439859552695,-0.29303711755662454,-0.5092592592592593
412540,20240430,3,20240801,0.05720293097789786,-0.2643720435202249,-0.5988888888888889
412540,20240430,6,20241107,-0.2633801906663701,-0.5594110612459237,-0.6511111111111111
347850,20240502,1,20240604,0.2516885864920747,0.4056711859910166,-0.1370702868403766
347850,20240502,2,20240704,0.25874080123150456,0.8969050859719985,-0.21786730895555073
347850,20240502,3,20240802,0.43747636981982296,0.8132504744972018,-0.1205386468141012
347850,20240502,6,20241108,0.2065587038872876,1.0298086913205848,0.1807532296912635
347850,20240502,9,20250214,0.717659754436668,1.3990685197242352,0.4136194438362164
347850,20240502,12,20250520,0.40362279061939765,2.671092544661416,1.5123713597547623
