h,factor,decile,n,mean_ex,med_ex,p_ex_gt50,p_ex_lt_m30,p_beat
250,mom12_1,D1,35041,-0.29917476441169555,-0.4166619790669861,0.11018521160925773,0.5971290773665135,0.22639194086926742
250,mom12_1,D10,35400,-0.32087244845408985,-0.44477848490758787,0.15135593220338983,0.5973446327683616,0.263361581920904
250,mom21,D1,68995,-0.23564400110541314,-0.27548632920014604,0.08784694543082833,0.4770780491339952,0.24478585404739475
250,mom21,D10,69665,-0.2408079725027379,-0.30980320596535726,0.10493073996985573,0.5107873394100337,0.24033589320318668
250,mom63,D1,62222,-0.22549341348309915,-0.26724455574438494,0.09340747645527306,0.4695766770595609,0.263299154639838
250,mom63,D10,62711,-0.24325781377591266,-0.3217072125462407,0.11702891039849468,0.5209293425395863,0.252890242541181
250,ret5,D1,70119,-0.23788644599481534,-0.2786310185997355,0.09048902579899884,0.4786006645844921,0.2434432892653917
250,ret5,D10,70695,-0.23213480538601977,-0.28865948626659643,0.10000707263597143,0.48819577056368907,0.24604286017398685
250,upratio63,D1,65928,-0.2672495612863834,-0.28408851429040266,0.07462686567164178,0.4850594588035433,0.23920033976459168
250,upratio63,D10,66635,-0.17459750172546243,-0.20507309079724922,0.12777069107826217,0.4202746304494635,0.3337585353042695
250,on60,D1,66002,-0.305224954361146,-0.2746036972423325,0.06871003908972455,0.47621284203508985,0.22961425411351172
250,on60,D10,66524,-0.21229611325604503,-0.2868878894364888,0.09592026937646564,0.4845619625999639,0.2355841500811737
250,size,D1,70227,-0.25292290134371603,-0.23185534975165867,0.057029347686787135,0.42309937773221123,0.22263516880971707
250,size,D10,70562,-0.16417620848967387,-0.18100147636389602,0.14361837816388423,0.4096680933080128,0.3722825316742723
250,amt20,D1,70214,-0.21536908182915676,-0.18147483915950507,0.0710684478878856,0.3774603355456177,0.2894437006864728
250,amt20,D10,70409,-0.15857816587601278,-0.2636421227112046,0.1395276172080274,0.4664318482012243,0.3036259569089179
250,max5_21,D1,70404,-0.2767662604163113,-0.18160528024357658,0.06468382478268281,0.3876626328049543,0.2973978751207318
250,max5_21,D10,70830,-0.30917387463436824,-0.33076451897746356,0.07121276295355075,0.5346322179867288,0.19167019624452916
250,bbw20,D1,70376,-0.26666464133842605,-0.1776477854005616,0.06809139479367966,0.3803853586449926,0.3090258042514494
250,bbw20,D10,70712,-0.3005732830202241,-0.3389630410958281,0.08316834483538862,0.5417326620658446,0.20997850435569634
250,sma20gap,D1,70052,-0.23964732368225863,-0.2795997669949823,0.08739222292011649,0.4797864443556215,0.24277679438131675
250,sma20gap,D10,70657,-0.23407027090958646,-0.29980464240620486,0.10400951073495902,0.49980893612805527,0.24582136235617136
250,rsi14,D1,70132,-0.23910373759371184,-0.23608361149516305,0.07972109735926539,0.4401414475560372,0.2655421205726345
250,rsi14,D10,70694,-0.23482646436801727,-0.26843690712413687,0.10224347186465613,0.46955894418196736,0.27201742722154637
250,dd52,D1,54190,-0.25368477744153195,-0.32610877892151746,0.0919726886879498,0.5240450267577044,0.23923233068831887
250,dd52,D10,54550,-0.26440435391402345,-0.2504868070412573,0.10975252062328139,0.4596700274977085,0.30498625114573785
250,mom126,D1,53076,-0.22813982433668753,-0.29846494112796973,0.10720476298138519,0.49868113648353307,0.26818147561986583
250,mom126,D10,53453,-0.21534336839659926,-0.32876270080602643,0.14313509064037566,0.5227021869679905,0.2718650028997437
250,mom252,D1,35031,-0.2668520577713755,-0.3818992528320079,0.11855213953355599,0.5651565756044646,0.2470954297622106
250,mom252,D10,35427,-0.3292247522748967,-0.46228719175250876,0.15050667569932538,0.6037767804217122,0.26149546955711744
250,sma60gap,D1,66011,-0.2390046357189277,-0.27901931102329036,0.08678856554210662,0.4798594173698323,0.25379103482752874
250,sma60gap,D10,66620,-0.24148788106088584,-0.31449238649551053,0.11091263884719303,0.5149354548183729,0.24861903332332633
250,sma120gap,D1,59776,-0.23772228315723246,-0.283773835841657,0.09572403640256959,0.48526164346895073,0.2630654443254818
250,sma120gap,D10,60251,-0.24147664784803138,-0.32454518269995014,0.12213905163399777,0.5233938025924881,0.2562613068662761
250,range120,D1,60019,-0.33544124593472274,-0.2039578453751526,0.060364217997634084,0.4184841466868825,0.2884419933687666
250,range120,D10,60378,-0.2775796462452893,-0.3378699779846225,0.10165954486733579,0.5351949385537779,0.23733810328265262
250,range60,D1,66313,-0.2990977565134213,-0.17788997865710288,0.06329075746836971,0.38746550450137984,0.3054453877821845
250,range60,D10,66484,-0.29021575009846734,-0.34184720274785496,0.09206726430419349,0.5408519342999819,0.22113591239997593
250,bbw60,D1,66320,-0.2989100698003969,-0.181495939070355,0.06269601930036188,0.38712303980699636,0.30135705669481305
