date,tercile,n,base_med,ex120,ex60,win
20250210,0,24,55.0,0.0733945298002117,0.055772002524802265,0.08333333333333333
20250210,1,22,96.5,0.4038890327831828,0.09710933983646591,0.22727272727272727
20250210,2,24,169.5,0.06731403570005966,0.06955237676284208,0.125
20250217,0,23,48.0,0.03771127505694325,0.11573440240650573,0.0
20250217,1,22,93.0,0.21950679300104844,0.05579337209770434,0.09090909090909091
20250217,2,23,162.0,-0.07808528828149491,0.006849758928478408,0.043478260869565216
20250224,0,25,48.0,0.13244364501062572,0.1790829053764973,0.0
20250224,1,22,90.5,0.1860728786652018,0.12876030692041535,0.045454545454545456
20250224,2,24,186.5,0.03300217160487743,0.1203338678348706,0.0
20250304,0,26,47.0,0.13759056916160722,0.1485160475255195,0.0
20250304,1,24,91.5,0.20528598141913457,0.10374548208435226,0.125
20250304,2,25,179.0,-0.05148212944421214,0.03128032303577015,0.0
20250311,0,22,47.0,0.24186333060820664,0.10856314379429505,0.045454545454545456
20250311,1,17,95.0,0.08630030482187069,0.10552004341699017,0.0
20250311,2,20,204.5,0.032023231101302174,0.04272917467112412,0.05
20250318,0,20,44.0,0.4004645244942505,0.1104863516136287,0.1
20250318,1,19,75.0,0.08037785966724786,0.033104914110675544,0.0
20250318,2,20,195.5,0.05262037590284914,0.05545773801822067,0.05
20250325,0,15,48.0,0.234961022322453,0.13041996614588183,0.06666666666666667
20250325,1,15,89.0,0.03482364356278981,0.0682667138327866,0.06666666666666667
20250325,2,15,187.0,0.05217547295396415,0.10644992625704972,0.06666666666666667
20250401,0,14,46.5,-0.025099210150302715,-0.019698566859198914,0.07142857142857142
20250401,1,14,72.0,-0.08671792688234078,-0.0967607047541287,0.0
20250401,2,14,167.5,-0.0637094292643903,0.1003915699186989,0.0
20250408,0,15,51.0,-0.5220024625305638,-0.31108651428385375,0.06666666666666667
20250408,1,13,122.0,-0.4825873455895095,-0.2534518252861037,0.07692307692307693
20250408,2,15,243.0,-0.5604261326779209,-0.3940804707612513,0.0
20250415,0,19,53.0,-0.4550504715535808,-0.2697658119139075,0.0
20250415,1,17,96.0,-0.15543873735523064,-0.10924714732022542,0.058823529411764705
20250415,2,19,247.0,-0.6090710969482366,-0.4008551353684785,0.0
20250422,0,23,50.0,-0.2347220662015957,-0.10432582807254519,0.0
20250422,1,22,96.0,-0.1028357615045698,0.041569753936303654,0.045454545454545456
20250422,2,23,259.0,-0.35730155585078227,-0.1634675024309285,0.043478260869565216
20250429,0,32,50.0,-0.19788081483812156,-0.06192011693112057,0.0625
20250429,1,29,82.0,-0.05481329891684815,0.0736085947116547,0.10344827586206896
20250429,2,31,250.0,-0.18609916598484,-0.032164960356158484,0.06451612903225806
20250509,0,33,48.0,-0.04082581616953785,0.09609940521045195,0.030303030303030304
20250509,1,33,82.0,-0.177062553930924,-0.010747347854150227,0.06060606060606061
20250509,2,34,251.5,-0.11708958356030998,0.014617333187365397,0.058823529411764705
20250516,0,42,46.0,-0.18567446895082,0.008642454635906315,0.047619047619047616
20250516,1,40,95.0,-0.18112295223147376,-0.009779726777495643,0.025
20250516,2,41,254.0,-0.12322642915275436,-0.0148635396722414,0.07317073170731707
20250523,0,47,45.0,-0.23182324929582732,-0.05753454786054358,0.02127659574468085
20250523,1,45,96.0,-0.16481083135124064,-0.016750032805047013,0.022222222222222223
20250523,2,47,258.0,-0.14862124280003813,-0.0800262585701441,0.0425531914893617
20250530,0,50,46.0,-0.09866711926082847,0.006726541705033111,0.08
20250530,1,49,112.0,-0.215320932807757,-0.017027257224568753,0.0
20250530,2,50,278.5,-0.16308289296143463,-0.08982441937598944,0.06
