combo,n,events,episodes,lift,mean_ex_idx,med_ex_idx,mean_ex_ew,p_beat_idx,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
mom12_1↑&sma120gap↑&beta60↑,864,71,14,3.8980681492038043,0.08857521150084123,-0.10512732980389317,0.25955029114975026,0.3912037037037037,0.2638888888888889,,3.563139083139083,3.7748333819009035,
mom12_1↑&sma120gap↑&bbw20↑,905,60,22,3.1449047211069208,-0.07591903038241558,-0.22010897542781682,0.07186678290259305,0.3116022099447514,0.37900552486187844,,2.3375491023782593,3.2333775408222594,
mom12_1↑&sma120gap↑&amt20↑,1795,92,21,2.4312420341630663,0.03096384206991449,-0.07820011626991175,0.17057391871233288,0.39498607242339834,0.20557103064066853,,0.9078439295924725,4.543053477448376,
mom12_1↑&on60↑&beta60↑,3212,125,29,1.8460323089208202,0.05985948919748462,-0.015986592958840973,0.2140406103939295,0.4813200498132005,0.21264009962640099,,1.4166697559468644,2.3614583913115954,1.0696224056676693
mom12_1↑&on60↑&bbw20↑,2010,131,23,3.0915769420466916,-0.07980177705843074,-0.1880249953397029,0.10552962207668333,0.34378109452736316,0.3940298507462687,,5.553282619819205,1.9153488618524668,0.0
mom12_1↑&on60↑&amt20↑,3200,193,29,2.8609624120423973,0.07008816971128237,-0.04923085168362057,0.24992085971592992,0.4403125,0.2090625,,4.32138148207772,2.0685488909045673,0.7635698633160442
mom12_1↑&beta60↑&bbw20↑,2647,109,22,1.9533379058908968,-0.018370395021893665,-0.11034515154887148,0.12203577618398366,0.3917642614280317,0.2803173403853419,,2.041119276762841,1.9347591636953745,1.2757203813938789
mom12_1↑&beta60↑&amt20↑,4578,268,28,2.7769229323477234,0.056533840647425955,-0.05368133905592737,0.24586516814127546,0.43534294451725647,0.21515945827872435,,2.068919467629145,3.5859997640939585,0.196633592620861
mom12_1↑&bbw20↑&amt20↑,3272,151,28,2.1891144797415762,-0.08045870525895878,-0.16726055701293363,0.10451216987233954,0.3254889975550122,0.34015892420537897,,3.3666337383546687,1.4905528509035428,0.5876914116533598
sma120gap↑&on60↑&beta60↑,846,34,11,1.9063971290082735,-0.030440763931715655,-0.1702833633432348,0.07327937461360966,0.3144208037825059,0.28368794326241137,0.5863789092788834,2.8913997477931908,1.547582134512238,
sma120gap↑&on60↑&bbw20↑,1201,62,23,2.448801053307096,-0.07651677490724668,-0.1831783121290269,0.026386923784338035,0.29308909242298087,0.347210657785179,0.23013795901805642,2.9692825692825693,3.1054918107963294,
sma120gap↑&on60↑&amt20↑,1536,62,16,1.914720094415249,0.01678238965563361,-0.10240207789547379,0.11489933669422124,0.37890625,0.201171875,0.37881115378193353,2.093476375256791,3.2484412344901075,
sma120gap↑&beta60↑&bbw20↑,1144,48,19,1.9903068339872472,-0.043228023926144485,-0.1667727189767566,0.0723370750990986,0.30244755244755245,0.2945804195804196,1.8792728946157384,0.6692504712678626,2.917696152530361,
