h,rule,decile,n,win_lift,mean_ex_idx,med_ex_idx,p_beat_idx,mean_ex_ew,med_ex_ew,p_beat_ew,p_lt_m30
60,R3_조용함(lv60↓+to20↓),2,94711,1.3578458148278227,-0.05863601759446065,-0.11914445024342346,0.29473873150953955,0.016661889624346206,-0.05667986913173284,0.3828699939816917,0.1708671643209342
60,R3_조용함(lv60↓+to20↓),3,94718,1.4477281896150016,-0.03650090013983614,-0.09560721350561885,0.32350767541544373,0.0412286354361516,-0.033087200377141746,0.42833463544416056,0.140923583690534
60,R3_조용함(lv60↓+to20↓),4,94703,1.3817020521003027,-0.028514472424319252,-0.08457797957959723,0.3447620455529392,0.053299912211940866,-0.019884887344790214,0.45590952768127724,0.12919337296600952
60,R3_조용함(lv60↓+to20↓),5,94845,1.3112719409776612,-0.0189575685003853,-0.06815739308574553,0.36867520691654804,0.0664347559027517,-0.0035829760405703404,0.4911381728082661,0.11546206969265643
60,R3_조용함(lv60↓+to20↓),6,94843,1.1023517069600577,-0.029046530271597672,-0.0655535167520156,0.36424406650991636,0.062039674417432814,0.003562273137226124,0.5088514703246417,0.11059329628965764
60,R3_조용함(lv60↓+to20↓),7,94701,0.8124745288651471,-0.0381243611326312,-0.06593411101393298,0.35981668620183527,0.0638256316979645,0.011723393748742539,0.5304167854616108,0.10779189237706044
60,R3_조용함(lv60↓+to20↓),8,94720,0.7234347883163798,-0.039430161441775226,-0.062094119370788126,0.36753589527027025,0.06965768277025158,0.023565433872283575,0.5644320101351351,0.10063344594594595
60,R3_조용함(lv60↓+to20↓),9,94711,0.46264476227920937,-0.05060026500497341,-0.056527976416971826,0.37182587027905944,0.07425843429437945,0.04053127252479449,0.6176896031084035,0.11033565266970045
60,R3_조용함(lv60↓+to20↓),10,94976,0.23453074192259651,-0.06425349487748663,-0.048081287407021445,0.3820965296495957,0.07998643159267116,0.05875959079283888,0.6940595518867925,0.12378916778975742
60,R4_고베타단독,1,94286,0.7996908042959703,-0.08325390386218014,-0.09717049556998247,0.31864751924994167,0.02230813834061159,-0.005318242475961216,0.48628640519271155,0.18869185244893197
60,R4_고베타단독,2,94711,0.6440037174208804,-0.07027457914509476,-0.07660124098135279,0.33888355101308193,0.04384228826170997,0.015543837994300369,0.5434638004033322,0.15562078322475742
60,R4_고베타단독,3,94719,0.7226143728716388,-0.06004062910587674,-0.07356062133247587,0.34972919899914484,0.049765832574824455,0.014669476911285617,0.5395327231072963,0.14706658642933307
60,R4_고베타단독,4,94704,0.7475743552858461,-0.05632969504297309,-0.073997652731706,0.33998563946612603,0.04698894205380225,0.007738172230023377,0.5208333333333334,0.1331622740327758
60,R4_고베타단독,5,94842,0.9091258470411334,-0.04344435459511264,-0.07331498999686836,0.3490647603382468,0.052915296111515804,0.005378388481912522,0.513822989814639,0.12222433099259822
60,R4_고베타단독,6,94842,1.0568794716663754,-0.03630312383647418,-0.07503385844619265,0.34987663693300436,0.056766437642762735,0.0007588845789211485,0.5022247527466734,0.12342633010691466
60,R4_고베타단독,7,94704,1.1116993828419879,-0.03496905364740971,-0.07720539563116013,0.3439875823618855,0.05389031714997915,-0.0042807972646144166,0.488764994086839,0.11738680520358169
60,R4_고베타단독,8,94719,1.1570662532765126,-0.028912812062147793,-0.0782476755183521,0.347691593027798,0.057129949204372775,-0.008721646748067524,0.4801254236214487,0.1138736684297765
60,R4_고베타단독,9,94711,1.2979449118358248,-0.02831891999930819,-0.08575540709633345,0.34378266516032985,0.05708238578418213,-0.016584058824776204,0.46667229783235314,0.11852899874354615
