ticker,name,market,date,fw120,ex_idx,mom12_1,mom63,nh252,dlow252,beta60,rv21_pct,size_pct,amt20_pct,dsh,range120_pct,mdd_path,R1_pct
024840,KBI메탈,KOSDAQ,20251110,4.61936936936937,4.2540171579407335,-0.2823177570093457,-0.05144694533762062,-0.36898395721925137,0.09597523219814241,0.8409277793363397,0.19887165021156558,0.11777150916784203,0.2538787023977433,356.0,0.06908831908831908,-0.22948207171314738,0.13903345724907062
318060,그래피,KOSDAQ,20250922,4.5479452054794525,4.244772804337526,,,,,,0.4369300911854103,0.17477203647416414,0.7697568389057751,,,-0.3359375,
347700,스피어,KOSDAQ,20251113,4.54140127388535,4.214872707229821,1.6363920104092213,-0.36009732360097324,-0.44318983768525055,1.8078291814946619,1.5504593126109991,0.7906810035842294,0.6243727598566309,0.4759856630824373,67.0,0.754880694143167,-0.2570621468926554,0.9147169811320754
377030,비트맥스,KOSDAQ,20241224,4.353689077249085,4.197008004488443,-0.6398662223452866,-0.34659361600762273,-0.8425870132851281,0.10337892196299281,1.041178718849176,0.696969696969697,0.09712509712509712,0.21756021756021757,,0.9601593625498008,-0.3374257425742574,0.17326732673267325
348340,뉴로메카,KOSDAQ,20250725,4.385094032969584,4.149477424317173,-0.16014990889156244,-0.10547675657948674,-0.344793418208023,0.2527125552557552,1.1428311248112597,0.07894736842105263,0.5200831024930748,0.2832409972299169,371.0,0.49789621318373073,-0.24665943264610135,0.252014652014652
006345,,KOSPI,20251111,4.969581749049429,4.128031918792514,0.061708312001453325,0.08606557377049184,-0.273308957952468,0.50853889943074,0.719647997408186,0.511727078891258,0.0021321961620469083,0.23809523809523808,367.0,0.08680057388809183,-0.25773195876288657,0.26816479400749066
079970,,KOSDAQ,20240229,4.003460207612457,4.127198709508283,,-0.5223140495867769,-0.7299065420560747,0.0,0.30157198878577385,0.9200283085633404,0.0014154281670205238,0.13588110403397027,,0.9573082489146165,-0.5746606334841629,
115450,HLB테라퓨틱스,KOSDAQ,20231012,4.155700998966586,4.109771345839383,,-0.2639920752847944,,,0.7830249822672684,0.2074235807860262,0.5116448326055313,0.15502183406113537,,,-0.15766276287621206,
319660,피에스케이,KOSDAQ,20260114,3.9333333333333336,4.109097663204228,1.286049519586105,0.3343750000000001,-0.044742729306487705,1.6100244498777507,1.244036521676397,0.7387580299785867,0.8187009279086367,0.8187009279086367,5.0,0.8605491329479769,-0.284160756501182,0.9527736131934033
017900,광전자,KOSPI,20260320,4.320099255583126,4.094134310848353,0.09036859864178037,0.1729074889867841,0.0,0.2625963248369887,0.43632544683214064,0.17565947242206234,0.2619904076738609,0.005995203836930456,0.0,0.040410132689987936,-0.7544994375703037,0.5235148514851485
100790,미래에셋벤처투자,KOSDAQ,20251127,4.218317358892439,4.040673741812881,0.2165068265068265,0.3403908794788273,-0.07319819819819817,0.9618593563766389,1.8217872796014756,0.5807926829268293,0.6257621951219512,0.34375,18.0,0.4754224270353303,-0.44414414414414416,0.8435754189944135
009310,참엔지니어링,KOSPI,20260303,4.35140562248996,3.9943199806769965,-0.40019957650838456,0.06842105263157894,-0.3214484679665738,0.33699231613611413,0.9298522125162226,0.9737136465324385,0.0011185682326621924,0.4065995525727069,494.0,0.6139954853273137,-0.07543859649122808,0.18392134181607867
009150,삼성전기,KOSPI,20260108,4.56015037593985,3.9800622006707886,1.079221581122722,0.40713916192446975,0.0,1.4840182648401825,0.6384248304776272,0.25180897250361794,0.9775687409551375,0.984081041968162,0.0,0.7979502196193266,-0.34845814977973566,0.8928571428571429
000500,가온전선,KOSPI,20251118,4.8258258258258255,3.9752999332845165,0.5399274047186933,0.04651162790697683,-0.27575107296137336,1.0,1.3308873696990013,0.8797376093294461,0.8083090379008746,0.7849854227405247,10.0,0.6578366445916115,-0.399822695035461,0.9287356321839081
347850,디앤디파마텍,KOSDAQ,20250527,4.1411478781080575,3.9659945417560216,1.0046966331540799,0.6106750392464677,-0.028032553933600268,2.5098740475820245,1.4106477963422506,0.9219910846953938,0.8142644873699851,0.9539375928677564,4.0,0.8758516275548827,-0.25290659941775295,0.9897151898734177
000250,삼천당제약,KOSDAQ,20250924,4.238938053097345,3.940315211505754,0.5008954426158891,0.5569453587886768,-0.08333333333333337,1.672316384180791,1.5992069845380341,0.8055141579731744,0.9359165424739195,0.9321907600596125,1.0,0.716012084592145,-0.21818181818181814,0.9777777777777777
232140,와이씨,KOSDAQ,20231204,3.9596541786743513,3.9197466323860235,,-0.0750636132315522,,,0.7749301657568162,0.17954545454545454,0.556060606060606,0.05303030303030303,,0.3821705426356589,-0.29452054794520544,
215790,이노인스트루먼트,KOSDAQ,20251022,4.246781115879829,3.8995224206514534,-0.15321407609666482,0.022421524663677195,-0.17540687160940327,0.10948905109489049,0.4202278185280853,0.947255880256593,0.008553100498930863,0.027797576621525304,4.0,0.19480519480519481,-0.6675191815856778,0.4284632853898562
131290,티에스이,KOSDAQ,20260115,3.765494137353434,3.8966080187056376,0.4246153846153846,0.11654135338345872,-0.07906976744186045,0.6318681318681318,1.365843149145758,0.640625,0.7230113636363636,0.6186079545454546,8.0,0.6736161035226456,-0.24139344262295082,0.8895522388059701
009155,,KOSPI,20260105,4.678104575163399,3.890815712987453,1.1104928361186115,0.45818610129564186,-0.04475308641975306,1.5162601626016259,0.7926183251695139,0.37407407407407406,0.5748148148148148,0.5644444444444444,14.0,0.8213751868460388,-0.29281045751633983,0.8576982892690513
047040,대우건설,KOSPI,20251210,4.865771812080537,3.889520054438137,-0.09043688421545026,-0.038461538461538436,-0.21366594360086766,0.2205387205387206,0.5422905979171727,0.3215686274509804,0.8180392156862745,0.6109803921568627,121.0,0.20681458003169573,-0.4508748317631225,0.15715467328370555
468530,프로티나,KOSDAQ,20250827,4.366013071895424,3.872106279815968,,,,,,0.9716475095785441,0.3371647509578544,0.9547892720306513,,,-0.3971377459749553,
412350,레이저쎌,KOSDAQ,20251121,4.225058004640371,3.869294611991733,-0.5819004026018956,-0.17392819797838965,-0.4659756647138351,0.2626531699520511,1.5982303496098147,0.9447310243183493,0.022844509948415623,0.28887251289609434,,0.6285289747399703,-0.4088291746641075,0.5019334880123744
