rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
638,099440,KOSDAQ,1.961,1212,0.785,851.0,스맥,기계·장비,EXCLUDE,0.19,0.035,-64.1,31.6,-11.5,11.1,4.7,20.4,-0.1,0.4,0,0
639,012800,KOSPI,1.96,1212,1.029,611.0,대창,철강·1차금속,EXCLUDE,0.11,0.0374,-37.3,-6.7,-6.4,8.5,-2.2,-26.3,-0.1,-1.2,0,0
640,331920,KOSDAQ,1.954,1212,1.609,85.0,셀레믹스,제약·바이오,EXCLUDE,0.11,0.0749,-38.0,383.4,-20.4,5.9,-0.8,-6.6,0.0,6.6,0,0
641,311320,KOSDAQ,1.953,1212,1.43,196.0,지오엘리먼트,반도체·전자부품,,0.13,0.0634,-7.8,2.5,64.5,27.6,-12.9,-10.4,14.6,32.4,0,0
642,012610,KOSPI,1.951,1212,1.057,574.0,경인양행,화학,OBSERVE,0.14,0.0434,-46.0,18.7,-16.3,11.4,-4.6,-8.9,-0.0,1.2,0,0
643,327260,KOSDAQ,1.95,1212,1.197,415.0,RF머트리얼즈,반도체·전자부품,WATCH,0.4,0.0723,-60.2,1196.8,-30.4,98.8,-40.8,176.6,-15.3,-201.9,0,0
644,078350,KOSDAQ,1.945,1212,1.265,336.0,한양디지텍,반도체·전자부품,OBSERVE,0.31,0.0737,-51.4,176.2,-9.8,59.5,-27.2,-27.2,-10.5,-69.8,0,0
645,061970,KOSDAQ,1.943,1212,1.255,350.0,LB세미콘,반도체·전자부품,WATCH,0.24,0.0644,-37.5,24.8,5.6,22.2,-10.1,-22.4,11.9,31.9,0,0
646,278280,KOSDAQ,1.942,1212,0.726,885.0,천보,화학,WATCH,0.45,0.0444,-54.1,-1.0,-3.7,25.2,-3.6,-47.8,4.6,19.9,0,0
647,314930,KOSDAQ,1.939,1212,0.643,946.0,바이오다인,의료·정밀·광학,WAIT,0.27,0.0347,-43.6,-36.2,-5.2,5.8,3.3,-0.2,0.6,15.4,0,0
648,036710,KOSDAQ,1.938,1212,1.494,159.0,심텍홀딩스,엔지니어링,,0.19,0.0831,-41.4,215.7,-15.8,22.8,-2.4,-3.8,-0.8,-9.4,0,0
649,265740,KOSDAQ,1.937,1212,0.982,657.0,엔에프씨,화학,,0.09,0.0355,-43.8,4.3,8.6,8.7,-1.6,-2.0,0.1,-11.5,0,0
650,004560,KOSPI,1.936,1212,0.929,716.0,현대비앤지스틸,철강·1차금속,WAIT,0.17,0.041,-48.1,8.7,-4.5,10.2,1.6,16.5,-0.5,6.5,0,0
651,347890,KOSDAQ,1.936,1212,0.938,702.0,엠엑스온,의료·정밀·광학,EXCLUDE,0.07,0.0283,-41.5,-7.6,-12.3,9.8,1.2,-2.5,0.1,1.0,0,0
652,130660,KOSPI,1.936,1212,0.636,952.0,한전산업,연구개발,,0.38,0.0382,-54.8,-9.8,-3.1,35.9,2.0,-47.0,4.7,8.1,0,0
653,000540,KOSPI,1.936,1212,0.669,920.0,,,,0.21,0.0308,-50.6,-15.2,-2.1,5.9,1.0,0.6,0.0,0.4,0,0
654,010960,KOSPI,1.933,1212,1.329,281.0,삼호개발,건설,,0.1,0.0539,-0.9,-11.2,44.6,138.2,-13.3,-17.4,-16.0,-16.0,0,0
655,348210,KOSDAQ,1.932,1212,0.902,746.0,넥스틴,기계·장비,EXCLUDE,0.46,0.0545,-55.5,26.9,-21.1,69.5,-37.1,159.4,18.9,-280.0,0,0
656,048550,KOSDAQ,1.928,1212,1.04,596.0,SM C&C,엔지니어링,,0.15,0.0454,-10.5,-43.1,92.1,20.3,10.6,18.7,0.0,-0.1,0,0
657,243840,KOSDAQ,1.926,1212,1.04,595.0,신흥에스이씨,전기장비,WAIT,0.19,0.0487,-56.3,66.3,-14.9,12.5,-5.9,4.3,-0.4,-13.8,0,0
658,002800,KOSDAQ,1.925,1212,0.908,738.0,신신제약,제약·바이오,,0.07,0.0258,-34.3,-23.4,0.1,15.3,1.0,-4.8,-0.0,-0.2,0,0
659,005250,KOSPI,1.924,1212,0.691,906.0,녹십자홀딩스,엔지니어링,WAIT,0.48,0.0443,-40.5,-37.8,5.5,19.2,1.5,32.1,-0.0,-44.9,0,0
660,006220,KOSPI,1.924,1212,0.61,973.0,,,,0.37,0.0371,-49.7,-22.8,-6.7,310.2,1.4,4.9,-0.1,-15.3,0,0
661,295310,KOSDAQ,1.922,1212,1.14,471.0,에이치브이엠,철강·1차금속,WATCH,0.65,0.0822,-59.6,236.2,-43.4,256.9,-152.9,-15.6,94.9,145.0,0,0
662,452430,KOSDAQ,1.921,1212,1.233,379.0,사피엔반도체,반도체·전자부품,OBSERVE,0.24,0.0642,-45.4,56.3,-19.4,17.0,-10.6,-11.4,0.3,-7.5,0,0
