rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
68,034310,KOSPI,0.939,1093,NICE,엔지니어링,,0.46,0.0226,-18.2,0.4,-0.8,7.3,-2.0,-26.6,6.2,43.9,0,1,
69,039130,KOSPI,0.938,1093,하나투어,사업지원,,0.5,0.0267,-38.6,-40.5,2.2,8.8,-2.5,-16.5,5.4,5.7,0,1,
70,358570,KOSDAQ,0.937,1093,지아이이노베이션,지주·전문서비스,,0.52,0.0658,-61.3,-51.0,-5.2,33.7,-0.8,-34.0,-8.7,-24.7,0,1,
71,200670,KOSDAQ,0.936,1093,휴메딕스,제약·바이오,WAIT,0.29,0.0378,-62.7,-47.6,-5.8,7.0,-0.8,-29.5,-2.6,-2.8,0,1,
72,000670,KOSPI,0.935,1093,영풍,철강·1차금속,,0.72,0.0335,-43.9,-0.9,3.0,11.5,10.4,19.2,-10.6,-17.3,0,1,
73,011760,KOSPI,0.934,1093,현대코퍼레이션,도매,,0.35,0.0316,-19.8,20.7,-2.1,5.4,-0.4,18.8,1.0,-3.5,0,1,
74,365270,KOSDAQ,0.933,1093,큐라클,지주·전문서비스,EXCLUDE,0.22,0.0645,-49.0,121.4,-0.1,13.0,-1.7,-11.0,-3.4,4.4,0,1,
75,037460,KOSDAQ,0.932,1093,삼지전자,반도체·전자부품,OBSERVE,0.49,0.047,-46.8,214.6,-15.7,25.3,-16.0,-51.1,16.6,87.8,0,1,
76,056080,KOSDAQ,0.931,1093,유진로봇,기계·장비,EXCLUDE,0.45,0.0583,-74.0,42.6,-9.2,37.2,-1.2,-78.0,-8.6,-16.2,0,1,
77,014680,KOSPI,0.93,1093,한솔케미칼,화학,WATCH,2.08,0.0486,-42.9,34.9,-13.6,87.5,46.6,245.4,-71.9,-375.2,0,1,
78,094360,KOSDAQ,0.93,1093,칩스앤미디어,반도체·전자부품,,0.23,0.0609,-44.8,-32.8,6.8,5.2,2.2,3.6,0.1,0.5,0,1,
79,062040,KOSPI,0.929,1093,산일전기,전기장비,,5.87,0.0647,-42.5,45.6,18.8,542.1,-440.7,-812.0,-4.7,484.5,0,1,
80,090360,KOSDAQ,0.928,1093,로보스타,기계·장비,OBSERVE,0.74,0.0669,-51.9,196.0,-4.9,140.5,3.1,-138.5,-15.2,-34.2,0,1,
81,005070,KOSPI,0.927,1093,코스모신소재,화학,,1.3,0.0561,-40.5,-23.6,8.6,33.3,-4.1,35.3,-0.7,16.2,0,1,
82,455900,KOSDAQ,0.926,1093,엔젤로보틱스,기계·장비,EXCLUDE,0.32,0.068,-48.1,9.8,-11.3,14.4,-3.6,-6.6,0.3,3.1,0,1,
83,399720,KOSDAQ,0.925,1093,가온칩스,반도체·전자부품,EXCLUDE,0.5,0.0872,-47.3,13.7,-6.5,36.2,-9.8,-8.8,-20.2,-53.4,0,1,
84,033270,KOSPI,0.924,1093,유나이티드제약,제약·바이오,,0.29,0.0172,-13.6,-13.1,2.9,5.2,6.2,0.0,3.1,0.6,0,1,
85,090710,KOSDAQ,0.923,1093,휴림로봇,기계·장비,EXCLUDE,0.75,0.0554,-70.8,209.9,-12.4,75.0,-6.6,6.2,-28.4,-57.3,0,1,
86,003540,KOSPI,0.922,1093,대신증권,,,1.26,0.0327,-45.9,6.9,-0.2,16.3,15.8,-11.7,-14.4,-9.8,0,1,
87,024110,KOSPI,0.921,1093,기업은행,,,16.51,0.0185,-27.5,5.4,1.7,202.4,70.0,92.5,104.7,-13.0,0,1,
88,352820,KOSPI,0.92,1093,하이브,미디어·엔터,,7.69,0.044,-55.9,-36.6,-1.2,342.9,63.8,73.4,-82.8,-451.8,0,1,
89,085660,KOSDAQ,0.919,1093,차바이오텍,제약·바이오,WATCH,0.75,0.0372,-66.1,-15.4,-12.8,29.8,-5.0,-34.8,-19.6,-38.2,0,1,
90,002960,KOSPI,0.919,1093,한국쉘석유,석유정제,,0.65,0.0171,-13.9,15.1,0.0,7.3,2.2,1.1,-0.2,15.4,0,1,
91,011070,KOSPI,0.918,1093,LG이노텍,반도체·전자부품,WAIT,13.3,0.0669,-63.3,278.7,1.4,1701.0,-181.7,-985.0,-822.7,-1516.4,0,1,
92,139130,KOSPI,0.917,1093,iM금융지주,,,2.87,0.0277,-16.3,24.1,2.5,71.5,4.1,-133.8,86.8,267.5,0,1,
93,010120,KOSPI,0.916,1093,LS ELECTRIC,전기장비,,29.3,0.0694,-38.7,276.6,-3.6,1154.0,-524.0,459.1,-420.7,-776.7,0,1,
94,001720,KOSPI,0.915,1093,신영증권,,,2.43,0.0412,-42.0,15.3,-3.3,9.9,1.3,-8.7,1.0,55.9,0,1,
95,112610,KOSPI,0.914,1093,씨에스윈드,금속가공,,1.98,0.0599,-38.9,-4.2,11.1,177.2,-41.9,260.7,32.9,247.1,0,1,
96,214370,KOSDAQ,0.913,1093,케어젠,제약·바이오,OBSERVE,2.39,0.0596,-70.4,27.7,-33.4,47.6,34.6,108.2,-30.6,-119.2,0,1,
97,008730,KOSPI,0.912,1093,율촌화학,고무·플라스틱,,0.4,0.0417,-57.4,-55.8,14.0,9.9,-0.3,-9.2,0.6,7.0,0,1,
