factor,label,h,IC,ci_lo,ci_hi,n_days,pct_pos
tru5n,투신5d,20,-0.05919231679801425,-0.08826000581268705,-0.02946771253453517,16,0.25
tru20n,투신20d,20,-0.04808692376713939,-0.058009916977143146,-0.03723596425952157,16,0.0
per5n,개인5d,20,0.05686323245793954,0.0233876203964263,0.08421443269714467,16,0.875
per20n,개인20d,20,0.056389719745752666,0.043455682217796346,0.06980025070448273,16,1.0
rv21,실현변동성21,1,-0.15934888602864583,-0.22949911423477973,-0.08433165507466388,35,0.22857142857142856
dd52,52주고점대비낙폭,1,0.06488268611317195,-0.0005796173771043638,0.12544595138882403,35,0.7428571428571429
dlow52,52주저점대비거리,1,-0.09659997654589646,-0.14945701779200224,-0.04249534090107389,35,0.2857142857142857
mom21,1개월수익,1,0.03162649377035665,-0.03847342203811897,0.0971779796156213,35,0.5714285714285714
mom63,3개월수익,1,-0.019366921004655112,-0.07295496665333435,0.03260329955834979,35,0.37142857142857144
mom12_1,12-1모멘텀,1,-0.05751163927753739,-0.1186933571147604,0.0009935998411562679,35,0.37142857142857144
ret5,직전1주수익(반전),1,-0.004689520150502821,-0.0777499015961226,0.06264282710385907,35,0.45714285714285713
sma20gap,SMA20이격,1,0.033633608105227454,-0.0461896023743675,0.11101323486250236,35,0.6
max5_21,복권성(최대급등),1,-0.14004802263378383,-0.1963295093915937,-0.08283102823293942,35,0.22857142857142856
upr63,상승일비율63,1,-0.011745006846822401,-0.04365009907349281,0.021789788871197435,35,0.42857142857142855
amihud63,비유동성,1,-0.006389917232164136,-0.04143604901019891,0.028214688009695833,35,0.4857142857142857
obv63,OBV매집,1,-0.0842765752198425,-0.12499509286589415,-0.04160267383732247,35,0.3142857142857143
amt20,거래대금20,1,-0.06552252440580283,-0.110133523879538,-0.01866746725665058,35,0.3142857142857143
amt_trend,거래대금팽창,1,0.00847424686087226,-0.038194559918758066,0.056134906441267965,35,0.5714285714285714
size,시가총액,1,0.048607197877219135,0.010357025786400156,0.08656715584709841,35,0.6571428571428571
