anchor,rate,n,mk20
20241128,0.010806317539484621,1203,-4.092800875588642
20241129,0.012417218543046357,1208,0.0
20241202,0.0180623973727422,1218,1.5965317234848397
20241203,0.020542317173377157,1217,2.165605095541401
20241204,0.03228410008071025,1239,6.02672967584732
20241205,0.037096774193548385,1240,7.0572629445255775
20241206,0.03269537480063796,1254,8.815568626857996
20241209,0.06031746031746032,1260,15.39209900958518
20241210,0.036115569823434994,1246,8.509802143321377
20241211,0.02390438247011952,1255,4.777192567167732
20241212,0.019936204146730464,1254,5.076461549718281
20241213,0.01988862370723946,1257,2.5773715999019675
20241216,0.019747235387045814,1266,3.6805863742430667
20241217,0.01728201099764336,1273,4.351519864069009
20241218,0.015552099533437015,1286,4.313545593990553
20241219,0.019409937888198756,1288,6.094745455608175
20241220,0.02560124127230411,1289,9.576394188325787
20241223,0.017080745341614908,1288,6.5911901537011985
20241224,0.02040816326530612,1274,7.150313919807094
20241226,0.01987281399046105,1258,7.792611449884546
20241227,0.014274385408406027,1261,5.680436055678162
20241230,0.015139442231075698,1255,6.15314292454916
20250102,0.012,1250,6.459082766555491
20250103,0.010416666666666666,1248,4.896848787123109
20250106,0.013535031847133758,1256,3.4737311270822913
20250107,0.013492063492063493,1260,4.368709017249306
20250108,0.016786570743405275,1251,4.1632505593152125
20250109,0.012789768185451638,1251,2.993697478991586
20250110,0.018518518518518517,1242,4.372536182423481
20250113,0.01778496362166532,1237,6.793182813007448
20250114,0.021969080553295363,1229,7.02467829090303
20250115,0.03391232423490488,1209,8.718258596703254
20250116,0.02335279399499583,1199,7.460234176516067
20250117,0.019118869492934332,1203,6.0136058176599505
20250120,0.018211920529801324,1208,6.457686282054809
20250121,0.018976897689768978,1212,6.509014282369474
20250122,0.0165016501650165,1212,5.068891589627356
20250123,0.023868312757201648,1215,6.546870899573198
20250124,0.02040816326530612,1225,5.778466942942617
20250131,0.0171990171990172,1221,2.151615427920217
20250203,0.02035830618892508,1228,4.845126456379667
20250204,0.019559902200488997,1227,3.754583842649195
20250205,0.020458265139116204,1222,0.5390024350871325
20250206,0.013061224489795919,1225,-1.7046682515668876
20250207,0.018760195758564437,1226,-2.2990981289540913
20250210,0.00897226753670473,1226,-3.7576533674816837
20250211,0.006514657980456026,1228,-2.6814658680078485
20250212,0.007275666936135812,1237,-3.003301215813625
20250213,0.007205764611689352,1249,-2.0045910740977946
20250214,0.01200960768614892,1249,-1.693727522741706
