c1,c2,n,events,lift
sma20gap↓,upr63↓,39667,897,1.2940433302922905
sma20gap↓,amihud63↑,21687,490,1.2929517919111106
amt20↑,mom21↓,19923,450,1.292538567364897
rv21↑,size↑,5197,117,1.2883055470807812
dd52↓,upr63↓,42396,953,1.286334000134349
sma20gap↓,mom12_1↓,22598,507,1.2838777925233007
amt20↑,vol_dry↑,7537,169,1.2831396380275775
turn20↑,nh_fresh↑,6651,149,1.2819912246325584
rv_ratio↑,amihud63↑,22909,512,1.278938203746878
sma20gap↑,sma60gap↑,10258,229,1.277492971550201
rv_ratio↑,turn20↑,17862,398,1.2750837730363795
mom12_1↓,ret5↓,19762,440,1.2741117280244656
dd52↓,mom21↓,47214,1050,1.2726360905894856
mom21↓,upr63↓,43297,961,1.2701391827703754
dd52↑,size↓,4641,103,1.2700224211228026
mom63↓,mom12_1↑,16402,364,1.2699607770665295
rv_ratio↓,amihud63↓,21519,477,1.2684753301857659
amt20↓,sma20gap↑,5506,122,1.2679711010487642
dlow52↑,amihud63↑,4559,101,1.267761367570225
ret5↓,amihud63↑,19961,442,1.2671432268372207
sma20gap↑,nh_fresh↑,3481,77,1.265821400348581
sma20gap↑,mom12_1↓,5987,132,1.2616834459271502
dd52↓,mom12_1↓,53679,1182,1.260081953312428
dd52↓,ret5↓,31721,698,1.259198751795857
sma20gap↓,dd52↓,43450,956,1.2590815015469106
rv21↑,amihud63↓,8011,176,1.2572211194217697
max21↑,size↑,4284,94,1.2556370538932562
ret5↑,price↑,12204,267,1.2519725134422404
rv_ratio↑,sma60gap↓,11345,248,1.2509297248219948
rv_ratio↓,vol_dry↑,3477,76,1.2508194718936658
dlow52↑,max21↓,3706,81,1.250735093893673
vol_dry↑,upr63↑,9434,206,1.2495599017237495
rv_ratio↓,upr63↑,13880,303,1.249219900883139
amt_trend↑,mom21↑,4643,101,1.244825344551509
amt_trend↑,sma60gap↑,5610,122,1.2444650414214788
ret5↓,obv63↑,16793,365,1.2437993006779224
amt_trend↑,ret5↓,14453,314,1.2432468777062518
mom12_1↓,upr63↓,30146,652,1.2376664906493784
vol_dry↓,bbw20↑,15408,332,1.2330410798671398
rv_ratio↑,max21↑,23626,509,1.2328587292440456
amt20↑,amt_trend↑,7070,152,1.230296832750856
amt20↓,size↓,38392,824,1.2282088052575384
bbw20↑,amihud63↓,8208,176,1.2270465871939322
mom63↑,amihud63↑,8754,187,1.222420983198342
mom12_1↑,size↓,8101,173,1.2220618954660403
amt_trend↑,sma20gap↓,12647,270,1.2216926960201238
amt20↓,sma20gap↓,21661,462,1.220532097672336
vol_dry↓,upr63↑,10872,231,1.2158731497277626
sma20gap↓,mom21↓,82886,1758,1.2137337294018253
sma60gap↓,mom12_1↓,31179,661,1.2131793497119336
max21↑,amihud63↓,6329,134,1.2115893146538346
turn20↑,dlow52↓,9326,197,1.2088058326516875
dd52↓,nh_fresh↑,20785,439,1.2086490728111792
rv_ratio↓,dd52↓,27682,584,1.2072608427879112
sma60gap↓,dd52↓,58962,1241,1.204440379080879
sma60gap↑,price↑,7890,166,1.203973191292325
dlow52↓,max21↑,7193,151,1.2013031581689722
sma60gap↓,ret5↓,43444,912,1.201298030689884
rv_ratio↑,price↓,19691,412,1.1973336156479462
mom63↓,ret5↓,33049,690,1.1947485152047959
amihud63↑,size↓,52103,1087,1.1938576481611418
sma20gap↓,obv63↑,18976,395,1.1911820921932128
amt_trend↓,bbw20↑,10962,228,1.1902296945195063
amt20↑,amihud63↓,58120,1207,1.188413006586996
mom63↓,mom12_1↓,36230,751,1.1861984024341856
mom21↑,mom63↑,4005,83,1.1859361397373838
amt_trend↓,dd52↓,32707,675,1.180996998086534
turn20↑,size↓,31405,648,1.180760836292298
dd52↑,ret5↑,12494,257,1.1771108248485473
obv63↓,price↓,18767,386,1.1770046605161288
sma20gap↑,dd52↑,10216,210,1.1763163739446354
amt_trend↓,ret5↓,24254,498,1.1749833197777413
sma20gap↑,zr20↑,4976,102,1.173020310609283
rv_ratio↑,mom21↑,4394,90,1.1721095074014949
dd52↓,zr20↑,13591,278,1.1705207455874909
rv_ratio↑,upr63↓,16152,330,1.1691584309630152
vol_dry↓,dd52↓,29350,598,1.1659470024464347
ret5↓,amihud63↓,19106,389,1.1651063245275617
vol_dry↓,turn20↑,29270,595,1.1632685189369816
amt20↓,sma60gap↓,31434,638,1.1614666970594982
ret5↑,nh_fresh↓,3646,74,1.1614507191705994
amt_trend↑,obv63↓,7256,147,1.1593265784664935
rv_ratio↓,ret5↓,23152,469,1.15923119832215
dd52↓,mom63↓,59360,1198,1.1549113717197437
sma20gap↑,nh_fresh↓,3495,70,1.1461371555763848
amt_trend↑,upr63↓,13814,276,1.143339906732396
amt_trend↑,mom12_1↓,14923,298,1.142735862096247
amt20↓,mom21↓,26444,526,1.13826747774108
vol_dry↓,obv63↓,11819,235,1.137818161197798
amt20↓,ret5↓,17266,343,1.1368106022137945
ret5↓,obv63↓,23511,467,1.136662444042199
turn20↑,zr20↑,7761,154,1.135504263526198
amt20↑,nh_fresh↑,4991,99,1.1350979950058877
amt_trend↓,mom12_1↓,16818,333,1.1330670679885853
amt20↓,vol_dry↑,13404,265,1.1313505350918258
sma20gap↓,mom63↓,47277,934,1.1305315786482284
sma20gap↓,sma60gap↓,69120,1363,1.1284384044233404
rv_ratio↑,mom12_1↑,5287,104,1.1256665495120222
dd52↓,obv63↓,37614,739,1.1242959597522444
rv_ratio↑,sma20gap↓,15507,304,1.1218415692975499
mom21↓,obv63↑,18725,367,1.1215792597042789
amt20↑,upr63↓,9257,181,1.1189071342641757
obv63↑,nh_fresh↓,3638,71,1.116815379213469
amt_trend↓,obv63↓,18962,370,1.1166146298112027
amt20↑,size↑,51296,999,1.1144682986645367
vol_dry↓,ret5↓,27068,527,1.1141410585275697
mom12_1↓,nh_fresh↑,19885,385,1.107951796483131
sma20gap↓,obv63↓,31463,608,1.105832070374542
sma60gap↓,upr63↓,52139,1007,1.105229593490653
dlow52↓,size↓,28535,551,1.1049928141707903
amt_trend↑,amihud63↑,28798,556,1.104836964600291
amt20↑,mom21↑,3367,65,1.1047295528790582
amt_trend↑,price↓,21263,410,1.1034306656654957
amt20↓,mom63↓,32625,628,1.1015262604437368
rv_ratio↓,sma20gap↓,35277,679,1.101447650870902
amt20↓,mom12_1↓,28126,541,1.1007153539064265
amt20↓,price↓,35071,674,1.0997588841372397
sma60gap↑,size↑,8133,156,1.0976390717945521
sma60gap↓,mom21↓,79166,1518,1.0972833804134003
rv_ratio↑,nh_fresh↑,7928,152,1.0971491684597063
vol_dry↑,nh_fresh↓,4908,94,1.095996157065752
rv_ratio↑,amt_trend↑,30498,584,1.0957897124419622
amt20↑,price↑,42360,810,1.0942455755358718
sma20gap↓,nh_fresh↑,12796,244,1.091192385491481
rv_ratio↑,ret5↓,16371,312,1.0905990557577536
mom12_1↓,zr20↑,13227,252,1.0902470470599586
mom12_1↑,amihud63↑,5680,108,1.0880808117300356
max21↑,nh_fresh↑,4314,82,1.0877258342162928
amt_trend↓,size↓,28228,535,1.0845745394267161
mom12_1↓,upr63↑,5706,108,1.0831228549994045
mom21↓,mom63↓,54194,1024,1.0812708163131428
rv_ratio↓,dd52↑,8468,160,1.081246874617576
amt_trend↓,upr63↓,32785,619,1.0804413399244988
amt_trend↓,amihud63↑,12091,228,1.0790917137807317
amt_trend↑,upr63↑,7291,137,1.0752741386588294
dlow52↓,amihud63↑,22964,431,1.0740276542269325
rv_ratio↓,mom12_1↓,16316,306,1.073231625200746
amt_trend↓,price↓,29626,555,1.0720269329548382
sma20gap↓,zr20↑,14701,275,1.0704627223156373
sma20gap↑,price↑,7166,134,1.070073789065604
