rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
92,019210,1.156,122,와이지-원,금속가공,57.3,-6.4,-12.7,0.97,1.8,-55.3,65.3,-6.9,13.7,-22.6,-23.2,206.8,63.0,WATCH,WATCH,0,0,
93,308080,1.148,122,바이젠셀,지주·전문서비스,66.7,-8.8,5.0,0.38,-8.1,-67.3,16.8,1.0,-11.4,0.0,0.0,55.2,74.0,EXCLUDE,EXCLUDE,0,0,
94,402030,1.131,122,코난테크놀로지,출판·SW,55.4,-4.5,-3.1,0.37,1.5,-56.3,5.8,1.3,0.9,-0.2,-5.8,36.6,113.0,EXCLUDE,EXCLUDE,0,0,
95,082800,1.131,122,비보존 제약,제약·바이오,58.0,-4.0,-8.4,0.48,2.7,-62.7,9.3,1.8,-7.1,0.0,-0.1,29.1,106.0,EXCLUDE,EXCLUDE,0,0,
96,419050,1.127,122,삼기에너지솔루션즈,자동차·부품,65.1,-5.3,-4.0,0.46,-4.9,-38.3,11.0,-0.2,3.0,0.0,0.0,6.8,40.0,WATCH,WATCH,0,0,
97,0009K0,1.123,122,에임드바이오,지주·전문서비스,69.8,-8.7,-12.4,1.21,-1.8,-73.3,21.2,4.8,30.1,-10.1,-52.9,279.6,51.0,OBSERVE,B,0,0,
98,394420,1.119,122,리센스메디컬,의료·정밀·광학,46.4,-3.1,-21.5,0.59,6.4,-75.4,8.1,0.1,-11.0,-0.6,-5.8,-65.5,109.0,EXCLUDE,EXCLUDE,0,0,
99,178320,1.102,122,서진시스템,전기장비,61.4,-9.0,-9.5,0.9,-5.1,-60.6,341.1,-142.0,-360.6,18.9,106.3,-224.1,72.0,WATCH,WATCH,0,0,CB 08/24
100,060250,1.09,122,NHN KCP,금융보조,59.9,-8.3,-5.2,0.66,-7.3,-47.3,78.2,7.4,-15.0,-11.5,17.5,24.8,26.0,WAIT,B,0,0,
101,067170,1.07,122,오텍,자동차·부품,48.9,-4.8,-6.5,0.44,-1.0,-52.7,8.8,0.3,6.6,0.1,-1.1,71.3,85.0,WATCH,WATCH,0,0,
