rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
55,002990,1.037,107,금호건설,건설,68.7,0.06085324252443156,25.8,-8.4,-13.9,-30.4,1298.2,-9.5,-48.2,1.3,-12.5,2.2,94.7,0,0,
56,017670,1.022,107,SK텔레콤,통신,51.6,0.021838664459660647,3.02,-2.0,-7.8,-36.1,999.8,-10.4,-792.8,-45.4,-936.5,67.3,85.6,0,0,
57,005250,1.015,107,녹십자홀딩스,엔지니어링,69.0,0.015455328379610845,0.0,-2.0,-6.4,-46.6,10.4,-4.8,-21.7,0.0,-2.4,-69.4,53.0,0,0,
58,204320,1.004,107,HL만도,자동차·부품,48.3,0.023849098067639924,3.69,-3.0,-11.0,-39.0,145.9,41.4,81.2,-39.4,-104.0,2.8,60.3,0,0,
59,128820,0.996,107,대성산업,소매,56.6,0.016021015328763235,0.0,-6.2,-2.4,-69.4,5.3,-1.5,-0.7,0.0,-0.3,494.5,75.6,0,0,
60,001040,0.966,107,CJ,금융(은행),45.6,0.022888255919620473,2.75,-0.6,3.7,-45.7,154.5,-66.8,47.4,69.5,8.3,-14.1,41.6,0,0,
61,298050,0.95,107,HS효성첨단소재,화학,68.2,0.018198395831811834,0.0,-3.6,-0.3,-41.2,23.5,-11.7,-57.8,-0.8,59.7,32.1,89.2,0,0,
62,007810,0.942,107,코리아써키트,반도체·전자부품,68.2,0.04375011888989581,10.74,2.2,-15.3,-64.8,134.8,69.0,285.5,-31.8,-274.5,213.4,105.2,0,0,
63,267250,0.942,107,HD현대,금융(은행),44.3,0.042230713728623026,9.52,-14.3,-4.3,-36.3,350.6,-453.2,-443.0,59.0,483.5,262.2,57.3,0,0,
64,011780,0.93,107,금호석유화학,화학,44.0,0.02834887845868451,4.62,-3.8,0.2,-25.9,119.6,32.6,75.4,-75.3,-12.6,419.7,51.0,0,0,
65,003570,0.922,107,SNT다이내믹스,자동차·부품,42.4,0.03840267138923341,7.35,-1.6,-9.4,-63.0,10.9,-7.5,-39.8,5.9,21.4,-41.9,27.4,0,0,
66,078930,0.921,107,GS,금융(은행),49.7,0.030898900117501255,5.43,-4.2,0.4,-14.4,557.8,566.1,1420.8,-374.8,-697.8,253.4,57.7,0,0,
67,249420,0.914,107,일동제약,제약·바이오,40.7,0.05444560481863751,12.04,-6.1,-0.7,-68.1,92.0,-0.7,-283.9,-0.2,-9.7,232.1,49.7,0,0,
68,108670,0.912,107,LX하우시스,고무·플라스틱,40.4,0.019195665141463272,0.0,-2.5,-2.6,-21.9,7.3,-4.6,-7.9,1.1,24.7,78.5,57.4,0,0,
69,456040,0.903,107,OCI,화학,65.6,0.019690487875137892,0.0,-6.1,-6.8,-53.9,25.0,-2.6,-50.0,-12.1,34.7,2004.0,89.6,0,0,
70,003550,0.9,107,LG,금융(은행),52.3,0.0249111104702178,2.57,-0.4,1.5,-39.7,379.5,-75.1,-823.4,117.6,267.0,92.5,84.3,0,0,
71,298020,0.899,107,효성티앤씨,화학,54.8,0.022011722724675813,0.69,-3.8,2.3,-41.1,47.8,28.8,30.9,-35.3,64.1,157.5,82.8,0,0,
72,322000,0.895,107,HD현대에너지솔루션,반도체·전자부품,52.5,0.044886696495220126,9.98,-5.2,-8.8,-50.5,331.2,-88.5,-46.7,-6.1,102.5,139.8,67.5,0,0,
73,123690,0.882,107,한국화장품,도매,50.2,0.026693721009680642,3.35,-3.6,1.9,-51.3,19.2,-2.0,-5.8,0.0,0.0,-79.2,45.2,0,0,
74,008060,0.871,107,대덕,금융(은행),66.4,0.02260171093758249,0.58,-2.1,-9.0,-41.5,10.1,0.0,18.8,0.4,-1.4,441.3,83.4,0,0,
75,025560,0.848,107,미래산업,의료·정밀·광학,59.3,0.04545675109467684,8.72,2.4,-28.8,-54.6,26.8,-1.8,5.1,-1.5,-71.4,899.3,82.3,0,0,
76,005490,0.82,107,POSCO홀딩스,철강·1차금속,44.5,0.02505481761962244,1.18,-2.5,1.2,-39.9,811.5,-148.0,-665.4,257.4,1784.9,34.9,71.5,0,0,
77,066570,0.799,107,LG전자,반도체·전자부품,52.9,0.031708376401737105,4.02,-0.4,-1.9,-54.6,1348.6,220.2,293.6,-24.4,605.5,147.0,81.9,0,0,
78,499790,0.788,107,GS피앤엘,금융(은행),64.6,0.026980800132889837,2.27,-2.3,-2.6,-41.9,17.6,-7.6,-18.5,3.8,21.3,153.9,81.6,0,0,
79,100090,0.771,107,SK오션플랜트,철강·1차금속,67.8,0.03880972348151014,4.79,-4.0,-12.3,-62.1,153.3,-32.2,-126.6,-22.1,-49.1,24.4,69.8,0,0,
80,280360,0.751,107,롯데웰푸드,식료품,62.1,0.030401965758582963,3.3,-11.1,-0.7,-18.0,52.4,58.9,-82.0,-33.5,220.1,88.5,84.1,0,0,
81,011070,0.744,107,LG이노텍,반도체·전자부품,65.2,0.04475199014045331,5.92,-2.2,-9.5,-70.3,1401.1,495.6,879.3,-355.7,-1998.6,2057.3,106.2,0,0,
82,353200,0.734,107,대덕전자,반도체·전자부품,42.2,0.04289304559248623,5.3,3.1,-9.1,-47.9,785.8,271.6,2165.2,-144.2,-3033.8,3666.0,75.2,0,0,
83,051900,0.697,107,LG생활건강,화학,43.9,0.023285044855598097,0.0,0.9,-3.6,-12.5,214.1,-108.5,46.6,208.9,249.9,87.5,73.9,0,0,
84,285130,0.676,107,SK케미칼,화학,41.8,0.030201311277334116,1.98,-5.4,4.5,-37.4,48.5,-5.7,-127.8,9.3,248.0,-436.1,36.8,0,0,
85,028260,0.631,107,삼성물산,도매,49.8,0.045812888907630855,4.89,-3.7,-5.5,-37.4,1334.3,-121.7,-831.7,-85.3,464.3,37.1,63.8,0,0,
86,010780,0.566,107,아이에스동서,비금속광물(시멘트·유리),46.2,0.0277138734031329,0.0,-1.7,-3.4,-55.0,14.4,-12.5,2.9,2.9,-1.7,-90.5,49.2,0,0,
87,450080,0.554,107,에코프로머티,전기장비,59.5,0.03989011777772795,2.28,-3.7,-5.5,-60.6,95.9,-25.3,-99.8,1.4,14.4,63.2,58.5,0,0,
88,475560,0.529,107,더본코리아,도매,63.7,0.02918807106618285,0.0,-2.2,-15.6,-45.3,11.2,-0.4,4.3,-0.1,-0.1,75.3,84.7,0,0,
89,002020,0.51,107,코오롱,금융(은행),49.9,0.02959059747225366,0.0,-2.6,-2.0,-71.9,6.1,0.1,-0.6,-0.4,3.4,129.4,58.9,0,0,
90,001550,0.508,107,조비,화학,55.6,0.049723730106509934,3.61,-1.3,-6.6,-49.7,12.3,0.9,5.6,0.0,0.0,-27.9,60.6,0,0,
91,003060,0.501,107,에이프로젠바이오로직스,제약·바이오,68.6,0.029691090456177606,0.0,-2.4,-17.2,-74.3,12.7,0.1,-4.1,0.2,0.2,2.7,90.6,0,0,유상증자 09/03
92,002780,0.473,107,진흥기업,건설,64.8,0.03051631853415254,0.0,-3.1,-2.4,-57.6,10.9,0.2,-11.2,-0.2,0.2,110.7,89.8,0,0,
93,004170,0.46,107,신세계,소매,65.6,0.039744243321640595,0.31,-4.5,-10.0,-54.0,344.3,166.7,403.1,-266.7,-703.9,121.8,77.6,0,0,
94,089590,0.436,107,제주항공,운수·물류,42.3,0.03200999853138569,0.0,-7.1,5.5,-35.2,10.4,-8.3,11.1,-0.5,13.6,-7.4,30.3,0,0,
95,019170,0.405,107,신풍제약,제약·바이오,59.8,0.08201536822701967,3.27,-6.3,11.8,-40.9,92.0,3.8,-112.9,0.1,-16.3,-262.7,56.8,0,0,
96,181710,0.386,107,NHN,출판·SW,62.7,0.05643946307103096,2.16,1.6,-20.3,-26.7,146.9,90.3,367.6,-89.6,-502.0,164.1,100.7,0,0,
97,005420,0.38,107,코스모화학,화학,53.8,0.03842839008329289,0.0,-1.6,-0.8,-51.9,10.3,-1.7,-7.1,-0.3,7.9,261.7,70.8,0,0,
98,005950,0.361,107,이수화학,화학,65.5,0.03898526686728127,0.0,-4.1,-17.7,-39.5,49.5,-11.1,-23.8,-3.7,-34.0,2370.2,64.5,0,0,
99,161000,0.333,107,애경케미칼,화학,52.0,0.04051893679264329,0.0,-3.7,6.6,-49.8,30.3,9.3,-3.4,-0.4,1.9,5274.5,72.0,0,0,
100,058730,0.277,107,다스코,금속가공,52.1,0.043290816361992224,0.0,-2.7,-9.4,-44.4,76.7,2.2,-3.4,0.0,0.0,92.5,77.1,0,0,
101,0120G0,0.273,107,삼양바이오팜,제약·바이오,60.1,0.10010742566667984,0.95,-0.8,-13.5,-67.8,52.0,7.2,-71.4,1.2,5.1,,82.1,0,0,
102,027740,0.23,107,마니커,식료품,67.0,0.045457657352507036,0.0,-15.6,0.8,-31.8,5.2,-0.9,-0.2,0.0,0.0,-100.8,56.0,0,0,
103,066970,0.174,107,엘앤에프,전기장비,67.0,0.06296839102749832,0.0,-7.9,2.3,-50.9,827.2,-74.9,-1155.4,-390.1,357.2,117.2,69.0,0,0,
104,006110,0.165,107,삼아알미늄,철강·1차금속,58.9,0.07009173675237367,0.0,0.5,9.7,-42.5,124.1,15.3,-98.2,9.9,-7.9,153.4,96.9,0,0,
105,008250,0.155,107,이건산업,목재,42.5,0.07588674793448379,0.0,-1.9,19.7,-48.1,10.3,-0.2,-4.2,0.7,3.3,119.3,67.5,0,0,
106,465770,0.137,107,STX그린로지스,운수·물류,60.2,0.08266664899026153,0.0,-18.1,-28.0,-71.0,80.2,3.7,3.0,0.0,0.0,97.9,82.2,0,0,
107,011090,0.118,107,에넥스,가구,48.2,0.10891127598864472,0.0,11.7,-11.3,-60.9,12.3,-1.8,-1.3,0.0,0.0,-300.1,38.2,0,0,유상증자 07/21
