rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
86,217730,0.551,105,강스템바이오텍,제약·바이오,64.0,0.04668215822591006,0.0,-4.2,-22.6,-53.7,8.1,3.6,-6.1,0.0,-1.2,-36.7,55.0,0,0,
87,950200,0.51,105,소마젠,전문서비스,50.6,0.09898238410971023,,-6.4,7.9,-31.3,37.3,0.1,-5.4,0.0,0.0,,49.6,0,0,
88,304100,0.503,105,솔트룩스,출판·SW,65.9,0.05145933881888144,0.0,-0.8,-13.8,-60.2,26.7,7.4,11.1,-9.5,-10.5,-7.3,79.9,0,0,
89,466100,0.484,105,클로봇,출판·SW,61.7,0.051879017913416516,0.0,-3.9,-19.1,-71.2,127.7,-102.4,-37.5,-5.8,-190.4,-51.2,62.7,0,0,
90,484810,0.475,105,티엑스알로보틱스,기계·장비,54.1,0.05312682622295357,0.0,-5.5,-24.5,-50.9,73.0,-18.4,8.2,-13.4,-44.1,-589.9,37.1,0,0,
91,389030,0.465,105,지니너스,지주·전문서비스,59.7,0.05347586151454159,0.0,6.9,-24.3,-72.1,7.2,-2.8,-2.1,-0.7,-2.0,-651.2,73.7,0,0,
92,318060,0.437,105,그래피,화학,53.2,0.05397584244816656,0.0,-4.1,-10.7,-74.8,14.3,-4.9,-40.6,0.1,-2.4,-46.3,45.2,0,0,유상증자 07/13
93,092190,0.418,105,서울바이오시스,반도체·전자부품,50.2,0.057544178414436445,0.0,0.9,5.5,-59.3,17.1,0.6,-7.3,0.6,2.6,,64.2,0,0,
94,491000,0.389,105,리브스메드,의료·정밀·광학,60.4,0.05827759999335563,0.0,-5.7,-27.2,-66.1,68.0,-25.6,-145.5,-12.0,-26.6,-124.4,56.4,0,0,
95,094940,0.38,105,푸른로보틱스,반도체·전자부품,40.3,0.059353272933121703,0.0,-8.4,-3.3,-60.5,34.1,-2.2,-18.5,0.0,0.4,-18.6,23.3,0,0,
96,0082N0,0.37,105,카나프테라퓨틱스,지주·전문서비스,47.0,0.06088639468783804,0.0,-14.2,-14.2,-80.9,8.6,-2.4,-18.0,-2.8,-10.2,,40.0,0,0,
97,255440,0.351,105,야스,기계·장비,45.4,0.062130548992646736,0.0,-4.2,-5.1,-48.9,13.7,0.0,-14.0,-0.1,7.0,772.1,43.4,0,0,
98,119830,0.322,105,아이텍,전문서비스,68.3,0.06995641399825786,0.0,-3.8,-10.7,-39.9,14.2,-1.8,-4.0,-0.2,-1.5,-80.3,66.3,0,0,CB 07/31
99,222040,0.313,105,코스맥스엔비티,식료품,65.5,0.07109750114904695,0.0,-12.7,-25.5,-33.1,30.7,-2.4,-65.6,-9.3,17.8,236.2,86.5,0,0,
100,061970,0.294,105,LB세미콘,반도체·전자부품,55.8,0.07422389185002093,0.0,2.8,-1.4,-41.6,41.1,-6.7,4.8,0.7,-5.0,496.5,92.8,0,0,
101,076610,0.284,105,해성옵틱스,의료·정밀·광학,59.7,0.07516150727353084,0.0,3.3,-6.8,-57.4,20.8,-1.1,-0.1,0.0,-0.4,119.1,76.7,0,0,
102,445680,0.256,105,큐리옥스바이오시스템즈,의료·정밀·광학,53.4,0.08327696835463023,0.0,0.7,15.0,-67.8,59.3,-14.1,-168.6,-4.8,-24.1,,62.4,0,0,
103,115180,0.246,105,큐리언트,지주·전문서비스,48.2,0.0840659669203626,0.0,-5.4,-9.0,-65.3,59.2,-2.8,-88.5,7.4,9.3,-89.9,47.2,0,0,유상증자 09/04
104,101730,0.237,105,위메이드맥스,출판·SW,50.6,0.08412195326056122,0.0,-2.2,-12.2,-50.9,22.9,-1.3,-6.7,-0.8,-6.2,7.6,48.6,0,0,
105,221800,0.227,105,지구홀딩스,연구개발,45.6,0.08504842444353349,0.0,-6.4,-11.2,-88.4,5.0,-0.3,-10.7,0.0,0.0,,43.6,0,0,
