rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
73,207940,KOSPI,3.482,1103,삼성바이오로직스,제약·바이오,WATCH,67.86,0.0321,-25.4,-0.1,-5.8,740.1,180.0,1318.5,-253.2,-356.2,0,1,유상증자 08/28
74,194370,KOSPI,3.479,1103,제이에스코퍼레이션,가죽·신발,,0.37,0.0313,-17.4,30.0,-6.5,9.3,5.1,7.0,0.6,-27.7,0,1,CB 06/26
75,306200,KOSPI,3.478,1103,세아제강,철강·1차금속,,0.41,0.0271,-20.8,-4.9,9.8,10.5,11.5,29.1,1.1,-2.7,0,1,
76,011040,KOSDAQ,3.478,1103,경동제약,제약·바이오,,0.16,0.0143,-16.2,-15.2,2.4,8.5,-1.8,-2.8,0.2,0.1,0,1,
77,002790,KOSPI,3.477,1103,아모레퍼시픽홀딩스,화학,,2.02,0.0315,-24.5,-1.8,-2.9,23.3,1.1,61.8,5.9,22.8,0,1,
78,053800,KOSDAQ,3.473,1103,안랩,출판·SW,,0.64,0.0211,-17.2,-4.6,-3.7,18.9,2.8,50.1,-7.2,-14.0,0,1,
79,241560,KOSPI,3.47,1103,두산밥캣,기계·장비,,6.11,0.0327,-16.9,11.9,0.2,85.6,52.2,73.5,-17.1,-51.7,0,1,
80,035890,KOSDAQ,3.462,1103,서희건설,건설,,0.49,0.0314,-29.4,-37.0,16.2,6.5,-0.7,3.3,1.2,7.2,0,1,
81,007070,KOSPI,3.448,1103,GS리테일,소매,OBSERVE,2.1,0.0315,-14.8,60.3,-11.5,46.2,19.9,56.6,-35.5,-5.1,0,1,
82,353810,KOSDAQ,3.447,1103,이지바이오,식료품,,0.2,0.0269,-23.6,9.8,-2.2,6.1,-8.9,-12.4,4.5,-1.8,0,1,
83,051905,KOSPI,3.446,1103,LG생활건강우,,,0.22,0.0264,-13.9,-1.6,-11.1,9.9,-13.0,-32.6,9.3,13.8,0,1,
84,005810,KOSPI,3.434,1103,풍산홀딩스,금융(은행),,0.54,0.0263,-31.2,-5.8,1.2,8.6,-3.0,-6.0,0.6,4.1,0,1,
85,011200,KOSPI,3.429,1103,HMM,운수·물류,,20.23,0.0291,-12.4,-4.7,-1.6,330.3,-2.8,576.0,25.1,467.6,0,1,
86,005940,KOSPI,3.428,1103,NH투자증권,,,9.93,0.0338,-31.4,45.5,-3.2,112.5,88.2,270.3,-95.1,-446.5,0,1,
87,108670,KOSPI,3.425,1103,LX하우시스,고무·플라스틱,,0.32,0.0297,-16.8,20.3,2.6,8.3,-8.5,-8.9,19.3,28.9,0,1,
