rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
65,381970,1.422,102,케이카,자동차판매,63.3,0.038923391193551655,22.89,-0.6,-16.2,-62.5,8.6,-3.3,-7.9,5.2,-30.0,-285.6,90.3,0,0,
66,163560,1.422,102,동일고무벨트,고무·플라스틱,50.8,0.017598144025088414,4.49,0.0,-2.1,-34.6,5.0,0.0,0.2,0.0,-1.9,25.7,53.8,0,0,
67,007340,1.412,102,DN오토모티브,전기장비,57.4,0.0836318076951967,14.03,-4.4,-2.8,-33.2,152.7,-16.3,89.6,30.2,-54.3,114.1,62.4,0,0,
68,035720,1.412,102,카카오,IT서비스,54.0,0.02362287308672371,4.36,-1.8,-5.1,-48.1,948.0,-115.8,425.7,127.4,-601.5,35.9,78.0,0,0,
69,025540,1.392,102,한국단자,전기장비,60.8,0.026483850996656722,9.08,0.2,-11.8,-40.6,16.6,-16.6,-63.7,14.4,-43.4,-51.6,66.8,0,0,
70,031430,1.343,102,신세계인터내셔날,소매,44.5,0.025096545548066604,0.51,-2.8,-5.6,-39.2,11.6,-1.3,-6.7,-4.3,-69.4,198.2,62.5,0,0,
71,111770,1.333,102,영원무역,도매,56.1,0.03195118813362817,12.02,0.9,-15.0,-27.3,58.0,-10.6,-20.4,14.9,-77.6,20.5,92.1,0,0,
72,007070,1.333,102,GS리테일,소매,46.4,0.03328618677161699,1.32,-4.7,2.4,-15.2,53.4,20.9,58.4,-36.3,-6.4,27.5,61.4,0,0,
73,006340,1.328,102,대원전선,전기장비,56.6,0.05675800402510518,7.4,-5.0,-16.3,-36.3,916.1,-0.6,-126.6,1.7,12.3,-30.9,42.6,0,0,
74,450080,1.328,102,에코프로머티,전기장비,47.0,0.04546446039644502,2.28,-6.8,5.8,-59.6,118.3,-37.2,-102.7,-19.0,-28.4,63.2,45.0,0,0,
75,204320,1.324,102,HL만도,자동차·부품,63.5,0.03237902211458444,3.69,-3.6,-4.2,-38.7,212.8,-18.3,94.5,-36.5,-21.8,2.8,62.5,0,0,
76,248070,1.299,102,솔루엠,반도체·전자부품,67.3,0.02972771207150081,2.81,-2.9,-12.7,-47.0,13.0,-17.3,-48.3,8.0,-2.6,78.6,105.3,0,0,
77,108320,1.289,102,LX세미콘,반도체·전자부품,63.4,0.03528493311453795,7.34,-2.7,2.1,-46.2,33.0,-15.1,-41.8,-13.0,-16.0,115.1,95.4,0,0,
78,145720,1.245,102,덴티움,의료·정밀·광학,50.4,0.025790569884058617,2.92,-1.7,-7.6,-38.0,6.8,-5.1,-38.7,1.3,1.7,-5.5,43.4,0,0,
79,336370,1.235,102,솔루스첨단소재,반도체·전자부품,41.2,0.034406124458607565,0.0,-5.1,5.5,-55.9,6.4,-1.9,-0.1,-0.3,-2.0,-4.0,24.2,0,0,
80,489790,1.225,102,한화비전,반도체·전자부품,48.2,0.03037954994452767,5.25,-1.6,0.8,-49.5,88.0,58.8,96.7,-27.2,78.8,11.6,64.2,0,0,
81,005250,1.211,102,녹십자홀딩스,엔지니어링,55.6,0.024491431202280943,0.0,-2.4,-1.6,-45.0,12.5,-13.4,-13.7,-1.8,-4.7,-69.4,41.6,0,0,
82,004170,1.206,102,신세계,소매,63.7,0.045182256621723926,0.31,-5.7,-11.0,-51.7,362.4,-70.6,102.9,-119.2,-527.4,121.8,67.7,0,0,
83,001250,1.186,102,GS글로벌,도매,41.7,0.028252195270683404,3.66,-1.5,-5.0,-53.3,11.9,-2.1,-15.4,0.0,0.3,-40.8,46.7,0,0,
84,008770,1.186,102,호텔신라,소매,47.0,0.02319626456134539,0.0,-1.9,0.2,-40.0,90.5,-117.0,-23.2,13.2,-215.9,-243.2,40.0,0,0,
85,006260,1.162,102,LS,금융(은행),46.2,0.05115072563450372,5.49,-4.3,-9.0,-50.4,517.3,126.0,-12.5,-83.8,-639.5,152.7,44.2,0,0,
86,025560,1.132,102,미래산업,의료·정밀·광학,68.7,0.08254613358588038,8.72,-4.1,-8.3,-90.6,56.0,-11.6,14.4,-5.9,-65.6,899.3,83.7,0,0,
87,011230,1.108,102,삼화전자,반도체·전자부품,64.3,0.031056531587449955,0.0,-3.2,-10.4,-47.7,14.6,-0.3,-3.7,0.0,0.0,-3.4,47.3,0,0,
88,011930,1.098,102,신성이엔지,반도체·전자부품,43.6,0.03657494368133123,0.0,-4.7,-3.5,-67.6,25.8,6.7,20.4,-0.4,-3.7,-8.8,21.6,0,0,
89,454910,1.093,102,두산로보틱스,기계·장비,65.7,0.03566245211160527,0.0,-4.5,-6.3,-59.8,284.8,-34.9,20.7,-92.2,-124.6,7.9,64.7,0,0,
90,017900,1.074,102,광전자,반도체·전자부품,67.6,0.07339367408585046,1.78,-5.9,0.1,-68.5,305.2,11.2,-19.8,0.5,0.9,16.6,102.6,0,0,
91,457190,1.034,102,이수스페셜티케미컬,화학,41.6,0.042514839311840955,0.59,-4.2,5.1,-52.0,83.8,-145.1,-188.2,9.8,17.6,266.3,74.6,0,0,
92,069960,0.961,102,현대백화점,소매,44.7,0.03164827528479186,4.54,3.0,-12.6,-56.7,167.1,-192.8,43.5,13.9,-545.3,-8.7,73.7,0,0,
93,000520,0.892,102,삼일제약,제약·바이오,53.2,0.02583868961694211,0.0,0.3,-11.1,-51.6,5.1,-0.1,-4.9,0.0,0.1,-103.7,54.2,0,0,CB 06/11
94,002020,0.824,102,코오롱,금융(은행),53.8,0.0342035536305296,0.0,-2.1,-2.1,-71.2,13.1,-4.0,-0.1,0.5,-8.0,129.4,63.8,0,0,
95,010780,0.804,102,아이에스동서,비금속광물(시멘트·유리),46.5,0.04559517271238318,0.0,-3.7,-19.3,-54.3,23.9,-1.4,-18.1,-3.9,-98.8,-90.5,41.5,0,0,
96,092200,0.775,102,디아이씨,자동차·부품,49.1,0.07497244188174296,0.0,-4.8,7.0,-61.7,52.1,4.3,-19.1,0.1,0.4,81.9,74.1,0,0,
97,004060,0.559,102,SG세계물산,도매,55.0,0.0427969992343257,0.3,-0.4,-10.4,-74.6,7.3,-0.9,-7.7,0.0,0.1,-8.9,58.0,0,0,
98,005950,0.549,102,이수화학,화학,61.2,0.059267794606979,0.0,-2.8,-11.1,-34.5,89.7,-19.0,-93.8,2.6,-52.0,2370.2,69.2,0,0,
99,002220,0.363,102,한일철강,철강·1차금속,54.4,0.0453528325463057,0.0,2.9,-21.4,-53.4,8.9,0.7,-1.9,0.0,0.3,85.4,84.4,0,0,
100,005360,0.275,102,모나미,도매,69.5,0.060437557712451816,0.0,-1.1,-17.9,-69.8,33.7,1.0,-6.1,0.0,0.0,22.8,97.5,0,0,
101,210980,0.225,102,SK디앤디,부동산,41.9,0.08968546714379458,1.24,41.9,-11.8,-70.8,30.4,-0.9,-5.5,-7.2,-8.5,-220.1,49.9,0,0,유상증자 07/28
102,002070,0.206,102,비비안,의복,48.5,0.05728446744656262,0.0,6.7,-14.1,-64.3,7.0,1.4,1.3,0.0,-0.2,-122.3,63.5,0,0,유상증자 06/22
