rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
121,340450,KOSDAQ,2.247,1053,지씨지놈,전문서비스,,0.16,0.0416,-27.5,-32.5,25.2,8.2,-0.8,-1.8,-0.5,-0.4,0,0,
122,035250,KOSPI,2.228,1053,강원랜드,예술·스포츠,OBSERVE,3.08,0.012,-26.3,-19.5,-0.6,34.9,-65.0,-75.4,21.2,58.8,0,0,
123,001500,KOSPI,2.225,1053,현대차증권,,,0.49,0.0308,-42.6,-6.2,1.5,6.6,-3.0,-6.6,-1.0,2.6,0,0,
124,009450,KOSPI,2.224,1053,경동나비엔,전기장비,,0.88,0.0292,-24.5,-23.3,-5.2,18.7,0.8,28.3,-0.6,-57.9,0,0,
125,365550,KOSPI,2.223,1053,ESR켄달스퀘어리츠,,,0.77,0.0229,-33.0,-35.1,4.1,16.6,-3.2,-24.8,2.4,19.7,0,0,
126,211050,KOSDAQ,2.22,1053,인카금융서비스,,,0.5,0.0301,-39.9,-17.1,-2.7,7.9,-9.5,-5.5,9.3,3.0,0,0,
127,031210,KOSPI,2.216,1053,서울보증보험,,,2.91,0.0186,-32.7,-4.2,-2.5,21.4,-29.1,-12.8,-19.4,-31.7,0,0,
128,002900,KOSPI,2.216,1053,TYM,기계·장비,OBSERVE,0.28,0.034,-27.1,19.9,-3.9,13.0,20.2,17.8,-23.6,-11.4,0,0,
129,101160,KOSDAQ,2.214,1053,월덱스,반도체·전자부품,,0.51,0.0433,-11.0,26.7,13.3,13.2,1.4,33.4,12.1,45.4,0,0,
130,002350,KOSPI,2.211,1053,넥센타이어,고무·플라스틱,EXCLUDE,0.54,0.025,-43.6,3.4,-15.9,8.0,-14.8,-32.4,-0.4,-22.0,0,0,
131,041960,KOSDAQ,2.208,1053,코미팜,제약·바이오,,0.73,0.0371,-4.9,32.8,0.0,25.1,2.7,-13.1,0.2,0.8,0,0,
132,142210,KOSDAQ,2.196,1053,유니트론텍,도매,,0.13,0.0458,-29.1,2.0,6.2,7.4,0.8,3.5,0.0,-0.1,0,0,
133,178920,KOSPI,2.195,1053,PI첨단소재,고무·플라스틱,WAIT,0.55,0.0414,-40.5,6.3,-0.3,5.1,-0.7,-2.8,-0.7,1.9,0,0,
134,420570,KOSDAQ,2.192,1053,제이투케이바이오,화학,WAIT,0.05,0.0487,-23.0,-6.5,0.3,8.0,1.4,4.4,0.2,3.1,0,0,
135,025540,KOSPI,2.186,1053,한국단자,전기장비,,0.57,0.0269,-38.1,-10.2,2.2,11.4,-14.1,-51.2,15.0,42.7,0,0,
136,241790,KOSDAQ,2.184,1053,티이엠씨씨엔에스,기계·장비,,0.06,0.0527,-31.2,-18.4,14.0,5.2,-7.0,-6.0,3.2,8.8,0,0,
137,205100,KOSDAQ,2.183,1053,엑셈,출판·SW,,0.1,0.0338,-43.7,-37.5,5.6,6.1,-4.6,-9.0,0.3,3.0,0,0,
138,093320,KOSDAQ,2.179,1053,케이아이엔엑스,IT서비스,,0.67,0.0439,-15.4,69.3,-7.3,13.2,0.9,16.7,-1.8,-16.5,0,0,
139,048550,KOSDAQ,2.179,1053,SM C&C,엔지니어링,EXCLUDE,0.11,0.0448,-39.1,-4.1,-14.9,5.1,-2.0,-6.5,0.4,0.5,0,0,
140,088980,KOSPI,2.177,1053,맥쿼리인프라,금융(은행),,4.7,0.0107,-17.1,-17.3,0.3,83.7,-119.6,-340.0,116.4,441.7,0,0,
141,035200,KOSDAQ,2.176,1053,프럼파스트,고무·플라스틱,,0.03,0.0346,-46.2,-29.1,-0.7,5.1,-0.9,-1.6,0.0,0.0,0,0,
142,025820,KOSPI,2.173,1053,이구산업,철강·1차금속,,0.14,0.0354,-36.0,-6.1,-3.5,9.0,0.2,-3.1,0.0,0.0,0,0,
143,032190,KOSDAQ,2.173,1053,다우데이타,도매,,0.76,0.0359,-34.7,15.3,2.0,9.8,-1.0,24.8,0.5,-14.3,0,0,
144,004980,KOSPI,2.17,1053,성신양회,비금속광물(시멘트·유리),WAIT,0.2,0.0422,-38.1,-25.3,0.9,6.1,-2.9,3.3,-1.3,-1.1,0,0,
145,012030,KOSPI,2.168,1053,DB,IT서비스,,0.33,0.0405,-32.0,-10.0,13.8,9.3,-1.8,-21.9,-0.5,21.0,0,0,
146,036460,KOSPI,2.165,1053,한국가스공사,전력·가스,,3.29,0.0187,-21.8,-10.1,-2.3,61.3,3.3,214.1,-1.4,-45.2,0,0,
147,079160,KOSPI,2.161,1053,CJ CGV,미디어·엔터,,0.88,0.0319,-19.3,7.7,0.8,28.6,-13.5,2.0,4.8,15.3,0,0,
148,002790,KOSPI,2.157,1053,아모레퍼시픽홀딩스,화학,,2.03,0.029,-24.1,-4.6,0.4,29.7,-9.8,28.8,25.4,38.9,0,0,
149,009580,KOSPI,2.154,1053,무림P&P,펄프·종이,,0.1,0.0227,-56.1,-38.2,0.2,5.2,-3.6,-4.1,-0.0,-0.4,0,0,
