rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
119,022100,KOSPI,0.888,1053,포스코DX,연구개발,OBSERVE,3.12,0.0431,-52.0,-11.1,-0.2,313.0,-38.2,-181.5,17.4,2054.7,0,0,
120,000990,KOSPI,0.887,1053,DB하이텍,반도체·전자부품,,5.78,0.063,-39.8,98.9,52.5,705.3,-852.0,-3094.7,323.3,2044.2,0,0,
121,138610,KOSDAQ,0.886,1053,나이벡,제약·바이오,,0.17,0.0535,-71.5,-36.8,-10.7,10.4,-2.0,-23.6,0.0,-2.9,0,0,
122,089010,KOSDAQ,0.885,1053,켐트로닉스,화학,,0.39,0.0507,-49.1,-21.1,7.6,13.6,2.0,-9.5,-0.1,-6.2,0,0,
123,214430,KOSDAQ,0.884,1053,아이쓰리시스템,반도체·전자부품,,0.48,0.0496,-49.8,-31.2,9.6,8.8,-5.8,-10.7,-0.5,-7.0,0,0,
124,395400,KOSPI,0.883,1053,SK리츠,,,1.58,0.0193,-25.8,9.7,-7.4,12.2,-5.0,-2.8,2.5,-8.5,0,0,
125,045100,KOSDAQ,0.882,1053,한양이엔지,연구개발,,0.56,0.061,-16.3,53.3,11.6,19.5,15.8,10.5,0.9,-10.9,0,0,
126,121600,KOSDAQ,0.881,1053,나노신소재,화학,,0.64,0.0523,-41.4,-15.1,5.5,29.4,-31.9,-10.5,60.8,9.0,0,0,
127,026960,KOSPI,0.88,1053,동서,도매,,2.54,0.0192,-15.8,-6.4,-2.9,13.9,-2.4,1.2,-1.7,6.4,0,0,
128,271560,KOSPI,0.879,1053,오리온,식료품,OBSERVE,4.4,0.0241,-23.7,18.1,-13.2,131.0,-49.4,8.3,-6.1,-166.1,0,0,
129,215600,KOSDAQ,0.878,1053,신라젠,지주·전문서비스,EXCLUDE,0.31,0.0553,-55.7,-28.9,-3.3,82.8,-9.5,-61.4,-0.7,-4.6,0,0,
130,298020,KOSPI,0.877,1053,효성티앤씨,화학,OBSERVE,1.38,0.0336,-40.4,45.5,0.5,46.7,24.7,1.4,-40.1,77.0,0,0,
131,005440,KOSPI,0.877,1053,현대지에프홀딩스,금융(은행),,2.42,0.0384,-29.5,45.2,13.1,34.4,-47.8,-116.0,0.1,45.5,0,0,
132,008930,KOSPI,0.876,1053,한미사이언스,금융(은행),,3.46,0.0552,-12.3,14.5,-10.4,210.1,-55.4,97.9,84.3,398.5,0,0,
133,001430,KOSPI,0.875,1053,세아베스틸지주,철강·1차금속,,1.58,0.0485,-51.3,41.0,5.3,53.2,-53.7,-113.2,78.1,168.3,0,0,
134,007390,KOSDAQ,0.874,1053,네이처셀,제약·바이오,,1.61,0.0581,-27.6,6.5,5.9,62.4,1.5,30.8,8.0,-57.1,0,0,CB 07/22
135,047050,KOSPI,0.873,1053,포스코인터내셔널,도매,,10.26,0.0365,-33.2,4.1,8.8,1472.3,-479.5,-975.5,456.0,10407.6,0,0,
136,014680,KOSPI,0.872,1053,한솔케미칼,화학,,2.36,0.0416,-35.4,18.9,6.6,82.9,-86.7,11.8,163.2,31.0,0,0,
137,214370,KOSDAQ,0.871,1053,케어젠,제약·바이오,OBSERVE,2.16,0.0503,-73.2,-1.1,-25.7,28.3,0.7,78.4,0.6,-52.5,0,0,
138,020150,KOSPI,0.87,1053,롯데에너지머티리얼즈,반도체·전자부품,,2.18,0.061,-46.9,22.2,28.9,118.5,-8.2,-269.9,31.0,259.3,0,0,
139,011170,KOSPI,0.869,1053,롯데케미칼,화학,,2.74,0.0399,-45.8,-14.1,15.9,128.2,-208.4,-422.3,208.0,645.0,0,0,
140,307950,KOSPI,0.868,1053,현대오토에버,출판·SW,OBSERVE,9.95,0.0518,-61.3,164.9,-20.7,253.5,49.0,44.6,-65.0,-671.0,0,0,
141,375500,KOSPI,0.867,1053,DL이앤씨,건설,,3.3,0.048,-16.7,56.1,24.5,369.7,-119.0,-662.0,381.3,852.5,0,0,
142,278470,KOSPI,0.866,1053,에이피알,화학,WAIT,13.72,0.0374,-21.1,72.6,-10.5,1083.7,217.0,126.6,-325.7,-1339.6,0,0,
143,263750,KOSDAQ,0.865,1053,펄어비스,출판·SW,,2.18,0.0376,-51.8,-1.4,7.8,108.2,-34.0,-98.7,44.7,214.2,0,0,
144,352820,KOSPI,0.864,1053,하이브,미디어·엔터,EXCLUDE,7.04,0.041,-59.6,-42.5,-6.4,293.1,-229.7,-197.0,-146.2,-112.9,0,0,
145,139480,KOSPI,0.863,1053,이마트,소매,,2.02,0.0217,-42.6,-6.1,1.0,71.0,-86.6,-170.2,42.7,86.6,0,0,
146,042000,KOSDAQ,0.862,1053,카페24,IT서비스,OBSERVE,0.37,0.0424,-64.9,-59.4,-8.8,7.4,-7.0,6.7,0.2,-28.4,0,0,
147,108670,KOSPI,0.861,1053,LX하우시스,고무·플라스틱,,0.3,0.0281,-22.2,17.0,-4.1,7.2,-5.8,-9.1,1.1,23.4,0,0,
148,048410,KOSDAQ,0.86,1053,현대바이오,화학,,0.68,0.0505,-64.6,15.5,6.3,102.9,-2.5,-63.1,5.4,-31.6,0,0,
149,003570,KOSPI,0.859,1053,SNT다이내믹스,자동차·부품,WATCH,0.92,0.0399,-62.7,-50.7,-6.9,10.6,-9.6,-44.7,5.8,21.7,0,0,
150,010950,KOSPI,0.858,1053,S-Oil,석유정제,,17.33,0.0444,-7.2,135.2,9.0,667.2,140.1,421.7,89.2,382.5,0,0,
151,267260,KOSPI,0.858,1053,HD현대일렉트릭,전기장비,,26.03,0.0542,-49.2,41.1,0.3,915.5,-628.6,-286.7,253.0,31.5,0,0,
152,069620,KOSPI,0.857,1053,대웅제약,제약·바이오,OBSERVE,1.26,0.0352,-43.9,-17.5,-12.7,25.0,-10.1,-34.7,0.4,-24.8,0,0,
153,000120,KOSPI,0.856,1053,CJ대한통운,운수·물류,OBSERVE,1.62,0.023,-51.4,-11.7,-4.2,32.0,-33.7,-89.4,-14.3,-20.5,0,0,
154,051910,KOSPI,0.855,1053,LG화학,화학,WATCH,18.46,0.0412,-39.1,-8.3,-4.2,532.1,-410.0,-1413.6,345.3,1337.1,0,0,
155,207940,KOSPI,0.854,1053,삼성바이오로직스,제약·바이오,WATCH,64.95,0.0298,-28.6,2.2,-10.8,603.1,16.0,593.3,-133.1,-991.1,0,0,유상증자 08/28
156,183190,KOSPI,0.853,1053,아세아시멘트,비금속광물(시멘트·유리),,0.38,0.0369,-26.8,-28.7,4.8,5.7,-2.5,-0.6,1.2,-1.3,0,0,
157,323410,KOSPI,0.852,1053,카카오뱅크,금융(은행),OBSERVE,9.69,0.0209,-29.3,-9.6,-6.0,163.8,-205.2,-228.8,2.3,111.5,0,0,
158,285130,KOSPI,0.851,1053,SK케미칼,화학,OBSERVE,0.89,0.0363,-35.7,-18.3,3.0,48.5,-2.3,-116.0,7.3,234.8,0,0,
159,036810,KOSDAQ,0.85,1053,에프에스티,반도체·전자부품,,0.65,0.0697,-39.1,-18.4,33.6,39.9,-1.7,-41.8,25.0,7.8,0,0,
