rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
108,004000,KOSPI,2.955,1076,1.303,303.0,롯데정밀화학,화학,1.26,0.0308,-31.6,2.6,7.9,27.7,22.5,-1.1,3.1,31.3,0,0
109,003230,KOSPI,2.95,1076,1.217,369.0,삼양식품,식료품,9.7,0.0369,-21.0,-17.7,13.1,740.1,283.1,1160.6,-57.8,-48.8,0,0
110,443060,KOSPI,2.947,1076,1.322,279.0,HD현대마린솔루션,연구개발,9.17,0.0426,-27.1,-1.7,3.7,204.7,175.7,433.4,-151.3,-346.5,0,0
111,003610,KOSPI,2.939,1076,1.624,83.0,방림,섬유,0.18,0.0156,-9.2,17.3,8.9,5.9,7.0,16.6,2.8,8.2,0,0
112,051900,KOSPI,2.934,1076,1.223,362.0,LG생활건강,화학,4.79,0.0362,-4.0,-26.2,30.6,312.7,145.6,637.0,630.2,1130.6,0,0
113,079160,KOSPI,2.934,1076,1.329,270.0,CJ CGV,미디어·엔터,0.92,0.0325,-15.2,-13.1,25.3,32.2,-3.1,30.0,4.2,16.9,0,0
114,005930,KOSPI,2.93,1076,1.626,82.0,삼성전자,반도체·전자부품,1344.64,0.0676,-36.6,294.9,-19.3,74269.0,-12877.6,-12406.1,-29328.7,-21027.3,0,0
115,053800,KOSDAQ,2.921,1076,1.266,333.0,안랩,출판·SW,0.67,0.0218,-12.3,-19.4,9.0,31.6,34.4,22.5,1.9,12.9,0,0
116,383800,KOSPI,2.916,1076,1.325,275.0,LX홀딩스,금융(은행),0.61,0.0263,-19.6,-10.3,4.2,7.1,1.7,22.0,-0.5,-3.2,0,0
117,483650,KOSPI,2.913,1076,1.49,152.0,달바글로벌,화학,3.02,0.0515,-8.9,-0.3,22.0,416.5,-35.3,524.7,17.5,680.7,0,0
118,002350,KOSPI,2.912,1076,1.329,266.0,넥센타이어,고무·플라스틱,0.63,0.0283,-33.3,8.3,-7.5,6.2,2.0,-0.3,-1.4,-3.6,0,0
119,180640,KOSPI,2.911,1076,1.357,241.0,한진칼,금융(은행),7.79,0.0463,-32.5,10.7,-13.4,164.1,378.4,-15.7,60.6,263.9,0,0
120,096770,KOSPI,2.906,1076,1.316,287.0,SK이노베이션,석유정제,21.05,0.0466,-16.9,-12.8,21.0,1161.1,456.3,290.3,-101.8,4100.9,0,0
121,127120,KOSDAQ,2.903,1076,1.838,12.0,제이에스링크,지주·전문서비스,1.42,0.0691,-16.3,156.7,5.1,53.1,64.4,93.5,0.7,-3.7,0,0
122,012330,KOSPI,2.902,1076,1.515,134.0,현대모비스,자동차·부품,45.82,0.0611,-34.2,54.7,3.5,1601.5,511.4,2075.0,-165.1,13.3,0,0
