inv,w,norm,uni,h,n,ic,lo,hi,pos
inst,5,none,전체,5,70,-0.02238566640057806,-0.04852412470404948,0.0025047554276653315,0.37142857142857144
inst,5,none,전체,10,65,-0.003552217490578678,-0.046299766854823024,0.038100910699779576,0.49230769230769234
inst,5,none,전체,20,55,-0.006262427649544664,-0.03093207021997421,0.020302190310932784,0.45454545454545453
inst,5,none,대형30%,5,70,-0.02703571369491321,-0.06433145857804105,0.009948789729946313,0.34285714285714286
inst,5,none,대형30%,10,65,-0.006278329139391071,-0.05405530253048966,0.04077501549394272,0.4461538461538462
inst,5,none,대형30%,20,55,-0.013062086654930347,-0.05669930311967018,0.02425098398931129,0.4727272727272727
inst,5,none,중소형,5,60,-2.9395548084551586e-05,-0.016341621859665173,0.01210964522706589,0.5333333333333333
inst,5,none,중소형,10,55,0.007159051343683235,-0.020861471243204765,0.03593770655001447,0.5272727272727272
inst,5,none,중소형,20,45,0.0040001125670519454,-0.02018490767166213,0.035096803047117306,0.4888888888888889
inst,20,amt,전체,5,70,-0.01306124519347345,-0.04913849760871359,0.02082322847448939,0.4714285714285714
inst,20,amt,전체,10,65,-0.014540548979735744,-0.0546774830044363,0.0184805913470991,0.4
inst,20,amt,전체,20,55,-0.023273672463629592,-0.03967323953818621,-0.00556386476758634,0.2545454545454545
inst,20,amt,대형30%,5,70,-0.013411601272865056,-0.053707401887225344,0.0299995809162329,0.45714285714285713
inst,20,amt,대형30%,10,65,-0.011996332872799319,-0.057681142753765534,0.0266366672527379,0.4461538461538462
inst,20,amt,대형30%,20,55,-0.03154857050976296,-0.05673430825614618,-0.006882004057984688,0.38181818181818183
inst,20,amt,중소형,5,60,-0.0013242721519851344,-0.03707618112279968,0.030052354591866667,0.4666666666666667
inst,20,amt,중소형,10,55,-0.004691321757670089,-0.037381121932117,0.02866923810718895,0.4909090909090909
inst,20,amt,중소형,20,45,-0.009862934561832825,-0.023401916701366904,0.006297027736848418,0.4444444444444444
inst,20,mcap,전체,5,70,-0.003050410321910208,-0.03112748462837445,0.02529055508990907,0.5142857142857142
inst,20,mcap,전체,10,65,0.0062306680474861174,-0.02635012505918665,0.03398362991431412,0.5692307692307692
inst,20,mcap,전체,20,55,0.007350426409149601,-0.006433385619261394,0.027478615173170285,0.5636363636363636
inst,20,mcap,대형30%,5,70,-0.017515988610408113,-0.036018627185956956,0.003903764370526511,0.42857142857142855
inst,20,mcap,대형30%,10,65,-0.0011787843219909536,-0.02271922558474346,0.020947219531550817,0.5076923076923077
inst,20,mcap,대형30%,20,55,0.01000850872584,-0.011700232206924776,0.03228175298764023,0.5454545454545454
inst,20,mcap,중소형,5,60,0.013210570933234281,-0.017148612567783886,0.03979110200326698,0.65
inst,20,mcap,중소형,10,55,0.01420645598914712,-0.016374921789119343,0.045037122469345436,0.6181818181818182
inst,20,mcap,중소형,20,45,0.013313415207527983,-0.00048186395336267485,0.031716953999081185,0.7555555555555555
inst,20,none,전체,5,70,-0.010681803490593788,-0.041472276546696225,0.02019365098797857,0.44285714285714284
inst,20,none,전체,10,65,-0.00596354758480518,-0.03859433478582461,0.02350966069276873,0.46153846153846156
inst,20,none,전체,20,55,-0.010547031716903448,-0.023953202898794244,0.008591377376273546,0.41818181818181815
inst,20,none,대형30%,5,70,-0.01978867023737412,-0.044422151167731044,0.006923164673243561,0.37142857142857144
inst,20,none,대형30%,10,65,-0.01245201126481304,-0.042557537327381524,0.013286770007709944,0.4307692307692308
inst,20,none,대형30%,20,55,-0.01929301787547837,-0.036802835941865675,0.0032573197247152195,0.36363636363636365
inst,20,none,중소형,5,60,0.011276523499645788,-0.020112077993660677,0.03946881820206388,0.6
inst,20,none,중소형,10,55,0.011818205967032038,-0.019132606807262892,0.04157271934709532,0.6363636363636364
inst,20,none,중소형,20,45,0.010930904961957557,-0.0028985491498690705,0.03038610676805167,0.6888888888888889
inst,60,amt,전체,5,70,-0.019816736187991017,-0.040575877576825445,0.0033541939751309566,0.35714285714285715
inst,60,amt,전체,10,65,-0.02022973813874659,-0.04363915782925958,0.0009286560262680129,0.4307692307692308
inst,60,amt,전체,20,55,-0.027436260887934976,-0.0434981478837276,-0.008842002210622901,0.23636363636363636
inst,60,amt,대형30%,5,70,-0.02539839002612774,-0.055819745514804744,0.013594240214592724,0.35714285714285715
inst,60,amt,대형30%,10,65,-0.02583948956806928,-0.05133373020877824,0.0007537232651042817,0.38461538461538464
inst,60,amt,대형30%,20,55,-0.04519299647835041,-0.07153790261706963,-0.017130154333433373,0.21818181818181817
inst,60,amt,중소형,5,60,-0.008901406325813998,-0.024243850478543934,0.009267971364172648,0.4166666666666667
inst,60,amt,중소형,10,55,-0.01206556892357685,-0.02961897109961049,0.015379886313530109,0.41818181818181815
inst,60,amt,중소형,20,45,-0.014745494842742365,-0.037199290832022176,0.009804661292456562,0.37777777777777777
inst,60,mcap,전체,5,70,-0.00700386723684754,-0.025615591418495225,0.020176484535351997,0.44285714285714284
inst,60,mcap,전체,10,65,0.00244518082520323,-0.01879142859910492,0.027040244251269874,0.5846153846153846
inst,60,mcap,전체,20,55,0.001963680753318998,-0.02016118278906877,0.02896763515560881,0.5272727272727272
inst,60,mcap,대형30%,5,70,-0.016454510625110143,-0.037426944925549266,0.019206743696184317,0.37142857142857144
inst,60,mcap,대형30%,10,65,-0.0028789882355917053,-0.02631149251387307,0.02564951352359922,0.5384615384615384
inst,60,mcap,대형30%,20,55,-0.003484303078415913,-0.030016840720734118,0.025837030760993668,0.45454545454545453
inst,60,mcap,중소형,5,60,0.007140312452915713,-0.010500033985807835,0.027753061860531076,0.6
inst,60,mcap,중소형,10,55,0.007531053552309431,-0.012650729080862065,0.0384104588123027,0.5454545454545454
inst,60,mcap,중소형,20,45,0.007851358087480852,-0.020218861647083693,0.04003751457176909,0.5555555555555556
inst,60,none,전체,5,70,-0.017012059793356297,-0.03602408122948878,0.008657928441449247,0.35714285714285715
inst,60,none,전체,10,65,-0.009915354881714914,-0.028625183962079158,0.011087816537475498,0.46153846153846156
inst,60,none,전체,20,55,-0.01350937474754601,-0.02814326976047042,0.006416318987940881,0.4
inst,60,none,대형30%,5,70,-0.0291770765210693,-0.05301195539143625,0.006386354125870794,0.2714285714285714
inst,60,none,대형30%,10,65,-0.0236875545950527,-0.046896991688266054,0.0031345611771282345,0.3230769230769231
inst,60,none,대형30%,20,55,-0.038502234788074824,-0.059005867322088144,-0.01504104220418108,0.2545454545454545
inst,60,none,중소형,5,60,0.0026674286129276708,-0.014506438646873947,0.022773020665906103,0.5333333333333333
inst,60,none,중소형,10,55,0.0036595544588068595,-0.016130310834029372,0.03397596904149349,0.5272727272727272
inst,60,none,중소형,20,45,0.005899253898773765,-0.021041285749311592,0.036818033813900114,0.5555555555555556
person,5,amt,전체,5,70,0.014569318170097717,-0.030425163339998767,0.05769543622211412,0.5857142857142857
person,5,amt,전체,10,65,0.019687399111620308,-0.04247490799051322,0.07727927731189757,0.6307692307692307
person,5,amt,전체,20,55,0.01821556724332754,-0.02685960874289241,0.0562016058734431,0.6181818181818182
person,5,amt,대형30%,5,70,0.006940634629471673,-0.047274045470823756,0.059092226831215074,0.5
person,5,amt,대형30%,10,65,0.013371547320337338,-0.04848999536613038,0.08567426880671486,0.49230769230769234
person,5,amt,대형30%,20,55,-0.007758804725387359,-0.0677450468589569,0.05699369000379589,0.45454545454545453
person,5,amt,중소형,5,60,0.013451783431192453,-0.02387048347914186,0.054840031328777225,0.5166666666666667
person,5,amt,중소형,10,55,0.019391441731903377,-0.04876898896546111,0.08471701240625575,0.6181818181818182
person,5,amt,중소형,20,45,0.030078634237609238,-0.028505398096637078,0.0759030964600261,0.6444444444444445
person,5,mcap,전체,5,70,0.008357206179726483,-0.031065170486452874,0.046066958639528956,0.5285714285714286
person,5,mcap,전체,10,65,0.020048642915523426,-0.019071693173099265,0.06559554348285532,0.5846153846153846
person,5,mcap,전체,20,55,0.014739788012313,-0.026978824614187435,0.054070318504030185,0.5636363636363636
person,5,mcap,대형30%,5,70,0.016771316133902005,-0.021407351963616286,0.059010438392661124,0.5142857142857142
person,5,mcap,대형30%,10,65,0.03478272443749996,0.0032072030781823005,0.08314703196811277,0.6
person,5,mcap,대형30%,20,55,0.003780589321395364,-0.04957737140437476,0.06408614612083845,0.41818181818181815
person,5,mcap,중소형,5,60,-0.0026572901561622265,-0.04459789629032571,0.03823861860479001,0.45
person,5,mcap,중소형,10,55,0.007862010087321824,-0.04210601271262406,0.06128998187365456,0.509090909090909
person,5,mcap,중소형,20,45,0.018344756867968458,-0.04488620922043425,0.06893281910569353,0.5333333333333333
person,5,none,전체,5,70,0.010042555459562327,-0.032973489723867426,0.05349956766476131,0.5142857142857142
person,5,none,전체,10,65,0.016320490909589022,-0.02699229719985543,0.07048226019328645,0.5538461538461539
person,5,none,전체,20,55,0.013196184687118716,-0.028820808655545413,0.057787483041148266,0.5636363636363636
person,5,none,대형30%,5,70,0.013899992228585486,-0.027801330377391357,0.05868628800506056,0.5428571428571428
