combo,h,cut,n,ic,lo,hi,pos
lv60+to20+upratio63,60,top50_excess,29,0.09589806979618265,0.0715981460042873,0.11933375707193428,0.8387096774193549
upratio63,5,all_monthly,31,0.023978761881205662,-0.005518719174900621,0.050884551324066926,0.6129032258064516
upratio63,5,year_2024,12,0.0044641795772579025,-0.043121861499695005,0.055026722764117776,0.4166666666666667
upratio63,5,year_2025,12,0.030936616300498637,-0.018864453105530227,0.07531210159956266,0.6666666666666666
upratio63,5,year_2026,7,0.045504581112042454,0.012797342700230415,0.07626049952895023,0.8571428571428571
upratio63,5,regime_강세,297,0.04482963108475316,0.02522760063377323,0.06452591859405081,0.7003367003367004
upratio63,5,regime_조정,56,0.011820031304233706,-0.015792618116798066,0.040363314807248384,0.6071428571428571
upratio63,5,regime_반등,60,0.053491407380230414,0.022333879429521895,0.08131773915335107,0.8
upratio63,5,regime_약세,231,-0.012226685407997736,-0.03201922242296655,0.009136200771465293,0.4588744588744589
upratio63,5,top50_excess,31,0.014122854491949112,0.007940377967296899,0.020066418370946856,0.8387096774193549
upratio63,20,all_monthly,30,0.02733606791430737,-0.005757569826322489,0.057479475355756815,0.6333333333333333
upratio63,20,year_2024,12,0.014886638685807809,-0.026768200412386128,0.05382616856782229,0.5833333333333334
upratio63,20,year_2025,12,0.04613670470823081,-0.00916103986321113,0.09506249173215219,0.75
upratio63,20,year_2026,6,0.014633652783459641,-0.05895650812614328,0.09385994414629674,0.5
upratio63,20,regime_강세,297,0.0675131227733211,0.04715149830577341,0.08560288578330376,0.797979797979798
upratio63,20,regime_조정,56,0.031147881734584,-0.0019570673752304117,0.06809264201397493,0.6785714285714286
upratio63,20,regime_반등,48,0.07798739729275965,0.034798141106713386,0.11684334823012363,0.7708333333333334
upratio63,20,regime_약세,228,-0.0019379014643178065,-0.023747979011770014,0.02020112093155587,0.5087719298245614
upratio63,20,top50_excess,30,0.03141317341988782,0.01763355551188636,0.044180374024169446,0.7741935483870968
upratio63,60,all_monthly,29,0.07319447123688554,0.04615250628876149,0.10083243473595326,0.7931034482758621
upratio63,60,year_2024,12,0.033261589242923086,0.005659064356562494,0.06072862690880788,0.6666666666666666
upratio63,60,year_2025,12,0.11422404666764978,0.06623012847329846,0.15708304111956056,0.9166666666666666
upratio63,60,year_2026,5,0.07056240698856127,-0.009169378095977163,0.13361138542450357,0.8
upratio63,60,regime_강세,297,0.0983750593400101,0.07919197038201353,0.11829212854985142,0.8552188552188552
upratio63,60,regime_조정,56,0.07795875702578432,0.035368096884353495,0.13296750705048432,0.6785714285714286
