factor,h,ic,lo,hi,n,pos,ic_강세,ic_조정,ic_반등,ic_약세,ic_2024,ic_2025,ic_2026,ic_KOSPI,ic_KOSDAQ,robust,ic_avoid_loss
vol_dry,5,-0.029609795949467086,-0.04336151551672286,-0.01602635516313444,644,0.38198757763975155,-0.0210104547693955,-0.010655805898415605,-0.028329974681367984,-0.045593419540056225,-0.027799852726445404,-0.03536025361754343,-0.023597235131383645,-0.0387565976320803,-0.02971692871172278,True,
vol_dry,20,-0.042967532380747984,-0.06233492490170589,-0.0160277165216902,629,0.3004769475357711,-0.029883761657288482,-0.03259491664782744,-0.049260896703781844,-0.061233606496561115,-0.03791597691210791,-0.04924289288287948,-0.04096712883412107,-0.06179929801592102,-0.03814841239901271,True,-0.07393339989723391
vol_dry,40,-0.03837452795619801,-0.06146645981833605,-0.019353293402094466,609,0.26436781609195403,-0.0354581817762725,-0.028237137562749714,-0.04177507460874988,-0.04448328967806574,-0.02966525928949248,-0.050030310727989954,-0.032718935467600414,-0.06174254232788352,-0.031516953060506635,True,
vol_dry,60,-0.02806617187577933,-0.0517727943729736,-0.0008918652796770137,589,0.3310696095076401,-0.027698663421458963,-0.008148116794950982,-0.03745725782171719,-0.03218207065266503,-0.02674157277549509,-0.03203745775067382,-0.021873463125729666,-0.052474923482330287,-0.02169167939597064,True,
vol_spike5,5,-0.021974454428330112,-0.03377089271848157,-0.010629960415130547,644,0.42080745341614906,-0.00817378167827378,-0.02038800823734827,-0.024836039426399482,-0.03935950072087363,-0.022382299942244888,-0.02568376322038616,-0.015663270674704997,-0.026096996302372253,-0.026155813587070687,True,
vol_spike5,20,-0.024628353284199055,-0.04168842966785134,-0.000852437356694876,629,0.424483306836248,-0.0049741069441557656,-0.013657966928262363,-0.03542303938437619,-0.05065251059172893,-0.025990886147131083,-0.02830762536825479,-0.01607701158561934,-0.027557239210808795,-0.032653463497979755,True,-0.07748074939012796
vol_spike5,40,-0.02179485328154934,-0.04280706426587895,0.0008081694853107194,609,0.4039408866995074,-0.011867235289946116,-0.014346016814973281,-0.02707272542659107,-0.036757831755935944,-0.02096123332495676,-0.02725892162370189,-0.012698094993806837,-0.029507619649214983,-0.028194979975376348,False,
vol_spike5,60,-0.00890027780908783,-0.032578067341998605,0.015658466763871653,589,0.466893039049236,-0.003934245557209808,0.006517244477744835,-0.022610305900630234,-0.01783757290736637,-0.008843107936220855,-0.01226693469288616,-0.001125699975110587,-0.01751877907289411,-0.01697932744810823,False,
updays5,5,-0.004064716136225513,-0.013750812113338489,0.006259543641162087,644,0.4782608695652174,0.01143450825035604,-0.020761427507390955,-0.0006143227589006937,-0.020840808814446055,-0.016241148129300168,0.012307002181648367,-0.010336275798347434,-0.0017203820827488639,-0.010428306342818832,False,
updays5,20,-0.00020444360986506837,-0.010284628459581637,0.01620839772545048,629,0.534181240063593,0.010062310459673639,-0.014286152190481847,0.04204522674901281,-0.01901424385269224,-0.01588716706234913,0.01995505322276816,-0.00756118284826458,0.0015138492188750796,-0.008789158894794046,False,-0.030148552619039676
updays5,40,0.004410849639906189,-0.006512573621510586,0.023895321456133503,609,0.5123152709359606,0.011213621792047788,-0.00724119727287381,0.032840922190620805,-0.008726420477904753,-0.010060964417578203,0.022694512143283815,-0.0028535706510791174,0.008799257100066033,-0.006488354011867519,False,
updays5,60,0.009237022556835672,-0.001624664281853312,0.030371734608390016,589,0.5500848896434635,0.014866181529680621,-0.0005508490415448345,0.030039443097970187,-0.0020515710144414336,-0.0033462389141768294,0.02565751877236946,0.0004657188167179668,0.014079445477858677,-0.0028374035554600803,False,
skew60,5,-0.06979725902578518,-0.08085320532737289,-0.06083796595693992,644,0.15217391304347827,-0.07152256696894702,-0.07769555708613317,-0.0675162777770659,-0.06625672969428993,-0.0703054461062058,-0.07449911794182011,-0.06181088240994285,-0.0672450931819332,-0.055465955962932044,True,
skew60,20,-0.09722489304448718,-0.11386136567528934,-0.08155718057671428,629,0.06200317965023847,-0.10802843951692676,-0.07190260472088612,-0.11199392647024604,-0.08626209146277967,-0.09604202595739077,-0.10015172076174926,-0.09429011865059982,-0.09568949953876574,-0.07446018161996187,True,-0.10904164723191602
skew60,40,-0.11588180715681891,-0.13527791601206557,-0.10154206781211432,609,0.014778325123152709,-0.12037055902245085,-0.09462948269574054,-0.14794242259644788,-0.10779556352521077,-0.10683944599751166,-0.11569396608289874,-0.13418907270771038,-0.1133495965552621,-0.08368211149956672,True,
skew60,60,-0.1330705233122943,-0.1498261456135178,-0.11050674676663427,589,0.0,-0.12747707327621374,-0.13484199409545333,-0.1583797437255411,-0.13491738350922608,-0.12554866033934978,-0.11984782452970076,-0.1819562288539069,-0.12521009768412933,-0.0957342906323133,True,
volvol20,5,-0.09739847860725427,-0.1124711731435964,-0.08311332217279674,644,0.15372670807453417,-0.09990432515928425,-0.10761242550663676,-0.10441478967992254,-0.08987814909782386,-0.09536292491646582,-0.09604830435304328,-0.10260998031656719,-0.08100898125758355,-0.08392555228799682,True,
volvol20,20,-0.13419298551664505,-0.16212398899853267,-0.10987815722100953,629,0.0890302066772655,-0.1398451297804071,-0.09076560374447147,-0.13697859743080085,-0.1369102537667542,-0.13556026291083587,-0.12950113232161722,-0.1398000679573035,-0.11330194869842934,-0.1128305193508589,True,-0.2096398295644109
volvol20,40,-0.15655205439514114,-0.18490374021574865,-0.12013806747415204,609,0.06239737274220033,-0.15662354630758957,-0.10188380672278881,-0.1777862721854142,-0.16626814246110966,-0.14854155673498634,-0.14971627110914443,-0.18589206239749065,-0.1281606580252047,-0.12616442494444935,True,
volvol20,60,-0.16814330483827492,-0.1898104610850272,-0.12934438247403074,589,0.022071307300509338,-0.15057578874126704,-0.17730318973882442,-0.18949039557125302,-0.1877174451106027,-0.17157944092460797,-0.14632866230383365,-0.2112571522972023,-0.12905741747643223,-0.13452640346946418,True,
lv_ratio,5,-0.023417248649139577,-0.03351493859064368,-0.01228916865581179,644,0.40217391304347827,-0.0210633780323404,-0.005181662838644604,-0.03614427868109316,-0.027558679716931184,-0.02517545367262993,-0.02715548343480569,-0.014976395206969676,-0.028728982183085575,-0.020670692795957627,True,
lv_ratio,20,-0.037606719937792035,-0.05276451433499843,-0.019262869532665698,629,0.29093799682034976,-0.03175529893123655,-0.0121383697215847,-0.053850094763366295,-0.04806469212826145,-0.036284273230433,-0.045808884766162114,-0.02598261579884132,-0.04716092614977958,-0.032097436348686455,True,-0.056832933090117804
lv_ratio,40,-0.04169583969847431,-0.05943550125125789,-0.023269914885997205,609,0.23973727422003285,-0.04283166414761727,-0.017952734467600012,-0.051556603532437,-0.04419082704224015,-0.030662608772242785,-0.05809007579824814,-0.03132757311193146,-0.05349136259057266,-0.03144706617511478,True,
