factor,h,cut,n,ic,lo,hi,pos
to20,5,regime_반등,60,0.12282776036335588,0.08821625464138903,0.17250388989292148,0.8333333333333334
to20,5,regime_약세,231,0.11657479078630932,0.07597231396221411,0.1577442769193988,0.7792207792207793
to20,5,mkt_KOSPI,31,0.08892210890039402,0.038196270646559664,0.13183269822883337,0.7096774193548387
to20,5,mkt_KOSDAQ,31,0.08830234331268906,0.05160241291717263,0.12560306141485447,0.8064516129032258
to20,20,all_monthly,30,0.17119046033395102,0.12128145293260889,0.22437587093593422,0.8666666666666667
to20,20,all_daily_block5,629,0.1663444589485508,0.14437879306587692,0.18841485469760821,0.9030206677265501
to20,20,year_2024,12,0.16053053668801906,0.08896394719547632,0.2259486904336364,0.8333333333333334
to20,20,year_2025,12,0.15060910182074053,0.07203944168660528,0.23779782550501424,0.8333333333333334
to20,20,year_2026,6,0.23367302465223597,0.09622064014570592,0.3713495411080643,1.0
to20,20,regime_강세,297,0.17302265951384763,0.14728099936408118,0.19745745768968007,0.9393939393939394
to20,20,regime_조정,56,0.12693729268353446,0.06794453690410265,0.16659665646297564,0.8928571428571429
to20,20,regime_반등,48,0.16309640584641244,0.11294735542879016,0.22912362164067804,0.8958333333333334
to20,20,regime_약세,228,0.16800797777245605,0.12866046038084564,0.21489311182735976,0.8596491228070176
to20,20,mkt_KOSPI,30,0.15349005229239066,0.09982388080172737,0.21443524667259303,0.8
to20,20,mkt_KOSDAQ,30,0.13539460568831577,0.10194626008461535,0.17177713773845313,0.9666666666666667
to20,60,all_monthly,29,0.22130384380511242,0.18112464326731417,0.2650210774046826,1.0
to20,60,all_daily_block5,589,0.21463197168126036,0.19367825492886676,0.2339093896480478,0.969439728353141
to20,60,year_2024,12,0.1998846310989388,0.1427369227328316,0.24990538496302186,1.0
to20,60,year_2025,12,0.20918279029125497,0.15256092379647707,0.27445627977456527,1.0
to20,60,year_2026,5,0.3018004827331873,0.18024740677304243,0.4204798455626225,1.0
to20,60,regime_강세,297,0.1974606381491925,0.17442048728037532,0.21843106717725705,0.98989898989899
to20,60,regime_조정,56,0.26235149476227065,0.21917548481970314,0.29483805314021433,1.0
to20,60,regime_반등,48,0.2378560155935238,0.18016291464607995,0.28832145742862664,1.0
to20,60,regime_약세,188,0.22161515603604193,0.17685127901725153,0.2618356766471281,0.9202127659574468
to20,60,mkt_KOSPI,29,0.16659691487183984,0.11209925946880227,0.22463367680964239,0.8620689655172413
to20,60,mkt_KOSDAQ,29,0.16702841233500285,0.14012105230731753,0.19661551802502666,1.0
nh252,5,all_monthly,31,0.013641108885534315,-0.032438704796290005,0.05888487703354036,0.6129032258064516
nh252,5,all_daily_block5,644,0.03601769606789449,0.015606127198123945,0.05577975844909208,0.6288819875776398
nh252,5,year_2024,12,-0.0052878719679228135,-0.0911884102339444,0.08291406885445606,0.5
nh252,5,year_2025,12,0.03350846942593652,-0.015164002721497878,0.0746225164241341,0.75
nh252,5,year_2026,7,0.012032457993628485,-0.0922375993797769,0.11233209388153025,0.5714285714285714
nh252,5,regime_강세,297,0.05307840874274372,0.029000520113117,0.07788760339400048,0.6767676767676768
nh252,5,regime_조정,56,0.04032213009047005,0.00999792026109838,0.0632775491639722,0.6785714285714286
nh252,5,regime_반등,60,0.06330589236596187,0.01857947896351134,0.10759730334237134,0.6833333333333333
nh252,5,regime_약세,231,0.005951151706082802,-0.03673581681499739,0.04741523457100977,0.5411255411255411
nh252,5,mkt_KOSPI,31,-0.0049646075145357285,-0.0633363653569488,0.051081849337334354,0.41935483870967744
nh252,5,mkt_KOSDAQ,31,0.005387308632790417,-0.03551009260043333,0.04268687823263069,0.7096774193548387
nh252,20,all_monthly,30,0.03799267952446743,-0.0027840873296092897,0.07815236911508273,0.7333333333333333
nh252,20,all_daily_block5,629,0.0566225228489994,0.037554106926743526,0.07649270541987588,0.7360890302066773
nh252,20,year_2024,12,0.02290344208674885,-0.0631160790972252,0.09780065497866083,0.6666666666666666
nh252,20,year_2025,12,0.03800113255093864,0.005747691540750886,0.07127365201196434,0.75
nh252,20,year_2026,6,0.06815424834696214,-0.03429442930992855,0.1684698783528729,0.8333333333333334
nh252,20,regime_강세,297,0.07449886666265926,0.048918618906648864,0.09528980165268934,0.7912457912457912
nh252,20,regime_조정,56,0.08181983918374382,0.04387779382027645,0.1266297430047596,0.8571428571428571
nh252,20,regime_반등,48,0.0644615054772363,0.007961354490113775,0.11975955862001544,0.75
nh252,20,regime_약세,228,0.02549710621058697,-0.012509350169294027,0.06357283622893802,0.631578947368421
nh252,20,mkt_KOSPI,30,0.028909777781977244,-0.02088749360229066,0.0768143880151526,0.6
nh252,20,mkt_KOSDAQ,30,0.006339869001322464,-0.031373839115986624,0.040838348957523696,0.5666666666666667
nh252,60,all_monthly,29,0.08907001508599341,0.054428735364572906,0.12189183576706239,0.7241379310344828
nh252,60,all_daily_block5,589,0.10194863045790419,0.0846793968641205,0.11732343697540318,0.8488964346349746
nh252,60,year_2024,12,0.05912000115472102,-0.001566524372811813,0.11477199883603172,0.6666666666666666
nh252,60,year_2025,12,0.1076257415884458,0.0537393154662778,0.15420496121353106,0.75
nh252,60,year_2026,5,0.11641630491516142,0.04452675409234258,0.17865667956694456,0.8
nh252,60,regime_강세,297,0.11548486554650313,0.09322134315441427,0.13484687950101407,0.8787878787878788
nh252,60,regime_조정,56,0.1350849604303704,0.11103869127947698,0.16815857540485707,0.9821428571428571
nh252,60,regime_반등,48,0.08182107918479047,0.013543176204085744,0.1304081368411153,0.75
nh252,60,regime_약세,188,0.07583281216714596,0.04212082863339622,0.1072728453209993,0.7872340425531915
nh252,60,mkt_KOSPI,29,0.07760127903095959,0.038595687304477454,0.11550449475123947,0.7241379310344828
nh252,60,mkt_KOSDAQ,29,0.036095952765053375,-0.0005230122192563417,0.07126722657673577,0.6551724137931034
dlow252,5,all_monthly,31,0.05265585623037508,0.010578902757173256,0.09394162756449012,0.5806451612903226
dlow252,5,all_daily_block5,644,0.0565092109566739,0.04077120688436588,0.07453130129521522,0.656832298136646
dlow252,5,year_2024,12,0.06539555769038073,0.028633452361931794,0.10362658524232932,0.75
dlow252,5,year_2025,12,0.09552823847287341,0.02265927594860954,0.17075508271847994,0.5833333333333334
dlow252,5,year_2026,7,-0.04267914440248895,-0.12435601305728036,0.028443801851497887,0.2857142857142857
dlow252,5,regime_강세,297,0.04066354780624777,0.01807460548183907,0.06480935745911195,0.6262626262626263
dlow252,5,regime_조정,56,0.073336546161171,0.003586762062056273,0.14113973550807907,0.625
dlow252,5,regime_반등,60,0.047786750736687006,0.010161431167836974,0.08748003395254592,0.6666666666666666
dlow252,5,regime_약세,231,0.07506842652993771,0.047269034190437174,0.1046812286931286,0.7012987012987013
dlow252,5,mkt_KOSPI,31,0.03889832118245026,-0.008662399915950568,0.08295833544120325,0.5806451612903226
dlow252,5,mkt_KOSDAQ,31,0.052410920197410504,0.01434388821276027,0.09459059306041044,0.6451612903225806
dlow252,20,all_monthly,30,0.08314526906912803,0.041302143156844474,0.12828163289816527,0.8
dlow252,20,all_daily_block5,629,0.07063943968592024,0.0498557702450954,0.0914810962565431,0.7313195548489666
dlow252,20,year_2024,12,0.0945052983586584,0.0459939242027247,0.14157522482896978,0.9166666666666666
dlow252,20,year_2025,12,0.06332542853089705,-0.008319672739895385,0.13693540730924644,0.6666666666666666
dlow252,20,year_2026,6,0.10006489156652927,-0.02808239361101873,0.18925374847265528,0.8333333333333334
dlow252,20,regime_강세,297,0.06206327977530928,0.03369805396695452,0.089594107440729,0.6902356902356902
dlow252,20,regime_조정,56,0.02974320857692465,-0.03535327607478215,0.07706651594779838,0.5535714285714286
dlow252,20,regime_반등,48,0.059462889701516884,0.028632900609726567,0.10374193648564577,0.75
dlow252,20,regime_약세,228,0.09420866264559816,0.06530885307578813,0.13205994184498943,0.8245614035087719
dlow252,20,mkt_KOSPI,30,0.05058413503631964,-0.00029613944121693636,0.10354989363779402,0.6333333333333333
dlow252,20,mkt_KOSDAQ,30,0.09355969862769489,0.051074405614388765,0.13426753339735453,0.7666666666666667
dlow252,60,all_monthly,29,0.07580081667376301,0.035834030076030705,0.11845005576599651,0.7931034482758621
dlow252,60,all_daily_block5,589,0.06428593432918969,0.04327702296915752,0.0839358675577396,0.7402376910016978
dlow252,60,year_2024,12,0.09434076531144188,0.06595363367029049,0.12636437699121172,0.9166666666666666
dlow252,60,year_2025,12,0.04165858257032957,-0.01964497935908782,0.10155289006390886,0.75
dlow252,60,year_2026,5,0.11324630179157387,-0.05060977154157277,0.27445032210221443,0.6
dlow252,60,regime_강세,297,0.041295857763049414,0.008721378870316907,0.06968721774966839,0.5993265993265994
dlow252,60,regime_조정,56,0.055783044828912706,-0.004410721838805557,0.0881123994460494,0.7321428571428571
dlow252,60,regime_반등,48,0.11309599487284276,0.10307401459615684,0.13378208581329973,1.0
dlow252,60,regime_약세,188,0.09067599627633773,0.06622073369252968,0.11317264681692499,0.898936170212766
dlow252,60,mkt_KOSPI,29,0.010209194721516218,-0.037449519618083155,0.06325533973471972,0.4482758620689655
dlow252,60,mkt_KOSDAQ,29,0.0981712667694114,0.0599864374053958,0.13691577727086973,0.7931034482758621
mom12_1,5,all_monthly,25,0.04544719714173903,0.013719826956416522,0.07738321926563127,0.8
mom12_1,5,all_daily_block5,519,0.012827673153036713,-0.0042963315775535055,0.03171291492655117,0.5433526011560693
mom12_1,5,year_2024,6,0.027535851604654552,-0.027188774231981648,0.0865986530560748,0.5
mom12_1,5,year_2025,12,0.027402241846368202,-0.005044008205229787,0.05225842258082846,0.9166666666666666
mom12_1,5,year_2026,7,0.09173398810844713,0.028880249493831292,0.17376762659152084,0.8571428571428571
mom12_1,5,regime_강세,246,0.021578124171190552,-0.004165164232114966,0.04339814498953114,0.573170731707317
mom12_1,5,regime_조정,42,0.005162085353609458,-0.032131613236651535,0.04517593015424944,0.5476190476190477
