basket,k,cut,cost_rt,n,ret_per20d,lo,hi,excess_per20d,ew_per20d,win
과매도프록시top20(RSI최저),1,전체,0.008,648,-0.1656154362486852,-0.19937280490810974,-0.13229687545755367,-0.005434783922994487,-0.00018065232569068973,0.470679012345679
과매도프록시top20(RSI최저),1,강세,0.0,297,-0.015513703617209072,-0.04685022212668772,0.016780900994014393,-0.01842711364109489,0.0029134100238858178,0.43434343434343436
과매도프록시top20(RSI최저),1,강세,0.005,297,-0.11551370361720907,-0.1468502221266877,-0.08321909900598562,-0.01842711364109489,0.0029134100238858178,0.43434343434343436
과매도프록시top20(RSI최저),1,강세,0.008,297,-0.17551370361720908,-0.20685022212668772,-0.14321909900598562,-0.01842711364109489,0.0029134100238858178,0.43434343434343436
과매도프록시top20(RSI최저),1,조정,0.0,56,-0.002414710870178927,-0.054674009872332056,0.07904765940595238,-0.005889305561835993,0.0034745946916570785,0.5357142857142857
과매도프록시top20(RSI최저),1,조정,0.005,56,-0.10241471087017892,-0.15467400987233207,-0.020952340594047603,-0.005889305561835993,0.0034745946916570785,0.5357142857142857
과매도프록시top20(RSI최저),1,조정,0.008,56,-0.16241471087017897,-0.21467400987233207,-0.08095234059404764,-0.005889305561835993,0.0034745946916570785,0.5357142857142857
과매도프록시top20(RSI최저),1,반등,0.0,64,-0.0007221354748845315,-0.07042653148973033,0.07400552839227315,0.023185462015630237,-0.02390759749051477,0.515625
과매도프록시top20(RSI최저),1,반등,0.005,64,-0.10072213547488452,-0.1704265314897303,-0.025994471607726857,0.023185462015630237,-0.02390759749051477,0.515625
과매도프록시top20(RSI최저),1,반등,0.008,64,-0.16072213547488456,-0.23042653148973033,-0.08599447160772689,0.023185462015630237,-0.02390759749051477,0.515625
과매도프록시top20(RSI최저),1,약세,0.0,231,0.004979254390847352,-0.07508824020795554,0.07748169064771884,0.0034504082760486478,0.0015288461147987009,0.48917748917748916
과매도프록시top20(RSI최저),1,약세,0.005,231,-0.09502074560915265,-0.17508824020795552,-0.022518309352281163,0.0034504082760486478,0.0015288461147987009,0.48917748917748916
과매도프록시top20(RSI최저),1,약세,0.008,231,-0.15502074560915266,-0.23508824020795555,-0.08251830935228117,0.0034504082760486478,0.0015288461147987009,0.48917748917748916
과매도프록시top20(RSI최저),5,전체,0.0,644,0.00040526741959370663,-0.02253408642504269,0.023136934517059466,-0.0001264944742629689,0.0005317618938566724,0.48757763975155277
과매도프록시top20(RSI최저),5,전체,0.005,644,-0.019594732580406296,-0.04253408642504269,0.003136934517059466,-0.0001264944742629689,0.0005317618938566724,0.48757763975155277
과매도프록시top20(RSI최저),5,전체,0.008,644,-0.0315947325804063,-0.054534086425042684,-0.008863065482940533,-0.0001264944742629689,0.0005317618938566724,0.48757763975155277
과매도프록시top20(RSI최저),5,강세,0.0,297,-0.019605179188315107,-0.048694840116864396,0.0066828843633861615,-0.019558992998136734,-4.618619017837405e-05,0.4276094276094276
과매도프록시top20(RSI최저),5,강세,0.005,297,-0.03960517918831511,-0.06869484011686439,-0.013317115636613835,-0.019558992998136734,-4.618619017837405e-05,0.4276094276094276
과매도프록시top20(RSI최저),5,강세,0.008,297,-0.051605179188315115,-0.0806948401168644,-0.025317115636613836,-0.019558992998136734,-4.618619017837405e-05,0.4276094276094276
과매도프록시top20(RSI최저),5,조정,0.0,56,0.007973715626054598,-0.029370720076650546,0.07372274902661015,0.001415299223066118,0.0065584164029884795,0.5357142857142857
과매도프록시top20(RSI최저),5,조정,0.005,56,-0.012026284373945404,-0.04937072007665055,0.053722749026610166,0.001415299223066118,0.0065584164029884795,0.5357142857142857
과매도프록시top20(RSI최저),5,조정,0.008,56,-0.024026284373945408,-0.06137072007665056,0.041722749026610155,0.001415299223066118,0.0065584164029884795,0.5357142857142857
과매도프록시top20(RSI최저),5,반등,0.0,60,0.016320317689948773,-0.041823084693720196,0.06589013045597275,0.02888450346844089,-0.012564185778492125,0.5
과매도프록시top20(RSI최저),5,반등,0.005,60,-0.0036796823100512335,-0.061823084693720186,0.04589013045597274,0.02888450346844089,-0.012564185778492125,0.5
과매도프록시top20(RSI최저),5,반등,0.008,60,-0.01567968231005123,-0.07382308469372022,0.03389013045597274,0.02888450346844089,-0.012564185778492125,0.5
과매도프록시top20(RSI최저),5,약세,0.0,231,0.020164429873125323,-0.032679565501536174,0.08024617069385463,0.016949054174991787,0.0032153756981335357,0.5497835497835498
과매도프록시top20(RSI최저),5,약세,0.005,231,0.00016442987312532032,-0.052679565501536185,0.06024617069385463,0.016949054174991787,0.0032153756981335357,0.5497835497835498
과매도프록시top20(RSI최저),5,약세,0.008,231,-0.011835570126874681,-0.06467956550153617,0.048246170693854624,0.016949054174991787,0.0032153756981335357,0.5497835497835498
과매도프록시top20(RSI최저),10,전체,0.0,639,-0.0022310587764164647,-0.024704367858747876,0.02218380186588093,-0.0023400916328797992,0.00010903285646333673,0.4945226917057903
과매도프록시top20(RSI최저),10,전체,0.005,639,-0.012231058776416465,-0.03470436785874788,0.012183801865880925,-0.0023400916328797992,0.00010903285646333673,0.4945226917057903
과매도프록시top20(RSI최저),10,전체,0.008,639,-0.018231058776416467,-0.04070436785874788,0.006183801865880926,-0.0023400916328797992,0.00010903285646333673,0.4945226917057903
