rcept_no,rcept_dt,ticker,corp_name,market,event_type,report_nm,corr,ext,trust,cancel,sub,dt,t,j,ok_t,ex5,raw5,exm5,ex20,raw20,exm20,ex60,raw60,exm60,pre20,react,year,regime,size_q,quiet_q,rsi
20240716000265,20240716,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약해지결정),False,False,True,False,buyback_trust,2024-07-16,259,896,True,-0.06854290216358822,-0.10037641154328736,-0.07522173675300062,-0.1693294168888883,-0.25658720200752827,-0.18301578243527983,-0.22251839324399098,-0.3462986198243413,-0.25188202316587655,-0.042088494307496505,0.02194782951921498,2024,약세,대,하위50,54.82506659554084
20240924000013,20240924,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약체결결정),False,False,True,False,buyback_trust,2024-09-24,305,896,True,0.020619444529880293,0.007504690431519689,0.011615566991106422,-0.058752361587248614,-0.10412757973733588,-0.07835845176462732,-0.061059339773308796,-0.18667917448405258,-0.10529786718017439,-0.11037039766853751,0.04606011916716879,2024,약세,대,하위50,48.37134776195146
20241112000137,20241112,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약체결결정),False,False,True,False,buyback_trust,2024-11-12,337,896,True,-0.015694618008868955,-0.00487210718635811,-0.018877928093302382,0.003004823815375035,-0.01461632155907433,-0.016620929574803673,0.18687555126212785,0.22411693057247262,0.1313918497390517,-0.1589806255835668,-0.012318777378113599,2024,약세,대,하위50,32.66571429531402
20250122000503,20250122,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약해지결정),False,False,True,False,buyback_trust,2025-01-22,385,896,True,-0.09971870284284834,-0.10582444626743237,-0.11088205085158909,-0.20498232682142992,-0.17637407711238717,-0.22987595403475633,-0.2942230877155321,-0.3166529942575882,-0.3312621182921058,0.516386687439319,0.08961762088853059,2025,강세,대,하위50,73.67459727683524
20250324000703,20250324,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약해지결정),False,False,True,False,buyback_trust,2025-03-24,423,896,True,-0.1435061743885735,-0.181924882629108,-0.15488107008048282,-0.10529139475438176,-0.12089201877934275,-0.13608027453093507,0.019126120358514687,0.08920187793427226,-0.05937237690109323,-0.14026889594378017,-0.04478705691343232,2025,약세,대,하위50,39.424213787582524
20250512000550,20250512,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약해지결정),False,False,True,False,buyback_trust,2025-05-12,455,896,True,0.07948046942078701,0.05432098765432092,0.07036049627866886,0.04384787424263126,0.08641975308641969,0.016220566354449885,0.051262762291452435,0.08024691358024683,0.004944209498894382,0.23096797912383304,0.0358959166543229,2025,반등,대,하위50,60.64665486550985
20250404004103,20250404,042940,상지건설,K,cb,주요사항보고서(자기전환사채매도결정),False,False,False,False,cb,2025-04-04,432,897,False,1.776468528828266,1.8492239467849223,1.7646119298127512,3.7961840504922595,3.9113082039911307,3.775875044789733,0.3687786614615882,0.5476718403547671,0.3151923886587102,0.7899865581362819,0.7403719733634664,2025,약세,,,83.24088338405156
20250207000504,20250207,042940,상지건설,K,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2025-02-07,393,897,False,-0.10522040010336564,-0.09101654846335694,-0.11654722598693656,-0.049775283817837024,-0.08274231678486998,-0.06689508815966408,,,,-0.11675816274912354,-0.0348332025298318,2025,강세,,,24.97098970646529
20260508000511,20260508,042940,상지건설,K,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2026-05-08,697,897,True,-0.03181023947317929,-0.10880829015544047,-0.0416401510366194,-0.109789090175611,-0.3409326424870466,-0.12999651362376935,-0.08248076621133615,-0.37823834196891193,-0.12263331245446826,-0.04620238437427271,-0.11494246519812423,2026,강세,소,하위50,54.5864480364032
20240806000169,20240806,042940,상지건설,K,reduction,주요사항보고서(감자결정),False,False,False,False,reduction,2024-08-06,274,897,False,0.2764251127378089,0.3090857628078121,0.2683084094058656,0.08205240558344268,0.055193886215680665,0.07377646853242009,-0.14153137368582974,-0.170676478913105,-0.16447557324762657,0.0731500608418767,-0.2919036929007709,2024,약세,,,37.608059478119046
20231124000542,20231124,043100,알파AI,K,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2023-11-24,103,899,False,-0.07709260367716353,-0.08200660859116848,-0.0878171686442202,-0.17843196155001506,-0.17843196155001506,-0.1947993195170027,0.02037217072289832,0.024632021628116618,-0.026864923917345587,-0.013319292247677361,-0.005443483031194685,2023,반등,,,56.340062894573876
20240314001462,20240314,043100,알파AI,K,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2024-03-14,176,899,True,0.0070717229341146215,0.013201320132013139,-0.005132528134925082,-0.13021635496883022,-0.18206820682068203,-0.15523618231845376,-0.2125290157377595,-0.2626512651265126,-0.2722941263933854,0.3887924135912647,0.07076334857356747,2024,강세,소,하위50,64.21927571338281
20250507000716,20250508,043100,알파AI,K,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2025-05-08,453,899,True,0.09688436130870492,0.09227871939736354,0.08965108194000503,0.3983158215711411,0.43879472693032007,0.37648631387622394,0.6620676419746951,0.6911487758945387,0.6162289418092184,1.129375623833141,0.06241509376683896,2025,반등,소,하위50,87.63387201102277
20250731000550,20250801,043100,알파AI,K,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2025-08-01,512,899,True,-0.5346138889642513,-0.5183537263626252,-0.5401709617910598,-0.588789412031067,-0.6131256952169077,-0.6084895197715803,-0.5386689237907144,-0.5483870967741935,-0.6299671660712347,0.1368867699642431,-0.017786762974012715,2025,강세,소,하위50,55.12879997158305
20251001000773,20251001,043100,알파AI,K,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2025-10-01,554,899,False,0.5494983406738742,0.5468639887244537,0.53374424739276,0.46360378688154025,0.4305849189570119,0.4260876101319708,0.21475083056478395,0.193798449612403,0.14319475636188,-0.21451828837069786,-0.06321851558344282,2025,강세,,,24.573555053640916
20260127000435,20260127,043100,알파AI,K,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2026-01-27,630,899,True,0.09086858552490418,0.10663507109004744,0.07369621396149417,-0.41164324344574205,-0.4312796208530806,-0.4499486791789172,-0.8025338016600971,-0.7535545023696683,-0.9059785252745859,0.1456811824625419,0.1258685832207801,2026,강세,소,하위50,60.70467880379323
20240314001543,20240314,043100,알파AI,K,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2024-03-14,176,899,True,0.0070717229341146215,0.013201320132013139,-0.005132528134925082,-0.13021635496883022,-0.18206820682068203,-0.15523618231845376,-0.2125290157377595,-0.2626512651265126,-0.2722941263933854,0.3887924135912647,0.07076334857356747,2024,강세,소,하위50,64.21927571338281
20240912000325,20240912,043100,알파AI,K,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2024-09-12,300,899,False,-0.015339094373324147,0.0,-0.024678616188192948,0.14174415792144712,0.137762579384465,0.12251709574726746,-0.038823072304020045,-0.13043478260869568,-0.07937960888089984,-0.13503726387855047,-0.029785433041836895,2024,약세,,,34.632419308118045
20250508000001,20250508,043100,알파AI,K,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2025-05-08,453,899,True,0.09688436130870492,0.09227871939736354,0.08965108194000503,0.3983158215711411,0.43879472693032007,0.37648631387622394,0.6620676419746951,0.6911487758945387,0.6162289418092184,1.129375623833141,0.06241509376683896,2025,반등,소,하위50,87.63387201102277
20240626000416,20240626,043100,알파AI,K,reduction,주요사항보고서(감자결정),False,False,False,False,reduction,2024-06-26,245,899,False,0.4315652226158858,0.4126089185033317,0.42633977367007936,0.40514320060836817,0.33880061506919534,0.38819853116245145,0.16615064641705618,0.049205535622757646,0.14477984911769393,0.028080285021924722,-0.2646689414364192,2024,약세,,,46.834079360913066
20240820000079,20240820,043220,티에스넥스젠,K,bw,주요사항보고서(신주인수권부사채권발행결정),False,False,False,False,bw,2024-08-20,283,902,False,-0.10975430613588882,-0.13944954128440368,-0.11363672802843934,0.19819273068702797,0.15045871559633017,0.18748064725140412,-0.15590308927034247,-0.28623853211009176,-0.171673539587631,0.12690956599214787,0.02535786810479712,2024,약세,,,63.296721873229444
20240214001879,20240214,043220,티에스넥스젠,K,cb,주요사항보고서(자기전환사채매도결정),False,False,False,False,cb,2024-02-14,156,902,False,-0.003552397868561319,-0.003552397868561319,-0.017278013099461385,0.7626307098565488,0.7300177619893429,0.7351355623887833,0.6844624971623194,0.6483126110124333,0.6341222809450882,-0.02198388080359448,-0.02414868555304417,2024,조정,,,47.87537269283859
