code,strategy,buy,sell,hold_td,ret,pnl_at_sell,rsi_sell,rsi_chg5,rs_vs_mkt,after5,after5_mkt,after5_exc,closed5,after10,after10_mkt,after10_exc,closed10,after20,after20_mkt,after20_exc,closed20,hold40_ret,hold40_closed,sell_vs_hold40,type
003550,모멘텀,07-13,08-10,19,5.6,8.358509566968774,57.60495874559633,8.246468178466927,0.5288493912246608,4.739776951672869,-0.18990538880252483,4.929682340475394,True,4.646840148698894,-1.2447427633948682,5.891582912093762,True,12.546468401486987,-0.6460975081735598,13.192565909660546,False,21.953675730110778,False,-13.595166163142004,기타
035720,모멘텀,07-07,08-06,21,9.7,8.192090395480234,58.0547202133094,8.399027811855781,8.186068021624738,4.699738903394257,6.084179118429001,-1.3844402150347435,True,-6.5274151436031325,0.21602723331388685,-6.743442376917019,True,-5.483028720626637,3.7539274865225236,-9.23695620714916,True,-0.14124293785310327,True,8.333333333333337,기타
326030,저변동,07-22,08-06,11,3.1,8.723958333333325,54.03236107849879,10.703660460448639,2.4529095093079425,4.910179640718559,6.084179118429001,-1.1739994777104412,True,0.23952095808383866,0.21602723331388685,0.023493724769951818,True,3.7125748502994105,3.7539274865225236,-0.04135263622311314,True,12.760416666666675,False,-4.03645833333335,기타
036570,저변동,07-31,08-06,4,4.9,2.1321961620469176,51.508602422910094,6.644789909531561,-7.4609697843747815,1.6701461377870652,6.084179118429001,-4.414032980641935,True,-6.263048016701466,0.21602723331388685,-6.479075250015353,True,-7.306889352818368,3.7539274865225236,-11.060816839340891,True,-5.330490405117272,False,7.46268656716419,기타
017670,모멘텀,07-13,08-04,15,11.7,6.651108518086346,52.8966993883594,12.601549175904111,6.462849104997859,-5.908096280087527,8.846102354933594,-14.75419863502112,True,7.221006564551424,5.421309108864492,1.7996974556869327,True,0.0,5.612581411756468,-5.612581411756468,True,7.934655775962662,False,-1.2835472578763163,기타
003490,모멘텀b,07-22,08-04,9,2.4,4.819277108433728,49.192169828726904,6.207534362907232,1.7063354098086903,2.1072796934865856,8.846102354933594,-6.738822661447008,True,-4.0229885057471275,5.421309108864492,-9.444297614611619,True,10.727969348659006,5.612581411756468,5.115387936902538,True,21.285140562248994,False,-16.465863453815267,기타
257720,저변동,06-30,07-08,6,15.0,13.744075829383885,51.31827086701251,-0.1451878764982908,20.928780624544373,1.388888888888884,3.817731079034914,-2.42884219014603,True,1.1111111111111072,2.541057409567027,-1.4299462984559197,True,9.305555555555545,4.232637868909372,5.072917686646172,True,55.29225908372828,True,-41.548183254344394,기타
017800,스윙,06-26,07-03,5,1.5,4.341534008683068,39.254858624556576,10.5369864576044,-1.24096615924838,-3.606102635228847,-1.4884485873860376,-2.1176540478428096,True,-7.905686546463242,-9.30615330150527,1.4004667550420287,True,-6.102635228848818,-9.760556685776567,3.657921456927749,True,7.814761215629518,True,-3.47322720694645,기타
028050,스윙,06-26,07-03,5,18.6,16.043425814234013,49.21725117630192,11.39477459790325,10.460925646302565,-8.316008316008316,-1.4884485873860376,-6.827559728622279,True,-18.5031185031185,-9.30615330150527,-9.19696520161323,True,-7.692307692307687,-9.760556685776567,2.06824899346888,True,10.615199034981915,True,5.428226779252098,+15%↑
021240,스윙,06-26,07-03,5,11.3,11.318553092182038,60.22449556311735,17.9933874167631,5.73605292425059,-5.7651991614255715,-1.4884485873860376,-4.276750574039534,True,-3.1446540880503138,-9.30615330150527,6.161499213454957,True,-3.3542976939203384,-9.760556685776567,6.4062589918562285,True,15.169194865810965,True,-3.8506417736289276,기타
037270,스윙,06-26,07-03,5,6.1,9.4855305466238,41.51482332766693,14.086452166716583,3.9030303786923515,1.027900146842886,-1.4884485873860376,2.5163487342289237,True,-8.516886930983848,-9.30615330150527,0.7892663705214229,True,-7.048458149779735,-9.760556685776567,2.712098535996832,True,3.37620578778135,True,6.109324758842449,기타
