cut,key,metric,n,mean,lo,hi,pos
type_year,"('buyback_sell', '2023')",exm60,66,-0.009321651973395401,-0.04479085773457767,0.028474030564551427,0.5
type_year,"('buyback_sell', '2024')",pre20,230,0.060782879560088675,0.02947686769864319,0.09829854946540116,0.5521739130434783
type_year,"('buyback_sell', '2024')",react,230,0.007224601056910449,-0.00204784851466871,0.017258071509821202,0.49130434782608695
type_year,"('buyback_sell', '2024')",ex5,230,0.01120406524042778,0.0009018781674941897,0.021848808843648822,0.5478260869565217
type_year,"('buyback_sell', '2024')",ex20,230,0.020957238782656745,-0.0012637948746014014,0.04572704360691737,0.4782608695652174
type_year,"('buyback_sell', '2024')",ex60,230,0.04669063625299965,0.007129877408256371,0.09347098488052893,0.5043478260869565
type_year,"('buyback_sell', '2024')",raw20,230,-0.008320789967015477,-0.03126173689470198,0.016604513987867955,0.3739130434782609
type_year,"('buyback_sell', '2024')",exm20,230,-0.001409889737681478,-0.023316240105275204,0.023244827466845582,0.3782608695652174
type_year,"('buyback_sell', '2024')",exm60,230,0.006783273353116067,-0.0326959011949794,0.053704542895685776,0.41739130434782606
type_year,"('buyback_sell', '2025')",pre20,381,0.06996381153850278,0.048749422852473655,0.09385880648147026,0.5433070866141733
type_year,"('buyback_sell', '2025')",react,381,-0.00028841078917317745,-0.005672354040623763,0.005532326698635097,0.47244094488188976
type_year,"('buyback_sell', '2025')",ex5,381,0.00803832145697731,0.0001873703410309012,0.01586245528044062,0.48293963254593175
type_year,"('buyback_sell', '2025')",ex20,381,0.019521636146051277,0.005351939905290239,0.03469828116403461,0.48556430446194226
type_year,"('buyback_sell', '2025')",ex60,381,0.0830579327902923,0.049077027799840814,0.11803230884205057,0.47244094488188976
type_year,"('buyback_sell', '2025')",raw20,381,0.013155347211538795,-0.0008496212895318634,0.029055854799346057,0.47506561679790027
type_year,"('buyback_sell', '2025')",exm20,381,-0.009666994382675983,-0.024155184299757947,0.006206527537100959,0.37270341207349084
type_year,"('buyback_sell', '2025')",exm60,381,0.009453294233539359,-0.025241427800816493,0.04449852137241655,0.3779527559055118
type_year,"('buyback_sell', '2026')",pre20,241,0.07963877523876967,0.05039848665746785,0.11181004725672486,0.6099585062240664
type_year,"('buyback_sell', '2026')",react,241,0.0028334103669642122,-0.003761940171950112,0.010605121446041137,0.44398340248962653
type_year,"('buyback_sell', '2026')",ex5,239,0.006981670270147353,-0.004468067818769539,0.018040731970862485,0.46887966804979253
type_year,"('buyback_sell', '2026')",ex20,227,0.04774540828242699,0.020920277390943407,0.07523972862875437,0.5103734439834025
type_year,"('buyback_sell', '2026')",ex60,203,0.1535173492404753,0.0958085176317574,0.21090768034058358,0.4979253112033195
type_year,"('buyback_sell', '2026')",raw20,227,0.018162056270659678,-0.010571618235834985,0.04902850101091598,0.43568464730290457
type_year,"('buyback_sell', '2026')",exm20,227,0.009105789889644854,-0.017942301848040874,0.03728012954437631,0.3817427385892116
type_year,"('buyback_sell', '2026')",exm60,203,0.06980160848096757,0.010805719196051673,0.12905079915221315,0.3941908713692946
type_year,"('buyback_trust', '2023')",pre20,120,0.007974700812289735,-0.011872073588096946,0.027397148630680882,0.55
type_year,"('buyback_trust', '2023')",react,120,0.014452803107389738,0.008389884031836521,0.020611936632847452,0.6583333333333333
type_year,"('buyback_trust', '2023')",ex5,120,0.01785737832951537,0.009045429001967394,0.026907695703581768,0.6083333333333333
type_year,"('buyback_trust', '2023')",ex20,120,0.05309953051323532,0.032309895937827536,0.07309443862056553,0.6916666666666667
type_year,"('buyback_trust', '2023')",ex60,120,0.09121822543646588,0.05958779813671911,0.12703926951417202,0.6916666666666667
type_year,"('buyback_trust', '2023')",raw20,120,0.03113992137667533,0.008338341830787794,0.0525793316376998,0.5583333333333333
type_year,"('buyback_trust', '2023')",exm20,120,0.04046098155536161,0.019162219978771607,0.0600775738644632,0.6333333333333333
type_year,"('buyback_trust', '2023')",exm60,120,0.0624743302552622,0.030460236632405616,0.09815943205872876,0.6166666666666667
type_year,"('buyback_trust', '2024')",pre20,308,0.0077215462064442325,-0.006828040530748451,0.02290349471182625,0.5097402597402597
type_year,"('buyback_trust', '2024')",react,308,0.01593710926040991,0.010657893322932547,0.021694547877639865,0.6266233766233766
type_year,"('buyback_trust', '2024')",ex5,308,0.012266726544893157,0.005957154043600568,0.019195622363234018,0.5714285714285714
type_year,"('buyback_trust', '2024')",ex20,308,0.027738850494929475,0.01452651685296701,0.04163700891296436,0.5746753246753247
type_year,"('buyback_trust', '2024')",ex60,308,0.0707002726920284,0.044410918470921566,0.09851025892939812,0.6233766233766234
type_year,"('buyback_trust', '2024')",raw20,308,-0.000628166581366602,-0.01451145034975163,0.013271457500512306,0.44155844155844154
type_year,"('buyback_trust', '2024')",exm20,308,0.007226784671646548,-0.006081551700959277,0.021199529044236436,0.4935064935064935
type_year,"('buyback_trust', '2024')",exm60,308,0.03147215888167977,0.005415989297630425,0.05955787780924838,0.5
type_year,"('buyback_trust', '2025')",pre20,230,0.010691314334607837,-0.0050637544366321,0.02668104587781404,0.5347826086956522
type_year,"('buyback_trust', '2025')",react,230,0.0141295978067378,0.008691009510857394,0.020013165036524776,0.6043478260869565
type_year,"('buyback_trust', '2025')",ex5,230,0.011135151054748906,0.0022544812571389313,0.019882219060100684,0.5391304347826087
type_year,"('buyback_trust', '2025')",ex20,230,0.02332391857489563,0.010365499105283556,0.036324627721595185,0.5782608695652174
type_year,"('buyback_trust', '2025')",ex60,230,0.07865003462067836,0.04193640625105917,0.12006581239056094,0.5565217391304348
type_year,"('buyback_trust', '2025')",raw20,230,0.01794959296428343,0.004607627198856631,0.030639118552962977,0.4956521739130435
type_year,"('buyback_trust', '2025')",exm20,230,-0.0015787075277482194,-0.014945726052712131,0.011654928241304974,0.4217391304347826
type_year,"('buyback_trust', '2025')",exm60,230,0.016633067997477224,-0.020409459110106686,0.05659766923585552,0.4217391304347826
type_year,"('buyback_trust', '2026')",pre20,172,0.027226831750413048,0.005900406516924742,0.04744637919687488,0.5581395348837209
type_year,"('buyback_trust', '2026')",react,172,0.03810794303945083,0.028651136998494295,0.04812500452605863,0.7441860465116279
type_year,"('buyback_trust', '2026')",ex5,169,0.022388319976160774,0.011296160210326858,0.03341826611885268,0.5988372093023255
type_year,"('buyback_trust', '2026')",ex20,153,0.04641812987747626,0.023369202234732378,0.0711305747086939,0.5290697674418605
type_year,"('buyback_trust', '2026')",ex60,99,0.09680548810588539,0.05420117677514162,0.14312283593169817,0.36627906976744184
type_year,"('buyback_trust', '2026')",raw20,153,0.004169759194549134,-0.022604716707381522,0.03547283037735945,0.45930232558139533
type_year,"('buyback_trust', '2026')",exm20,153,0.01690518664490827,-0.007227713743526182,0.04206659757868022,0.4418604651162791
