universe,base,label,h,regime,n,ic_base,diff,lo,hi,pos
전체,lv60+to20,+sma20gap,5,강세,297,0.12043801392007668,-0.014967886613623305,-0.023859889396350684,-0.006281437090971651,0.39730639730639733
전체,lv60+to20,+sma20gap,5,조정,56,0.14714553866723987,-0.02982676875412992,-0.05064111123177076,-0.012152599071899509,0.2857142857142857
전체,lv60+to20,+sma20gap,5,반등,60,0.13059747063031005,-0.026684186061709175,-0.04177429003201575,-0.01947168020317147,0.23333333333333334
전체,lv60+to20,+sma20gap,5,약세,231,0.12130270210594608,-0.03251985874791758,-0.04402963604480725,-0.020167530317133642,0.2857142857142857
전체,lv60+to20,+rsi14,5,전체,644,0.12401710050298191,-0.006327003706289609,-0.013597765216884026,0.001790444301989928,0.41770186335403725
전체,lv60+to20,+rsi14,5,강세,297,0.12043801392007668,-0.015397743492611726,-0.025139786350810253,-0.007067348233664913,0.3400673400673401
전체,lv60+to20,+rsi14,5,조정,56,0.14714553866723987,-0.006580811137871764,-0.018957214984273538,0.006619028854721843,0.4107142857142857
전체,lv60+to20,+rsi14,5,반등,60,0.13059747063031005,-0.008791572022336916,-0.019656112014176972,0.00582414499330874,0.4166666666666667
전체,lv60+to20,+rsi14,5,약세,231,0.12130270210594608,0.00603705270786237,-0.008630483249931065,0.022209091443193132,0.5194805194805194
전체,lv60+to20,+dd52,5,전체,644,0.12401710050298191,-0.005039880190258297,-0.012576795201820498,0.0020294145735977585,0.4767080745341615
전체,lv60+to20,+dd52,5,강세,297,0.12043801392007668,0.0049557957839558835,-0.0064976336044573505,0.01558925564984092,0.5252525252525253
전체,lv60+to20,+dd52,5,조정,56,0.14714553866723987,-0.007099684831641015,-0.02728090564697292,0.009316782926107409,0.5357142857142857
전체,lv60+to20,+dd52,5,반등,60,0.13059747063031005,0.0014375398842641006,-0.015172342753518914,0.014001187303369005,0.48333333333333334
전체,lv60+to20,+dd52,5,약세,231,0.12130270210594608,-0.0190745637785506,-0.032908054743476856,-0.004716487122636709,0.39826839826839827
전체,lv60+to20,+ev_buyback60,5,전체,644,0.12401710050298191,-0.0007230409990972783,-0.001489387304925855,8.967391453150312e-05,0.42391304347826086
전체,lv60+to20,+ev_buyback60,5,강세,297,0.12043801392007668,-0.0004866210536572586,-0.0015470902663300506,0.0004596183537286382,0.4511784511784512
전체,lv60+to20,+ev_buyback60,5,조정,56,0.14714553866723987,-0.0002714284970208621,-0.001975679161502233,0.0012465831198539986,0.4642857142857143
전체,lv60+to20,+ev_buyback60,5,반등,60,0.13059747063031005,-0.0023435487832067143,-0.005002005238332231,-0.0004997341600367013,0.3333333333333333
전체,lv60+to20,+ev_buyback60,5,약세,231,0.12130270210594608,-0.0007155802063067975,-0.002135219785684554,0.0007561349576042903,0.4025974025974026
전체,lv60+to20,+ev_dilution60,5,전체,644,0.12401710050298191,0.0010209438832080068,-0.0002653747368069718,0.002146316174436122,0.5636645962732919
전체,lv60+to20,+ev_dilution60,5,강세,297,0.12043801392007668,0.0015155676694082786,-0.0003390997953869855,0.003373545916439242,0.5959595959595959
전체,lv60+to20,+ev_dilution60,5,조정,56,0.14714553866723987,0.0002471485472643691,-0.003323845202786346,0.0038341281872245536,0.5
