cagr,vol,sharpe,mdd,score,N,k,weight,cost
0.09564552674658522,0.14281765771728824,0.6697037906609444,-0.19599269693307875,조용함(lv60+to20),20,40,rank,0.005
0.0934523632325297,0.13965579442156986,0.6691620896905368,-0.19524326630400146,조용함(lv60+to20),20,40,invvol,0.0
0.05955389137080824,0.13965579442156986,0.4264333722597774,-0.20347301352629765,조용함(lv60+to20),20,40,invvol,0.005
0.10375263869843532,0.15405754544083197,0.6734667776352637,-0.23189117182277463,조용함(lv60+to20),40,20,equal,0.0
0.0363756464628151,0.15405754544083197,0.23611726617302037,-0.2475307250844585,조용함(lv60+to20),40,20,equal,0.005
0.09730597249280382,0.14700103773626758,0.6619407181830855,-0.218845507766264,조용함(lv60+to20),40,20,rank,0.0
0.030321272741850258,0.14700103773626755,0.20626570539079608,-0.23474738785887628,조용함(lv60+to20),40,20,rank,0.005
0.09439742456366385,0.14721585708161958,0.6412177766375257,-0.21762494376849573,조용함(lv60+to20),40,20,invvol,0.0
0.027589587807364202,0.14721585708161958,0.18740907640178975,-0.2335512609303274,조용함(lv60+to20),40,20,invvol,0.005
0.11089364134650426,0.15530435733489642,0.7140407600243602,-0.22718803399706555,조용함(lv60+to20),40,40,equal,0.0
0.07645628179461683,0.15530435733489642,0.49229965666544334,-0.2350951528132038,조용함(lv60+to20),40,40,equal,0.005
0.11058562314094322,0.14707787046435433,0.751884853865522,-0.2089688989850681,조용함(lv60+to20),40,40,rank,0.0
0.0761579443122673,0.14707787046435433,0.5178069554027496,-0.21706005844698972,조용함(lv60+to20),40,40,rank,0.005
0.10354149268758372,0.14826966619916973,0.698332270799727,-0.21326039142298558,조용함(lv60+to20),40,40,invvol,0.0
0.06933130384719122,0.14826966619916973,0.4676027512873665,-0.22130817185259033,조용함(lv60+to20),40,40,invvol,0.005
0.1688037791937611,0.16243814947914323,1.0391880216256417,-0.214032526664916,조용함+nh252,10,20,equal,0.0
0.09747118346020689,0.16243814947914326,0.6000510580349969,-0.22190212359119765,조용함+nh252,10,20,equal,0.005
0.2063735231207493,0.17097388156241197,1.207047071955345,-0.23733624249955754,조용함+nh252,10,20,rank,0.0
0.13275657644020233,0.17097388156241197,0.7764728461858142,-0.24516724651580646,조용함+nh252,10,20,rank,0.005
0.16852802479265594,0.15473603498497962,1.089132371842248,-0.18712710701463864,조용함+nh252,10,20,invvol,0.0
0.09721252905466038,0.15473603498497962,0.6282475123787222,-0.1952590984152257,조용함+nh252,10,20,invvol,0.005
0.16590485343188166,0.15993788094547956,1.037308062674884,-0.22173968419818846,조용함+nh252,10,40,equal,0.0
0.12976888571340228,0.15993788094547956,0.8113705455284765,-0.22564646378403963,조용함+nh252,10,40,equal,0.005
0.1985317115512666,0.17000362579639802,1.1678086900866147,-0.24075911374497172,조용함+nh252,10,40,rank,0.0
0.16138826915730142,0.17000362579639802,0.9493225123950318,-0.24324957398107538,조용함+nh252,10,40,rank,0.005
0.17106411018132306,0.15232663995655316,1.1230084916867742,-0.19431005368759668,조용함+nh252,10,40,invvol,0.0
0.13476903276829222,0.15232663995655316,0.884737120222249,-0.19694659503000977,조용함+nh252,10,40,invvol,0.005
