factor,decile,ex20,pos
mom12_1,5,0.030807264745436467,0.7741935483870968
mom12_1,6,0.028586086935036767,0.7741935483870968
mom12_1,7,0.026664584259507528,0.6774193548387096
mom12_1,8,0.028568447531070754,0.7419354838709677
mom12_1,9,0.03268425060738275,0.7096774193548387
mom12_1,10,0.025133074718236562,0.4838709677419355
mom21,1,0.022208726497017876,0.8387096774193549
mom21,2,0.02332063615217882,0.8387096774193549
mom21,3,0.03041434681799919,0.967741935483871
mom21,4,0.030401797893282703,0.9354838709677419
mom21,5,0.029582475656388416,0.967741935483871
mom21,6,0.026943923786008926,0.9354838709677419
mom21,7,0.026977429581933648,0.9032258064516129
mom21,8,0.025865103182761546,0.9354838709677419
mom21,9,0.02592708305510854,0.7419354838709677
mom21,10,0.003183018922318917,0.4838709677419355
mom63,1,0.018833065832582426,0.8064516129032258
mom63,2,0.02540902863704532,0.8387096774193549
mom63,3,0.03423530109087484,0.9354838709677419
mom63,4,0.03171585253612455,0.9354838709677419
mom63,5,0.028787490826309138,0.9032258064516129
mom63,6,0.028420447998803392,0.967741935483871
mom63,7,0.0239786670157737,0.8709677419354839
mom63,8,0.026111036932240702,0.8064516129032258
mom63,9,0.02214015995852894,0.6774193548387096
mom63,10,0.0046509289835112945,0.4838709677419355
ret5,1,0.003433150227434999,0.5483870967741935
ret5,2,0.027327822054116272,0.8387096774193549
ret5,3,0.029864104468260398,0.9354838709677419
ret5,4,0.025605568928733023,0.9354838709677419
ret5,5,0.02856644671721652,0.9354838709677419
ret5,6,0.029075258594291577,0.9354838709677419
ret5,7,0.03002802053643446,0.9032258064516129
ret5,8,0.029361764893311684,0.9354838709677419
ret5,9,0.02986652481106009,0.8387096774193549
ret5,10,0.010896950327424227,0.6774193548387096
upratio63,1,0.014032442650357928,0.7419354838709677
upratio63,2,0.022067160610100073,0.9354838709677419
upratio63,3,0.024874789225738193,0.9032258064516129
upratio63,4,0.025883297577030447,0.8709677419354839
upratio63,5,0.018622158430011693,0.8387096774193549
upratio63,6,0.02289382519787414,0.7741935483870968
upratio63,7,0.02405102471926083,0.7741935483870968
upratio63,8,0.027788145931354737,0.8709677419354839
upratio63,9,0.028064517641336044,0.7741935483870968
upratio63,10,0.031629422124623476,0.8387096774193549
on60,1,0.007224858434042616,0.4838709677419355
