combo,k,train_ic20,test_ic20,test_lo20,test_n20,test_regmin20,test_reg20,test_top50_ex20,train_ic60,test_ic60,test_lo60,test_n60,test_regmin60,test_reg60
lv20+max5_21+beta60,3,0.17356257205196293,0.08656524523455547,0.03893966409210151,267,-0.006131036216969486,+0.07/-0.01/+nan/+0.17,0.021118401947821677,0.204931582080175,0.10752912775996712,0.05858252037407441,227,0.07527043501025463,+0.08/+0.14/+nan/+0.30
lv20+downvol60+bbw20,3,0.17143080127048269,0.13616101219160792,0.09358663537884704,267,0.06774408776901442,+0.12/+0.07/+nan/+0.20,0.03023993730276378,0.21292477398538184,0.18311579420527377,0.14236046214720766,227,0.15317115402286896,+0.15/+0.22/+nan/+0.35
lv20+downvol60+volvol20,3,0.1837784589215991,0.1572459784204432,0.11867083591710408,267,0.09074158719344202,+0.15/+0.09/+nan/+0.20,0.030474257999488077,0.22346736588155197,0.21747766826911363,0.1813188423499847,227,0.19044404540807752,+0.19/+0.26/+nan/+0.36
lv20+downvol60+skew60,3,0.1832476538295286,0.14182812333888153,0.10371582791433634,267,0.07344680308310837,+0.14/+0.07/+nan/+0.19,0.030319963794583477,0.22584017208049886,0.19688882387687806,0.1600695182889136,227,0.16877830147689718,+0.17/+0.23/+nan/+0.35
lv20+downvol60+size,3,0.18265821725538153,0.17095369310169028,0.1272316040816376,267,0.09153500627183651,+0.18/+0.09/+nan/+0.20,0.03617539609861147,0.23158853769008858,0.25571172523480656,0.21966792418022354,227,0.22778642456193116,+0.23/+0.30/+nan/+0.39
lv20+downvol60+dlow252,3,0.16540347149328377,0.11472801269929409,0.07081319702546585,267,0.025579623694186177,+0.10/+0.03/+nan/+0.21,0.026182527351416764,0.19798148457947395,0.13298429512254217,0.08730499356157843,227,0.10371455948284056,+0.10/+0.16/+nan/+0.31
lv20+downvol60+beta60,3,0.1681000868830214,0.0885640907076762,0.03721561036281942,267,-0.01118383140463015,+0.07/-0.01/+nan/+0.18,0.023055174899175926,0.2055088463069622,0.11806924905984509,0.06551610083013415,227,0.0848929753955747,+0.08/+0.14/+nan/+0.32
lv20+bbw20+volvol20,3,0.16975335526038907,0.14672388045419774,0.11223759156793865,267,0.09547528260453013,+0.14/+0.10/+nan/+0.20,0.03541041635277233,0.20802424240264986,0.19399630906250254,0.16484366072359077,227,0.1677248652993654,+0.17/+0.24/+nan/+0.32
lv20+bbw20+skew60,3,0.16881747521597282,0.13150426781492539,0.09628427258969055,267,0.07922412408431158,+0.12/+0.08/+nan/+0.18,0.033817243836989856,0.20976663842369297,0.17570193843016763,0.14249642519019431,227,0.1479249010319456,+0.15/+0.22/+nan/+0.32
lv20+bbw20+size,3,0.17658735856601443,0.15995982654376958,0.1223234294059312,267,0.09767846018350393,+0.16/+0.10/+nan/+0.18,0.042166132309049774,0.22552405011566973,0.23262674817571735,0.20523365702795449,227,0.2066300927596542,+0.21/+0.29/+nan/+0.35
lv20+bbw20+dlow252,3,0.1564826541850784,0.11381046664409004,0.07356578329501358,267,0.03928938340643833,+0.09/+0.04/+nan/+0.21,0.025810768706187242,0.18864323054384818,0.1239080180806301,0.08068469451326121,227,0.0935746976452361,+0.09/+0.15/+nan/+0.30
lv20+bbw20+beta60,3,0.16784981664528542,0.08897409196891753,0.04032899515521866,267,0.00443646330806105,+0.07/+0.00/+nan/+0.18,0.02679739342874278,0.2060061755085484,0.11480026035608623,0.0637281443800619,227,0.07984853938009445,+0.08/+0.15/+nan/+0.32
lv20+volvol20+skew60,3,0.16984235401979175,0.14224612542233844,0.11444315270448795,267,0.09757484515522404,+0.14/+0.10/+nan/+0.16,0.03454211750843082,0.20612989160881268,0.1976786240887099,0.17193342487272917,227,0.17537924446072334,+0.18/+0.24/+nan/+0.30
lv20+volvol20+size,3,0.1670666039652543,0.16304045151764338,0.13246331284079724,267,0.11322188706734779,+0.18/+0.11/+nan/+0.16,0.04240482675869838,0.20855926375310294,0.24118715432370755,0.2210819796222173,227,0.2233786199493337,+0.22/+0.29/+nan/+0.30
lv20+volvol20+dlow252,3,0.16548652623839974,0.13255419205623664,0.09977527473095527,267,0.05992451999405149,+0.12/+0.06/+nan/+0.21,0.026674041793045996,0.19364396097153558,0.15346584582354084,0.11718930687050925,227,0.1282294321094415,+0.13/+0.19/+nan/+0.29
lv20+volvol20+beta60,3,0.1786160677561725,0.10872877394782188,0.0638741083861547,267,0.02486396560176484,+0.10/+0.02/+nan/+0.18,0.02760659809646395,0.21410507861082578,0.14690899975319344,0.10023127489276175,227,0.11498066775447861,+0.11/+0.18/+nan/+0.33
lv20+skew60+size,3,0.17450863788734422,0.15470876099327188,0.12138967337478315,267,0.09774989005837974,+0.17/+0.10/+nan/+0.15,0.03908145799408837,0.22150863555231928,0.2351603317825701,0.21356754313840617,227,0.21395830772223023,+0.21/+0.28/+nan/+0.32
lv20+skew60+dlow252,3,0.15719797596837273,0.11005145803837033,0.07684749738671712,267,0.03751288535762555,+0.10/+0.04/+nan/+0.19,0.027103330710793013,0.1868678459844356,0.1251998127917015,0.0866252635926063,227,0.09891813200527574,+0.10/+0.15/+nan/+0.27
