factor,universe,h,hyp,first_anchor,n_week,ic,lo,hi,pos,n_daily
fl_prveq20n,전체(가드),20,1,20260529,9,0.015768740594050104,-0.009847907571070232,0.04124733736290812,0.6666666666666666,45
fl_prveq20n,대형(시총상위20%),5,1,20260529,12,0.030664389841072972,-0.04620285558192519,0.09695093449227128,0.5833333333333334,60
fl_prveq20n,대형(시총상위20%),10,1,20260529,11,0.052425177413101307,-0.01760262570770644,0.1134937608479505,0.8181818181818182,55
fl_prveq20n,대형(시총상위20%),20,1,20260529,9,0.006226116056440707,-0.0461336671340211,0.048681979198327556,0.5555555555555556,45
fl_prveq20n,조용함상위30%,5,1,20260529,12,0.0005505093028934325,-0.036557981451437745,0.036509737240977225,0.4166666666666667,60
fl_prveq20n,조용함상위30%,10,1,20260529,11,0.010316600553982903,-0.03331305009538436,0.0510061162404789,0.5454545454545454,55
fl_prveq20n,조용함상위30%,20,1,20260529,9,0.011308354746528615,-0.017111474999238603,0.038459801798839434,0.6666666666666666,45
fl_prveq20n,과매도(RSI<40),5,1,20260529,10,0.041743895811575116,-0.015237416902225714,0.09368174911126102,0.7,51
fl_prveq20n,과매도(RSI<40),10,1,20260529,9,0.06102963356410792,0.015260538145553608,0.10406580076171724,0.7777777777777778,46
fl_prveq20n,과매도(RSI<40),20,1,20260529,9,0.07725628206932884,0.03937204268920513,0.11880946323307823,0.8888888888888888,45
fl_insu5n,전체(가드),5,1,20260529,12,-0.04198377442213611,-0.09717440617766455,0.008380456393569628,0.3333333333333333,60
fl_insu5n,전체(가드),10,1,20260529,11,-0.023746714700830153,-0.09608071749239694,0.03145000212088907,0.6363636363636364,55
fl_insu5n,전체(가드),20,1,20260529,9,-0.027261069366524997,-0.07985986480029397,0.023410590231298684,0.5555555555555556,45
fl_insu5n,대형(시총상위20%),5,1,20260529,12,-0.02822697684970947,-0.1157090218504643,0.054293831027253665,0.5,60
fl_insu5n,대형(시총상위20%),10,1,20260529,11,-0.002892491741460597,-0.13897653800257168,0.10749187398409146,0.6363636363636364,55
fl_insu5n,대형(시총상위20%),20,1,20260529,9,-0.04373889396920881,-0.16440108935172998,0.07481172198242018,0.4444444444444444,45
