name,date,net,benchmark,excess,kospi,n_filled,missing_exit
amount_only,20260102,0.04785592174238654,0.3510106163377525,-0.3031546945953659,0.55,20,0
amount_only,20260202,-0.07109550680355492,0.12941613600900465,-0.20051164281255957,0.9,20,0
amount_only,20260303,0.354336934337438,0.3069878457932301,0.04734908854420794,0.9,20,0
beta_only,20240801,0.10424633905679226,-0.0506702491819772,0.15491658823876947,0.3,20,0
beta_only,20240902,0.052451504636527244,-0.03939556892786347,0.09184707356439072,0.6,20,0
beta_only,20241002,-0.1249954429915954,-0.05990775127309812,-0.06508769171849728,0.65,20,0
beta_only,20241101,-0.024497708145147665,-0.020707892677702913,-0.0037898154674447515,0.7,20,0
beta_only,20241202,0.09088576221523573,0.10824270309442409,-0.017356940879188362,0.45,20,0
beta_only,20250102,-0.09228281043766004,0.19015814560523922,-0.28244095604289926,0.6,20,0
beta_only,20250203,-0.18834916092647785,0.21386250497823733,-0.4022116659047152,0.5,20,0
beta_only,20250304,-0.20076080988462325,0.17725323186891692,-0.37801404175354014,0.6,20,0
beta_only,20250401,0.3918293383620851,0.3079616042273322,0.0838677341347529,0.45,20,0
beta_only,20250502,0.5869060008137913,0.34028132945398837,0.24662467135980293,0.2,20,0
beta_only,20250602,0.26040693137957405,0.25666451453772043,0.003742416841853613,0.2,20,0
beta_only,20250701,0.2081873429294418,0.21758453007771972,-0.009397187148277919,0.25,20,0
beta_only,20250801,0.597716031724749,0.5338060378739337,0.0639099938508153,0.35,20,0
beta_only,20250901,0.7371391904382081,0.5477058751787873,0.18943331525942075,0.4,20,0
beta_only,20251001,0.2780882141160962,0.257027282632204,0.02106093148389221,0.1,20,0
beta_only,20251103,0.7362125651008999,0.3182577177788299,0.41795484732207006,0.1,20,0
beta_only,20251201,0.5868552322346876,0.21493854722196853,0.3719166850127191,0.1,20,0
beta_only,20260102,-0.04271146814813213,-0.01375121478406871,-0.028960253364063417,0.1,20,0
beta_only,20260202,-0.3409092540184886,-0.24785686978034024,-0.09305238423814835,0.2,20,0
beta_only,20260303,-0.3075096733144063,-0.09379452236463401,-0.2137151509497723,0.1,20,0
momentum_only,20240801,-0.11092275165441282,-0.05046543851341563,-0.060457313140997185,0.2,20,0
momentum_only,20240902,-0.11820277270797866,-0.044431265643848715,-0.07377150706412994,0.1,20,0
momentum_only,20241002,-0.16783538974122686,-0.0914557458601439,-0.07637964388108295,0.25,20,0
momentum_only,20241101,-0.11832376336586921,-0.03643622795247277,-0.08188753541339644,0.2,20,0
momentum_only,20241202,0.13639855364676715,0.09922508169157891,0.037173471955188234,0.15,20,0
momentum_only,20250102,0.1828174374755143,0.1446993403156552,0.03811809715985909,0.3,20,0
momentum_only,20250203,0.28873742933263913,0.20410949150674984,0.08462793782588929,0.45,20,0
momentum_only,20250304,0.333475010192779,0.1321145001686204,0.20136051002415858,0.35,20,0
momentum_only,20250401,0.2629213499230668,0.28689737865234566,-0.023976028729278842,0.3,20,0
momentum_only,20250502,0.1471253469154268,0.3590340956521031,-0.21190874873667628,0.25,20,0
momentum_only,20250602,0.2854647207515108,0.2767204225177149,0.00874429823379591,0.3,20,0
momentum_only,20250701,0.24980129503809057,0.23430114763701754,0.015500147401073028,0.35,20,0
momentum_only,20250801,0.6132945155952948,0.5241209259372677,0.08917358965802713,0.3,20,0
momentum_only,20250901,0.2880447320137861,0.5477058751787873,-0.2596611431650012,0.4,20,0
momentum_only,20251001,0.17520423001770669,0.34990017530493533,-0.17469594528722865,0.4,20,0
momentum_only,20251103,0.2314408126846409,0.428209677661145,-0.1967688649765041,0.45,20,0
momentum_only,20251201,0.030118735676783418,0.37964295796035197,-0.34952422228356855,0.25,20,0
momentum_only,20260102,-0.16743612301999158,0.06730696990966935,-0.23474309292966095,0.2,20,0
momentum_only,20260202,-0.49337698222348847,-0.24785686978034024,-0.24552011244314823,0.2,20,0
