name,family,h,n,filled,win2x,loss30,top2_to_cash,kospi_weight,net,net_lo,net_hi,excess,excess_lo,excess_hi,delta_base,delta_base_lo,delta_base_hi,delta_amount,delta_amount_lo,delta_amount_hi,delta_base_excess,delta_base_excess_lo,delta_base_excess_hi,delta_2024,n_2024,delta_2025,n_2025,delta_2026,n_2026,batch_simultaneous_lo,batch_simultaneous_hi
dry_in_leaders,price_volume_sequence,120,20,20.0,0.052500000000000005,0.2125,-0.02219328456515605,0.28250000000000003,0.1344987257808963,0.007920008970069682,0.28629979517819426,-0.011532782825506826,-0.08594378743068726,0.06353256523446577,-0.17420267327755604,-0.3181863313303744,-0.059727382100234656,-0.14771506712031965,-0.2430615959537797,-0.06287870607818974,-0.14655933302965368,-0.28360551501144704,-0.03923031390912203,-0.06286149681439715,5,-0.24626419056622487,12,-0.07152523156147883,3,-0.366845476214252,0.018440129659139964
dry_now,price_volume_sequence,120,20,20.0,0.05,0.175,-0.050827932535403554,0.265,0.07199531309772852,-0.05634376274928601,0.19837429650594435,-0.07878914791952515,-0.12236039214490715,-0.026574669997191172,-0.2367060859607238,-0.3638532124370248,-0.09720365705526449,-0.21021847980348746,-0.281770410072811,-0.13222808034333042,-0.21381569812367202,-0.334339242177701,-0.07687991614102493,-0.057901524370237455,5,-0.30324349009806767,12,-0.268564072062159,3,-0.4293488888974198,-0.04406328302402779
restart,price_volume_sequence,120,20,20.0,0.06999999999999999,0.20500000000000002,0.04250200383381207,0.35,0.2131364195399706,0.012536945438123549,0.4300956499929912,0.04340801982582844,-0.04494167763100249,0.1348169987070543,-0.09556497951848178,-0.17034237951858586,-0.0394900540683216,-0.06907737336124539,-0.17304103650073807,0.04389367964513615,-0.09161853037831844,-0.1797878910382617,-0.026315986454159536,-0.09071939903872668,5,-0.10638153815020962,12,-0.06037471245782894,3,-0.28820778245517775,0.09707782341821422
firm_close,price_volume_sequence,120,20,20.0,0.1025,0.1575,0.15419940906389318,0.43499999999999994,0.3377946580962082,0.16857168337206838,0.505066407088563,0.13879574436818654,0.0893135792513213,0.1859243370386799,0.029093259037755816,-0.058140835398646784,0.10488757763058207,0.05558086519499218,-0.01676846518788819,0.12699779262917668,0.0037691941640396577,-0.08645213994409262,0.08164907199028129,0.03131098434902756,5,-0.033907151640214565,12,0.2773986928975178,3,-0.1635495438989402,0.2217360619744518
pullback_dry,conditional_universe,120,20,20.0,0.05500000000000001,0.19499999999999998,-0.056279364206775075,0.26,0.08143638461040298,-0.0658029974666294,0.23394415111422737,-0.08865374921833666,-0.17889761208900273,-0.014709567304736966,-0.2272650144480494,-0.33927029115889945,-0.1038109511150169,-0.200777408290813,-0.2730508955147437,-0.13536461715764297,-0.2236802994224835,-0.3651258816518798,-0.08252193791006959,-0.08704078004948575,5,-0.28036496589153576,12,-0.2485722660050432,3,-0.41990781738474536,-0.03462221151135339
pullback_rebound,conditional_universe,120,20,20.0,0.06250000000000001,0.2125,-0.020067509852760963,0.34500000000000003,0.1326593008663185,-0.026194085780598415,0.28403005722006736,-0.028505029335136593,-0.10666931466316529,0.051488657882931436,-0.17604209819213382,-0.3165639755860003,-0.07388355585283407,-0.14955449203489746,-0.2126807394544907,-0.07838386734371773,-0.16353157953928346,-0.3113876242800109,-0.05571042315819543,-0.10897020090640952,5,-0.20961860477933458,12,-0.1535225673195378,3,-0.3686849011288298,0.016600704744562184
leaders_only,conditional_universe,120,20,20.0,0.07250000000000001,0.175,0.10355843561202646,0.425,0.2902032040269956,0.07285564853054047,0.5191540166850523,0.09664664291841232,0.01282734797380897,0.1756331659684248,-0.018498195031456728,-0.058070113091744806,0.016239791505994656,0.007989411125779647,-0.10938146449621787,0.13005590218891555,-0.03837990728573455,-0.07242449720044221,-0.007109947076177963,0.011680582920321201,5,-0.04156850819131335,12,0.02348509435500661,3,-0.21114099796815272,0.17414460790523928
large_only,conditional_universe,120,20,20.0,0.07750000000000001,0.12999999999999998,0.19321026352235532,0.635,0.36194816263639895,0.13418813472650207,0.5870545397715724,0.11225792092245832,0.0559947659993879,0.18214416112094475,0.053246763577946575,0.001113790241817418,0.10176356553049924,0.07973436973518294,-0.017464861502418848,0.19006348045098037,-0.02276862928168855,-0.09586570486236891,0.04323057876487057,0.028630964185575702,5,0.05357591691241329,12,0.09295648256069783,3,-0.13939603935874942,0.24588956651464258
mid_only,conditional_universe,120,20,19.95,0.1025,0.20500000000000002,0.033526730228957344,0.29,0.2515746060981382,0.04492895554804913,0.4758621517990262,0.10829940771796845,0.014765844168340446,0.19919217018909222,-0.0571267929603141,-0.09773850467686299,-0.025460573277823716,-0.030639186803077735,-0.12734846749563872,0.08500435107558602,-0.026727142486178402,-0.06666419976275342,0.005871550117813262,-0.03386592810188936,5,-0.059958148658434185,12,-0.08456947826520833,3,-0.2497695958970101,0.1355160099763819
kospi_only,conditional_universe,120,20,20.0,0.075,0.1075,0.2211659706190176,1.0,0.37554986048347716,0.17600317103135182,0.5633914811907619,-0.0047913510424225205,-0.055061842642781265,0.047383364375115464,0.06684846142502482,-0.08911553538684781,0.21610206367105944,0.09333606758226119,-0.02250971803032628,0.22550063144574245,-0.1398179012465694,-0.27226847975881585,-0.0055025588127380455,0.03942744702139474,5,0.011598207004647754,12,0.33355116977924987,3,-0.12579434151167118,0.2594912643617208
kosdaq_only,conditional_universe,120,20,19.95,0.08750000000000001,0.21750000000000003,0.011998491176995876,0.0,0.20800394551850726,-0.026495606800000373,0.4669597580805596,0.11160570818498214,-0.012133625127957046,0.22970047822170592,-0.10069745353994511,-0.13273430909354997,-0.06862950038878311,-0.07420984738270872,-0.1941853090193715,0.07144188124648568,-0.023420842019164743,-0.059812323843915514,0.011631888343994194,-0.10254440655846624,5,-0.08346302995202776,12,-0.16655689286074588,3,-0.2933402564766411,0.09194534939675089
up_market_only,conditional_universe,120,20,13.95,0.07250000000000001,0.1025,0.10519045117541184,0.30500000000000005,0.26381872949842117,0.030580300212718608,0.5087003946526657,0.09228825485988475,0.007712037858626632,0.1738794895576745,-0.04488266956003118,-0.08612172638503289,-0.010527210954768584,-0.018395063402794815,-0.15435561009103396,0.12231555539335018,-0.04273829534426212,-0.07944237942376518,-0.010368576936300328,-0.04711544507263658,5,-0.055173013819786725,12,0.0,3,-0.23752547249672717,0.14776013337666483
quiet_gate_leaders,conditional_universe,120,20,20.0,0.05750000000000001,0.05500000000000001,0.11000837601065758,0.7350000000000001,0.2535116804877324,0.09843632765623885,0.40198591576870546,-0.005617587370047245,-0.05544674195187524,0.04280084314381479,-0.055189718570719914,-0.18880593316897504,0.04644737589678969,-0.028702112413483544,-0.09812927686857391,0.04149863906965253,-0.14064413757419414,-0.26980846766860705,-0.032154756652091755,-0.017691311347774984,5,-0.09965980142106644,12,0.06019326745909126,3,-0.24783252150741591,0.13745308436597609
slots_10,construction,120,20,9.95,0.1,0.195,0.011879791114728783,0.38,0.3187929791710847,0.055522861771768246,0.5966530390909108,0.13700023886738064,-0.006219134837693599,0.2740295885609919,0.01009158011263235,-0.042473740922718634,0.057547264248687884,0.03657918626986873,-0.11722046111747533,0.2018751261260146,0.001973688663233761,-0.04640467013337649,0.04998819083332787,-0.04219972348049527,5,0.013105874536210408,12,0.08518657507353283,3,-0.18255122282406366,0.20273438304932834
slots_40,construction,120,20,39.95,0.08000000000000002,0.17375000000000002,0.14828153969494362,0.40499999999999997,0.26633590880633157,0.07613718539232385,0.4676781561589598,0.08417503821077052,0.015364980142238981,0.14325149565012427,-0.042365490252120816,-0.10621291040341226,0.009516526665810083,-0.01587788409488445,-0.11333548395993476,0.07969483438581378,-0.05085151199337634,-0.1115022268853093,0.0007527096886145484,-0.008144999018981509,5,-0.07698306814135224,12,0.03907066924957272,3,-0.23500829318881683,0.15027731268457517
