name,family,date,year,h,net,excess,benchmark,slots,filled,win2x,loss30,top2_to_cash,missing_exit,kospi_weight,kosdaq_weight
base_R1_amount,baseline,20241101,2024,60,-0.060449717465503275,-0.02972570970449766,-0.030724007761005614,20,20,0.0,0.15,-0.10599616170347811,0,0.6,0.4
base_R1_amount,baseline,20241101,2024,120,-0.028878097679137904,-0.005024537946481021,-0.023853559732656883,20,20,0.0,0.15,-0.11310588150861105,0,0.6,0.4
base_R1_amount,baseline,20241101,2024,180,0.31792230367274166,0.13864610421868356,0.1792761994540581,20,20,0.1,0.1,0.09362529241658823,0,0.6,0.4
base_R1_amount,baseline,20241202,2024,60,0.10010717353682182,0.06072351610952294,0.03938365742729888,20,20,0.0,0.1,0.007808910317658994,0,0.5,0.5
base_R1_amount,baseline,20241202,2024,120,0.24292180975254793,0.13317616975764965,0.10974563999489828,20,20,0.1,0.15,0.1188081427905328,0,0.5,0.5
base_R1_amount,baseline,20241202,2024,180,0.42936618997537107,0.2326235142278555,0.19674267574751558,20,20,0.15,0.15,0.20880058345746252,0,0.5,0.5
base_R1_amount,baseline,20250102,2025,60,0.010419668094477268,0.020404832460459217,-0.009985164365981947,20,20,0.0,0.1,-0.0652432484724527,0,0.45,0.55
base_R1_amount,baseline,20250102,2025,120,0.06641149620630912,-0.10101724675413809,0.1674287429604472,20,20,0.0,0.1,-0.017074133220981676,0,0.45,0.55
base_R1_amount,baseline,20250102,2025,180,0.3040233078635909,0.011873157362664588,0.2921501505009263,20,20,0.1,0.2,0.04091950612579647,0,0.45,0.55
base_R1_amount,baseline,20250203,2025,60,-0.031995666613866866,-0.045228901192181634,0.013233234578314768,20,20,0.0,0.1,-0.07241338096029178,0,0.5,0.5
base_R1_amount,baseline,20250203,2025,120,0.14750725388022054,-0.0663552510980168,0.21386250497823733,20,20,0.0,0.1,0.059260818942609136,0,0.5,0.5
base_R1_amount,baseline,20250203,2025,180,0.40477401087706044,-0.03735615865214559,0.44213016952920603,20,20,0.05,0.1,0.16959958794610033,0,0.5,0.5
